,Date,Open,High,Low,Close,Volume
0,2021-03-26,3.8924,4.0843,3.705,3.9169,38938.630000000005
1,2021-03-27,4.0273,4.0703,3.8806,3.9676,28979.650000000005
2,2021-03-28,4.1843,4.3267,3.97,4.18,62028.139999999985
3,2021-03-29,4.53,4.7,4.0584,4.3784,107011.27000000003
4,2021-03-30,4.507,4.6599,4.428,4.508,105700.79000000001
5,2021-03-31,4.4696,4.5736,4.228,4.3183,65014.60999999999
6,2021-04-01,4.4118,4.4764,4.3048,4.4,51382.740000000005
7,2021-04-02,4.4648,4.66,4.39,4.5506,71893.35
8,2021-04-03,4.6602,4.7692,4.2747,4.7273,35156.34
9,2021-04-04,4.4266,4.6,4.2,4.5999,25282.59
10,2021-04-05,5.1779,7.95,4.3001,5.3077,226734.18
11,2021-04-06,5.5895,6.1,5.0003,5.2066,177613.79000000004
12,2021-04-07,5.0072,5.8419,4.502,5.29,128015.77999999997
13,2021-04-08,6.18,6.64,5.4335,6.5312,133149.99
14,2021-04-09,6.347,6.6299,6.0,6.15,60803.79999999999
15,2021-04-10,5.7663,6.1411,5.5784,6.0594,63213.73999999999
16,2021-04-11,5.6301,5.9129,5.58,5.8117,21895.9
17,2021-04-12,5.5173,5.8285,5.3002,5.525,29426.789999999997
18,2021-04-13,5.6792,5.7803,5.4287,5.6445,20971.289999999997
19,2021-04-14,5.892,6.02,5.4416,5.5972,47124.54
20,2021-04-15,6.2013,6.3766,5.7672,5.895,56335.27999999999
21,2021-04-16,5.9537,6.1155,5.5724,5.886,20070.43
22,2021-04-17,6.0644,6.49,5.8045,6.0299,47838.82
23,2021-04-18,5.201,6.628,4.6,5.089,61059.26
24,2021-04-19,5.0004,5.5,4.7,5.3551,37668.009999999995
25,2021-04-20,4.99,5.2,4.4095,4.9407,31118.569999999996
26,2021-04-21,5.1484,5.2645,4.853,5.1513,23912.93
27,2021-04-22,5.1293,5.313,4.6,5.1077,26207.800000000003
28,2021-04-23,4.2378,4.6983,3.5,4.18,34410.530000000006
29,2021-04-24,4.1024,4.699,3.9065,4.6,28447.43
30,2021-04-25,4.1,4.25,3.8043,3.9184,10459.24
31,2021-04-26,4.4474,4.59,3.9451,4.4474,18685.43
32,2021-04-27,4.53,5.1376,4.4706,5.0399,31177.43
33,2021-04-28,4.9489,5.99,4.5,4.8006,98018.94
34,2021-04-29,5.5759,5.9198,5.25,5.3971,50190.30000000001
35,2021-04-30,5.5692,5.75,5.3516,5.5379,24825.800000000003
36,2021-05-01,5.4894,5.72,5.402,5.511,14279.86
37,2021-05-02,5.3827,5.53,5.1644,5.3687,22554.729999999996
38,2021-05-03,5.6565,5.91,5.35,5.6969,50009.759999999995
39,2021-05-04,5.35,5.8747,5.2401,5.529,21475.71
40,2021-05-05,5.7385,6.255,5.2356,5.841,35578.469999999994
41,2021-05-06,6.9999,7.53,5.9065,7.0,115698.92
42,2021-05-07,6.9238,7.1124,6.35,6.7176,32424.709999999995
43,2021-05-08,7.5725,7.91,6.54,7.1,50824.86000000001
44,2021-05-09,7.028,7.5145,6.8,7.1783,28979.050000000003
