('usdtinr', 'Tether')
('btcusdt', 'Bitcoin')
('trxusdt', 'TRON')
('xrpusdt', 'XRP')
('eosusdt', 'EOS')
('ethusdt', 'Ethereum')
('icxusdt', 'ICON')
('ltcusdt', 'Litecoin')
('tusdusdt', 'TrueUSD')
('hotusdt', 'Hydro Protocol')
('batusdt', 'Basic Attention Token')
('dashusdt', 'Dash')
('ncashusdt', 'Nucleus Vision')
('qkcusdt', 'QuarkChain')
('zilusdt', 'Zilliqa')
('zrxusdt', '0x')
('bchusdt', 'Bitcoin Cash')
('usdcusdt', 'USD Coin')
('omgusdt', 'OMG Network')
('polyusdt', 'FarmPoly')
('dentusdt', 'Dent')
('iostusdt', 'IOST')
('funusdt', 'FUNToken')
('sntusdt', 'Status')
('thetausdt', 'THETA')
('requsdt', 'Request')
('xlmusdt', 'Stellar')
('xtzusdt', 'Tezos')
('bttusdt', 'BitTorrent')
('fetusdt', 'Fetch.ai')
('tfuelusdt', 'Theta Fuel')
('celrusdt', 'Celer Network')
('maticusdt', 'Polygon')
('adausdt', 'Cardano')
('rvnusdt', 'Ravencoin')
('xmrusdt', 'Monero')
('atomusdt', 'Cosmos')
('algousdt', 'Algorand')
('linkusdt', 'Chainlink')
('qtumusdt', 'Qtum')
('etcusdt', 'Ethereum Classic')
('zecusdt', 'Zcash')
('wavesusdt', 'Waves')
('ftmusdt', 'Fantom')
('enjusdt', 'Enjin Coin')
('lskusdt', 'Lisk')
('steemusdt', 'Steem')
('xvgusdt', 'Verge')
('loomusdt', 'Loom Network')
('manausdt', 'Decentraland')
('repusdt', 'Augur')
('blzusdt', 'Bluzelle')
('nanousdt', 'Nano')
('scusdt', 'Siacoin')
('btgusdt', 'Bitcoin Gold')
('xemusdt', 'NEM')
('btsusdt', 'BitShares')
('ardrusdt', 'Ardor')
('nasusdt', 'Nebulas')
('winusdt', 'WINkLink')
('bnbusdt', 'Binance Coin')
('chzusdt', 'Chiliz')
('wrxusdt', 'WazirX')
('kavausdt', 'Kava')
('ankrusdt', 'Ankr')
('busdusdt', 'Binance USD')
('oneusdt', 'BigONE Token')
('ognusdt', 'Origin Protocol')
('hiveusdt', 'Hive')
('fttusdt', 'FTX Token')
('bandusdt', 'Band Protocol')
('jstusdt', 'JUST')
('ctsiusdt', 'Cartesi')
('chrusdt', 'Chromia')
('tomousdt', 'TomoChain')
('stxusdt', 'Stox')
('stmxusdt', 'StormX')
('mdtusdt', 'Measurable Data Token')
('ltousdt', 'LTO Network')
('lrcusdt', 'Loopring')
('dogeusdt', 'Dogecoin')
('neousdt', 'Neo')
