,Date,Open,High,Low,Close,Volume
0,2020-10-16,42.0,47.238,39.234,41.758,64.777
1,2020-10-17,40.191,42.955,38.998,41.997,45.695
2,2020-10-18,41.332,41.332,40.001,40.126,18.448
3,2020-10-19,37.361,40.514,36.239,38.483,81.93900000000001
4,2020-10-20,35.0,36.239,32.266,33.5,92.51199999999999
5,2020-10-21,35.5,36.335,32.266,34.596,66.649
6,2020-10-22,34.2,39.221,34.2,39.056,82.35
7,2020-10-23,38.82,41.516,38.268,38.708,47.369
8,2020-10-24,41.247,41.88,40.438,40.438,2.491
9,2020-10-25,39.387,40.96,38.856,40.96,36.471
10,2020-10-26,38.798,38.856,35.491,38.5,12.055
11,2020-10-27,37.27,37.27,35.0,35.604,7.22
12,2020-10-28,34.623,35.16,32.299,34.623,24.914000000000005
13,2020-10-29,32.0,32.808,28.612,30.459,42.837999999999994
14,2020-10-30,28.583,32.116,28.23,30.6,39.247
15,2020-10-31,30.502,32.706,30.188,30.7,235.66899999999998
16,2020-11-01,29.064,30.388,28.538,29.579,132.483
17,2020-11-02,30.454,33.099,29.241,31.91,291.65599999999995
18,2020-11-03,28.458,29.241,27.9,29.241,61.471
19,2020-11-04,27.375,28.458,25.921,26.632,127.637
20,2020-11-05,28.396,32.047,26.16,30.581,395.7469999999999
21,2020-11-06,35.139,38.072,32.047,36.645,298.1329999999999
22,2020-11-07,49.264,51.357,36.285,41.961,522.333
23,2020-11-08,44.985,54.582,41.961,46.233,260.59
24,2020-11-09,56.0,59.188,49.228,56.0,134.648
25,2020-11-10,65.012,68.369,55.744,66.023,242.34300000000002
26,2020-11-11,57.663,67.856,55.566,62.471,577.1260000000001
27,2020-11-12,55.255,60.5,50.317,58.158,77.604
28,2020-11-13,58.458,65.933,52.013,64.51,454.62800000000004
29,2020-11-14,64.196,68.499,58.846,67.409,156.32500000000005
30,2020-11-15,68.14,71.271,61.21,66.849,134.488
31,2020-11-16,67.861,73.609,61.21,61.5,225.54100000000003
32,2020-11-17,71.354,76.582,69.199,74.467,273.17600000000004
33,2020-11-18,72.235,78.407,68.777,72.15,275.906
34,2020-11-19,72.955,81.303,71.0,71.0,98.10199999999999
