,Date,Open,High,Low,Close,Volume
0,2019-07,0.08193,0.08532,0.05073,0.05956,1226726.3000000003
1,2019-08,0.05821,0.05965,0.04399,0.04479,874345.0
2,2019-09,0.04414,0.055,0.03614,0.03651,1033107.3999999999
3,2019-10,0.03842,0.04426,0.03595,0.04161,949986.7
4,2019-11,0.04183,0.046,0.03383,0.04073,1275138.1
5,2019-12,0.04005,0.04067,0.0311,0.03308,698293.6000000001
6,2020-01,0.03304,0.05723,0.0325,0.05304,1367642.7
7,2020-02,0.05359,0.072,0.0467,0.04785,2508957.1999999997
8,2020-03,0.04559,0.055,0.01868,0.03023,3070949.4
9,2020-04,0.02975,0.05436,0.02975,0.049,7246754.6
10,2020-05,0.05083,0.08668,0.043,0.07905,8893389.6
11,2020-06,0.07842,0.09,0.06942,0.08332,10345319.200000001
12,2020-07,0.0865,0.156,0.08256,0.13891,11508770.5
13,2020-08,0.14538,0.15202,0.07641,0.11611,9215687.4
14,2020-09,0.12425,0.12737,0.07596,0.09826,7075717.700000001
15,2020-10,0.10319,0.11404,0.0893,0.09375,1875464.6
16,2020-11,0.0955,0.1825,0.08869,0.16843,7490009.1931
17,2020-12,0.1675,0.19702,0.13,0.17966,9963724.200000001
18,2021-01,0.18354,0.39719,0.16894,0.35671,20937749.599999998
19,2021-02,0.34771,1.4999,0.099,1.25125,26891229.099999998
20,2021-03,1.26946,1.47019,0.99,1.19218,16092970.7
21,2021-04,1.1919,1.55792,0.93,1.3571,12570748.999999998
22,2021-05,1.3347,2.46523,1.05,1.6927,14835850.9
23,2021-06,1.74109,1.891,1.0,1.331,4939451.6
24,2021-07,1.37581,1.49,1.02266,1.31576,2237295.1
25,2021-08,1.3649,2.9792,1.26221,2.7752,6037882.500000001
26,2021-09,2.83442,3.1201,1.92181,2.116,7293134.199999998
27,2021-10,2.23,2.36335,1.91323,1.965,4768237.899999999
