,Date,Open,High,Low,Close,Volume
0,2020-11,0.218,0.3241,0.2004,0.2785,83513.324
1,2020-12,0.2813,0.5797,0.2501,0.3537,325877.0
2,2021-01,0.3569,0.479,0.29,0.4336,184598.0
3,2021-02,0.4072,1.4,0.3995,0.7224,1206881.0
4,2021-03,0.7273,3.4945,0.7,1.329,748374.0
5,2021-04,1.4502,2.7081,0.9,1.2889,826254.0
6,2021-05,1.34,1.41,0.558,0.8469,294144.0
7,2021-06,0.837,0.97,0.2989,0.376,861064.0
8,2021-07,0.3418,0.65,0.2944,0.4512,1637035.0
9,2021-08,0.4512,0.6464,0.4396,0.571,846383.0
10,2021-09,0.5507,0.719,0.3939,0.4233,554748.0
11,2021-10,0.4517,1.7729,0.4191,0.9146,2193128.0
