,Date,Open,High,Low,Close,Volume
0,2021-11-05 00:00:00,2.785,2.785,2.785,2.785,0.0
1,2021-11-01 00:00:00,3.108,3.108,3.062,3.062,14.9
2,2021-11-04 03:00:00,2.922,2.962,2.922,2.957,16.7
3,2021-11-04 17:00:00,2.731,2.828,2.731,2.793,8.0
4,2021-11-05 19:00:00,2.79,2.81,2.79,2.81,3.2
5,2021-11-12 05:00:00,2.593,2.674,2.593,2.674,52.2
6,2021-11-07 00:00:00,2.997,2.997,2.997,2.997,0.0
7,2021-10-30 08:00:00,3.303,3.303,3.0,3.267,280.9
8,2021-11-02 04:00:00,3.173,3.173,3.086,3.086,14.7
9,2021-11-10 12:00:00,2.847,2.847,2.841,2.841,1.8
10,2021-11-11 18:00:00,2.666,2.666,2.666,2.666,0.0
11,2021-10-30 20:00:00,3.301,3.301,3.248,3.248,3.4
12,2021-11-07 15:00:00,2.862,2.935,2.85,2.85,17.2
13,2021-11-01 02:00:00,2.97,2.988,2.941,2.941,4.2
14,2021-11-02 06:00:00,3.117,3.123,3.117,3.123,3.3
15,2021-11-02 16:00:00,3.107,3.107,3.088,3.088,67.2
16,2021-11-12 00:00:00,2.639,2.674,2.639,2.674,120.9
17,2021-11-06 07:00:00,2.765,2.8,2.765,2.8,0.9
18,2021-11-07 07:00:00,2.84,2.906,2.84,2.84,58.8
19,2021-10-29 16:00:00,3.178,3.178,3.178,3.178,0.0
20,2021-10-31 15:00:00,3.068,3.288,2.996,3.058,33.3
21,2021-11-05 11:00:00,2.843,2.843,2.843,2.843,0.0
22,2021-11-05 16:00:00,2.804,2.829,2.793,2.822,15.2
23,2021-10-29 22:00:00,3.3,3.345,3.3,3.338,30.5
24,2021-11-05 18:00:00,2.793,2.793,2.764,2.79,4.1
25,2021-10-29 10:00:00,2.923,2.923,2.923,2.923,1.0
26,2021-11-08 17:00:00,2.786,2.8,2.786,2.8,21.3
27,2021-10-30 02:00:00,3.386,3.386,3.359,3.359,11.6
28,2021-11-02 00:00:00,2.992,2.992,2.992,2.992,0.0
29,2021-11-02 07:00:00,3.123,3.123,3.121,3.121,3.3
30,2021-11-06 00:00:00,2.754,2.754,2.754,2.754,0.0
31,2021-11-01 20:00:00,3.003,3.055,3.003,3.055,2.0
32,2021-11-08 20:00:00,2.847,2.847,2.84,2.84,4.4
33,2021-11-05 04:00:00,2.812,2.85,2.812,2.85,14.4
34,2021-11-10 00:00:00,2.784,2.79,2.784,2.79,61.3
35,2021-11-06 13:00:00,2.748,2.748,2.731,2.731,5862.8
36,2021-11-06 17:00:00,2.798,3.081,2.798,3.08,1777.6
37,2021-11-07 01:00:00,2.997,2.997,2.87,2.87,1.4
38,2021-11-09 01:00:00,2.847,2.848,2.847,2.848,1.7
39,2021-11-09 15:00:00,2.855,2.855,2.832,2.832,44.3
40,2021-11-09 22:00:00,2.75,2.786,2.74,2.786,33.1
41,2021-11-01 17:00:00,3.076,3.076,3.032,3.032,24.0
42,2021-11-08 01:00:00,2.75,2.998,2.75,2.998,2.0
43,2021-10-31 12:00:00,3.105,3.105,3.031,3.095,64.8
44,2021-11-02 11:00:00,3.048,3.083,3.048,3.069,17.9
45,2021-11-03 07:00:00,2.985,3.021,2.985,3.021,49.7
46,2021-11-05 23:00:00,2.754,2.754,2.754,2.754,0.0
47,2021-11-09 08:00:00,2.762,2.762,2.762,2.762,0.0
48,2021-11-06 21:00:00,3.03,3.03,2.818,2.818,671.4
49,2021-11-09 18:00:00,2.794,2.811,2.762,2.811,74.6
50,2021-11-02 01:00:00,2.992,3.039,2.992,3.03,14.8
