,Date,Open,High,Low,Close,Volume
0,2019-07-04,1.035,1.134,1.005,1.035,3907.9840000000004
1,2019-07-05,1.105,1.168,0.984,1.137,19218.91
2,2019-07-06,1.035,1.088,1.03,1.054,5780.497000000001
3,2019-07-07,1.035,1.098,1.035,1.058,2278.367
4,2019-07-08,1.03,1.054,1.03,1.04,1290.576
5,2019-07-09,1.07,1.076,1.029,1.043,4558.316
6,2019-07-10,1.043,1.1,0.979,1.019,1330.5970000000002
7,2019-07-11,0.909,1.029,0.858,0.943,3427.831
8,2019-07-12,0.87,0.884,0.807,0.834,427.837
9,2019-07-13,0.949,1.0,0.875,0.966,3664.1890000000003
10,2019-07-14,0.969,1.003,0.84,0.969,2447.577
11,2019-07-15,0.794,0.837,0.765,0.815,2223.3
12,2019-07-16,0.8,0.815,0.678,0.688,1126.455
13,2019-07-17,0.682,0.705,0.633,0.682,2154.622
14,2019-07-18,0.678,0.695,0.666,0.678,2760.1029999999996
15,2019-07-19,0.67,0.68,0.652,0.673,1487.058
16,2019-07-20,0.712,0.744,0.67,0.712,3777.859
17,2019-07-21,0.674,0.712,0.666,0.712,604.6659999999999
18,2019-07-22,0.671,0.675,0.651,0.651,782.2130000000001
19,2019-07-23,0.611,0.659,0.209,0.619,3033.6969999999997
20,2019-07-24,0.585,0.611,0.558,0.578,4843.383
21,2019-07-25,0.6,0.6,0.588,0.597,401.533
22,2019-07-26,0.627,0.7,0.596,0.662,2220.555
23,2019-07-27,0.682,0.682,0.58,0.593,2298.428
24,2019-07-28,0.58,0.595,0.58,0.591,607.997
25,2019-07-29,0.585,0.586,0.558,0.569,3863.8940000000002
26,2019-07-30,0.568,0.571,0.568,0.569,1389.692
27,2019-07-31,0.571,0.576,0.566,0.571,1530.941
28,2019-08-01,0.521,0.571,0.518,0.546,3694.144
29,2019-08-02,0.867,0.874,0.534,0.867,16584.196000000004
30,2019-08-03,0.806,0.808,0.743,0.806,7557.375999999999
31,2019-08-04,0.702,0.755,0.698,0.709,6495.304000000001
32,2019-08-05,0.674,0.799,0.674,0.674,2261.9759999999997
33,2019-08-06,0.751,0.799,0.705,0.777,2705.0009999999997
34,2019-08-07,0.699,0.725,0.681,0.705,753.5269999999999
35,2019-08-08,0.735,0.755,0.668,0.68,1428.762
36,2019-08-09,0.763,0.8,0.712,0.8,6311.992000000001
37,2019-08-10,0.862,0.862,0.708,0.815,5551.361
38,2019-08-11,0.844,0.872,0.815,0.83,2840.025
39,2019-08-12,0.801,0.844,0.778,0.785,11887.390000000001
40,2019-08-13,0.817,0.827,0.794,0.805,3536.474
41,2019-08-14,0.829,0.845,0.74,0.794,7781.7789999999995
