,Date,Open,High,Low,Close,Volume
0,2019-08,0.07041,0.0756,0.00575,0.05486,12346.0
1,2019-09,0.05486,0.05486,0.05199,0.05255,418.0
2,2019-10,0.05255,0.057,0.05255,0.054,6784.0
3,2019-11,0.054,0.05671,0.04182,0.0514,13342.0
4,2019-12,0.0514,0.0524,0.0379,0.03824,11014.0
5,2020-01,0.0379,0.048,0.03599,0.04614,38303.0
6,2020-02,0.04881,1.0,0.037,0.04809,179357.0
7,2020-03,0.04666,0.05608,0.02001,0.03296,120876.0
8,2020-04,0.03296,0.04043,0.03188,0.03724,260994.0
9,2020-05,0.0406,0.08593,0.03544,0.0465,2165245.0
10,2020-06,0.0487,0.05744,0.045,0.04781,677013.0
11,2020-07,0.04694,0.06453,0.045,0.05736,1946797.0
12,2020-08,0.05578,0.08966,0.055,0.0857,1532446.0
13,2020-09,0.08431,0.0857,0.04916,0.0513,396656.0
14,2020-10,0.05244,0.06359,0.04401,0.04732,368510.0
15,2020-11,0.04695,0.09181,0.0445,0.07131,874015.0
16,2020-12,0.07131,0.08738,0.05988,0.07083,501373.0
17,2021-01,0.07193,0.095,0.0651,0.07808,879205.0
18,2021-02,0.07652,0.27318,0.07652,0.15215,3085950.0
19,2021-03,0.16786,0.64,0.14,0.37,2576821.0
20,2021-04,0.41554,0.796,0.2,0.39515,3885052.0
21,2021-05,0.38983,0.628,0.14002,0.21043,1561725.0
22,2021-06,0.21483,0.24339,0.0536,0.15826,2495114.0
23,2021-07,0.17503,0.37665,0.11,0.3133,1184623.0
24,2021-08,0.26806,0.31781,0.22685,0.275,1945096.0
25,2021-09,0.29799,0.66,0.2469,0.26529,1842010.0
26,2021-10,0.2874,0.44136,0.2766,0.3367,730860.0
