,Date,Open,High,Low,Close,Volume
0,2021-05-17 07:00:00,1.445,1.511,1.419,1.511,2337.0
1,2021-05-18 02:00:00,1.48,1.48,1.443,1.46,164.0
2,2021-06-16 18:00:00,1.08,1.08,1.057,1.061,251.0
3,2021-06-19 09:00:00,0.988,0.988,0.988,0.988,0.0
4,2021-07-03 19:00:00,0.941,0.95,0.941,0.95,12.0
5,2021-07-15 12:00:00,0.931,0.931,0.931,0.931,0.0
6,2021-07-29 17:00:00,1.032,1.032,1.026,1.026,292.0
7,2021-07-31 08:00:00,1.19,1.19,1.175,1.175,1419.0
8,2021-08-07 05:00:00,1.32,1.32,1.285,1.307,46.0
9,2021-08-21 16:00:00,1.272,1.291,1.272,1.291,23.0
10,2021-09-03 10:00:00,1.456,1.51,1.456,1.487,1446.0
11,2021-09-13 04:00:00,1.607,1.607,1.53,1.531,551.0
12,2021-09-13 16:00:00,1.507,1.507,1.507,1.507,0.0
13,2021-09-19 21:00:00,1.85,1.85,1.815,1.815,564.0
14,2021-09-20 01:00:00,1.808,1.808,1.805,1.805,819.0
15,2021-09-30 01:00:00,1.373,1.376,1.355,1.355,183.0
16,2021-09-30 10:00:00,1.403,1.403,1.4,1.4,63.0
17,2021-10-13 09:00:00,1.548,1.548,1.548,1.548,0.0
18,2021-10-29 21:00:00,1.504,1.504,1.504,1.504,0.0
19,2021-05-14 01:00:00,1.733,1.753,1.733,1.743,1101.0
20,2021-05-19 15:00:00,1.695,1.697,1.695,1.696,209.0
21,2021-05-25 01:00:00,1.235,1.4,1.162,1.219,25804.0
22,2021-05-29 09:00:00,1.176,1.204,1.155,1.166,2469.0
23,2021-05-29 10:00:00,1.166,1.208,1.154,1.205,6483.0
24,2021-06-02 17:00:00,1.208,1.247,1.205,1.209,1860.0
25,2021-06-25 23:00:00,0.709,0.709,0.709,0.709,0.0
26,2021-07-13 18:00:00,0.929,0.942,0.929,0.941,242.0
27,2021-08-05 02:00:00,1.15,1.15,1.15,1.15,0.0
28,2021-08-16 19:00:00,1.313,1.314,1.31,1.31,326.0
29,2021-08-17 04:00:00,1.307,1.31,1.276,1.277,7.0
