,Date,Open,High,Low,Close,Volume
0,2021-08-24,30.157,31.424,27.922,30.157,889.8400000000001
1,2021-08-25,26.897,28.845,24.7,26.864,348.41999999999996
2,2021-08-26,25.65,27.828,23.92,23.93,753.94
3,2021-08-27,31.48,42.4,24.829,31.61,4818.42
4,2021-08-28,43.7,47.659,33.313,46.5,4586.1
5,2021-08-29,44.149,50.24,42.1,43.34,2708.17
6,2021-08-30,40.1,60.0,39.356,41.8,4267.830000000001
7,2021-08-31,63.88,70.0,54.22,67.131,6400.659999999999
8,2021-09-01,60.793,67.57,57.24,58.84,1711.4099999999999
9,2021-09-02,60.02,62.481,56.0,60.764,2220.71
10,2021-09-03,60.04,63.27,55.8,60.99,2914.68
11,2021-09-04,57.6,59.889,53.22,56.525,3438.2699999999995
12,2021-09-05,53.7,57.0,48.85,53.478,2498.89
13,2021-09-06,53.23,62.64,49.476,56.4,4118.07
14,2021-09-07,50.7,57.5,43.0,44.0,3154.0299999999997
15,2021-09-08,52.7,60.0,46.36,56.0,3581.779999999999
16,2021-09-09,55.0,67.8,54.35,60.0,3460.6200000000003
17,2021-09-10,63.999,68.993,56.4,62.48,1271.76
18,2021-09-11,59.825,62.84,57.0,57.76,420.05
19,2021-09-12,57.7,60.0,57.205,59.2,328.84999999999997
20,2021-09-13,51.719,57.51,49.5,54.3,828.82
21,2021-09-14,53.1,54.996,50.5,54.989,165.96
22,2021-09-15,53.1,54.5,50.601,53.3,229.60999999999999
23,2021-09-16,53.509,55.0,52.0,54.0,224.8
24,2021-09-17,49.87,52.401,48.0,49.945,382.95000000000005
25,2021-09-18,49.9,52.4,48.008,49.89,395.41
26,2021-09-19,48.38,54.2,48.38,49.05,410.66999999999996
27,2021-09-20,41.179,52.199,39.0,44.389,975.62
28,2021-09-21,38.95,42.665,35.0,40.28,532.44
29,2021-09-22,39.04,45.26,36.05,43.001,422.99
30,2021-09-23,45.29,52.05,43.001,51.91,557.87
31,2021-09-24,50.0,52.67,43.009,43.101,339.03000000000003
32,2021-09-25,44.004,48.994,44.002,46.664,106.04
33,2021-09-26,43.265,45.319,40.83,43.25,438.15999999999997
34,2021-09-27,42.77,46.0,41.0,45.66,251.52
35,2021-09-28,42.499,43.724,38.0,38.658,413.08000000000004
36,2021-09-29,42.64,44.563,38.692,42.5,438.04
37,2021-09-30,41.77,43.59,39.819,43.2,481.1000000000001
38,2021-10-01,48.849,49.0,42.87,48.39,560.56
39,2021-10-02,48.39,57.537,46.54,49.81,570.32
40,2021-10-03,56.0,58.5,54.1,56.41,700.89
41,2021-10-04,55.76,57.519,52.0,54.31,581.73
42,2021-10-05,52.01,55.35,51.78,53.01,235.21000000000004
43,2021-10-06,53.72,67.46,48.04,53.67,1103.6299999999999
44,2021-10-07,60.0,66.735,58.7,61.0,832.8099999999998
45,2021-10-08,65.4,69.999,59.77,64.4,772.3300000000002
46,2021-10-09,62.8,63.469,60.002,61.65,610.9
47,2021-10-10,60.74,62.86,58.0,59.611,298.49
48,2021-10-11,58.0,64.15,57.0,57.0,460.53999999999996
49,2021-10-12,52.88,58.7,52.0,53.0,644.63
50,2021-10-13,51.91,55.41,50.699,54.1,542.74
51,2021-10-14,53.419,54.8,52.3,53.419,194.26000000000002
52,2021-10-15,51.26,53.8,51.26,51.26,433.14
53,2021-10-16,54.59,56.55,52.0,52.53,245.86999999999998
54,2021-10-17,52.0,53.34,49.13,51.5,237.85
55,2021-10-18,52.21,52.53,48.8,50.109,366.58
56,2021-10-19,50.73,55.319,50.361,53.92,277.48
57,2021-10-20,55.58,56.62,53.24,55.28,354.8299999999999
58,2021-10-21,53.98,57.805,53.28,53.89,259.81000000000006
59,2021-10-22,54.53,56.09,53.28,54.13,259.18000000000006
60,2021-10-23,54.5,54.64,51.26,54.52,179.57
61,2021-10-24,51.51,52.81,49.3,52.543,335.86000000000007
62,2021-10-25,52.15,54.6,51.51,52.68,358.79
63,2021-10-26,52.0,55.2,52.0,53.04,632.3199999999999
64,2021-10-27,50.5,57.0,46.849,47.14,613.44
65,2021-10-28,49.8,51.0,45.61,47.47,470.76
66,2021-10-29,50.5,55.0,47.5,52.836,421.92
67,2021-10-30,51.5,52.57,48.62,49.192,362.03999999999996
68,2021-10-31,48.86,60.139,48.62,52.37,1292.79
69,2021-11-01,53.87,57.0,51.0,53.91,598.2299999999999
70,2021-11-02,53.68,75.0,53.68,54.64,2803.57
71,2021-11-03,83.66,88.774,69.3,75.66,2683.67
72,2021-11-04,72.0,87.0,69.02,73.16,610.59
73,2021-11-05,75.5,91.36,74.0,80.48,1275.13
74,2021-11-06,73.4,84.0,72.0,82.78,454.08
75,2021-11-07,79.047,85.0,76.101,77.137,324.7299999999999
76,2021-11-08,78.759,79.935,73.0,79.935,387.5300000000001
77,2021-11-09,79.914,79.995,72.0,74.54,364.23999999999995
78,2021-11-10,73.5,76.34,72.1,72.97,836.62
79,2021-11-11,70.377,73.293,66.0,71.61,722.5299999999997
