,Date,Open,High,Low,Close,Volume
0,2019-06-26,6.65,6.766,6.351,6.766,39.86
1,2019-06-27,5.676,6.351,5.568,6.089,126.58000000000001
2,2019-06-28,5.646,5.646,5.555,5.555,13.35
3,2019-06-29,5.555,6.138,5.555,5.78,64.86
4,2019-06-30,6.138,6.138,5.544,5.7,461.63
5,2019-07-01,5.518,5.681,5.518,5.544,10.65
6,2019-07-02,5.404,5.518,5.23,5.518,68.36
7,2019-07-03,5.352,5.472,5.352,5.405,17.49
8,2019-07-04,5.528,5.687,5.472,5.528,125.42999999999999
9,2019-07-05,5.399,5.55,5.36,5.55,6.680000000000001
10,2019-07-06,5.406,5.406,5.36,5.403,144.85
11,2019-07-07,5.4,5.4,5.246,5.246,4.02
12,2019-07-08,5.25,5.312,5.246,5.3,28.120000000000005
13,2019-07-09,5.25,5.25,4.9,5.25,46.16
14,2019-07-10,4.94,4.94,4.7,4.8,67.17
15,2019-07-11,4.22,4.7,4.144,4.144,2.4
16,2019-07-12,4.477,4.485,4.144,4.477,4.37
17,2019-07-13,4.37,4.485,4.354,4.354,3.7
18,2019-07-14,3.929,4.354,3.888,3.929,7.28
19,2019-07-15,3.717,3.888,3.717,3.888,15.0
20,2019-07-16,3.717,3.717,3.717,3.717,0.0
21,2019-07-17,3.717,3.94,3.717,3.94,1.7
22,2019-07-18,3.87,3.94,3.87,3.87,1.1
23,2019-07-19,3.961,3.961,3.87,3.907,56.36
24,2019-07-20,4.036,4.181,3.907,4.129,156.44
25,2019-07-21,4.2,4.2,4.068,4.112,71.84
26,2019-07-22,4.285,4.328,4.112,4.328,184.69
27,2019-07-23,3.854,4.328,3.801,3.857,54.47
28,2019-07-24,3.801,3.911,3.801,3.911,7.9
29,2019-07-25,3.835,3.978,3.824,3.95,65.26
30,2019-07-26,3.823,3.861,3.8,3.823,83.19999999999999
31,2019-07-27,3.8,3.8,3.605,3.8,18.68
32,2019-07-28,3.618,3.618,3.596,3.605,9.879999999999999
33,2019-07-29,3.604,3.604,3.57,3.593,27.51
34,2019-07-30,3.593,3.593,3.593,3.593,0.0
35,2019-07-31,3.664,3.684,3.593,3.684,1.8699999999999999
36,2019-08-01,3.613,3.684,3.5,3.613,35.0
37,2019-08-02,3.735,3.8,3.5,3.534,59.330000000000005
38,2019-08-03,3.605,3.756,3.605,3.733,66.47999999999999
39,2019-08-04,3.75,3.75,3.599,3.599,9.0
40,2019-08-05,3.599,3.628,3.599,3.628,1.0
41,2019-08-06,3.587,3.628,3.583,3.587,47.64
42,2019-08-07,3.57,3.583,3.5,3.583,70.46000000000001
43,2019-08-08,3.501,3.501,3.321,3.321,33.25
44,2019-08-09,3.321,3.321,3.134,3.321,1.17
45,2019-08-10,3.235,3.284,3.134,3.208,18.36
46,2019-08-11,3.403,3.403,3.284,3.284,9.0
47,2019-08-12,3.459,3.643,3.403,3.403,12.42
48,2019-08-13,3.189,3.459,3.189,3.312,28.9
49,2019-08-14,3.189,3.193,2.9,3.018,75.91
50,2019-08-15,2.9,2.903,2.9,2.903,4.0
51,2019-08-16,2.934,2.934,2.853,2.903,7.81
52,2019-08-17,2.934,2.934,2.934,2.934,0.0
53,2019-08-18,2.934,2.964,2.934,2.934,15.0
54,2019-08-19,2.928,2.964,2.867,2.928,54.83
55,2019-08-20,2.8,2.889,2.8,2.8,77.27
56,2019-08-21,2.856,2.856,2.688,2.704,48.33
57,2019-08-22,2.676,2.734,2.626,2.706,47.01
58,2019-08-23,2.708,2.998,2.696,2.696,8.03
59,2019-08-24,2.65,2.735,2.634,2.65,10.6
60,2019-08-25,2.712,2.712,2.634,2.712,6.0
61,2019-08-26,2.648,2.679,2.648,2.679,2.0
62,2019-08-27,2.536,2.679,2.508,2.679,58.480000000000004
63,2019-08-28,2.596,2.596,2.51,2.51,4.95
64,2019-08-29,2.51,2.51,2.51,2.51,0.0
65,2019-08-30,2.51,2.51,2.169,2.169,56.75
66,2019-08-31,2.078,2.169,2.032,2.078,1930.24
67,2019-09-01,2.224,2.4,2.032,2.115,2035.44
68,2019-09-02,2.4,2.4,2.082,2.089,546.44
69,2019-09-03,2.198,2.2,2.132,2.173,113.17
70,2019-09-04,2.061,2.198,2.033,2.198,236.23
71,2019-09-05,1.915,2.033,1.915,1.96,106.25999999999999
72,2019-09-06,2.059,2.2,1.915,2.2,368.81
73,2019-09-07,2.067,2.262,2.067,2.262,192.44
74,2019-09-08,2.175,2.623,2.175,2.22,135.12
75,2019-09-09,2.623,2.926,2.546,2.89,128.89
76,2019-09-10,2.89,2.89,2.575,2.89,142.0
77,2019-09-11,2.52,2.575,2.52,2.531,104.06
78,2019-09-12,2.557,3.158,2.53,2.562,252.44999999999996
79,2019-09-13,3.065,3.27,3.014,3.27,533.92
80,2019-09-14,3.077,3.209,3.015,3.137,180.52
81,2019-09-15,3.342,3.583,3.137,3.443,315.42999999999995
82,2019-09-16,3.553,3.553,3.229,3.526,449.3299999999999
83,2019-09-17,3.242,3.405,3.21,3.242,878.7600000000001
84,2019-09-18,3.325,3.371,3.297,3.364,157.53
85,2019-09-19,3.326,3.326,3.326,3.326,0.0
86,2019-09-20,3.326,3.326,3.091,3.091,207.09
87,2019-09-21,3.095,3.173,3.091,3.095,69.32
88,2019-09-22,3.095,3.095,3.095,3.095,0.0
89,2019-09-23,3.095,3.095,2.625,2.75,106.23
90,2019-09-24,2.665,2.665,2.231,2.558,218.03
91,2019-09-25,2.168,3.172,2.168,2.17,312.28000000000003
92,2019-09-26,2.411,2.411,2.204,2.411,106.44
93,2019-09-27,2.212,2.243,2.182,2.182,58.699999999999996
94,2019-09-28,2.254,2.286,2.182,2.271,201.11
95,2019-09-29,2.212,2.254,2.132,2.212,180.63
96,2019-09-30,2.48,2.55,2.178,2.248,662.7900000000001
97,2019-10-01,2.552,2.664,2.479,2.607,263.2
98,2019-10-02,2.54,2.552,2.441,2.499,400.72
99,2019-10-03,2.59,2.64,2.539,2.64,498.95
100,2019-10-04,2.552,2.595,2.475,2.52,205.45999999999998
101,2019-10-05,2.641,2.712,2.595,2.65,25.32
102,2019-10-06,2.712,2.738,2.696,2.697,118.75
103,2019-10-07,2.697,2.938,2.582,2.762,254.48999999999998
104,2019-10-08,2.965,3.003,2.888,2.907,534.73
105,2019-10-09,3.0,3.0,2.888,2.888,107.36
106,2019-10-10,2.925,3.0,2.749,2.773,125.35
107,2019-10-11,2.777,2.834,2.777,2.777,15.0
108,2019-10-12,2.777,2.777,2.777,2.777,0.0
109,2019-10-13,2.777,2.782,2.777,2.777,10.0
110,2019-10-14,3.036,3.11,2.782,3.036,140.0
111,2019-10-15,2.908,3.102,2.908,3.102,101.28
112,2019-10-16,2.799,2.908,2.799,2.908,58.519999999999996
113,2019-10-17,2.852,2.911,2.745,2.911,62.22
114,2019-10-18,2.911,2.911,2.762,2.911,38.88
115,2019-10-19,2.762,2.796,2.761,2.762,15.010000000000002
116,2019-10-20,2.796,2.796,2.727,2.759,51.160000000000004
117,2019-10-21,2.918,2.918,2.759,2.918,118.74
118,2019-10-22,2.975,3.0,2.918,2.975,78.82
119,2019-10-23,2.876,2.975,2.67,2.679,120.79999999999998
120,2019-10-24,2.679,2.679,2.679,2.679,0.0
121,2019-10-25,2.679,3.062,2.679,2.969,279.74
122,2019-10-26,3.166,3.18,3.049,3.166,120.96000000000001
123,2019-10-27,3.052,3.179,3.052,3.179,13.759999999999998
124,2019-10-28,3.189,3.189,3.098,3.17,125.04
125,2019-10-29,3.162,3.171,3.139,3.162,23.54
126,2019-10-30,3.152,3.152,3.022,3.152,30.0
127,2019-10-31,3.044,3.27,3.022,3.044,125.1
128,2019-11-01,3.244,3.27,3.18,3.188,61.06
129,2019-11-02,3.303,3.303,3.238,3.303,12.0
130,2019-11-03,3.303,3.368,3.303,3.303,1.0
131,2019-11-04,3.511,3.602,3.368,3.368,17.19
132,2019-11-05,3.731,3.774,3.598,3.683,19.27
133,2019-11-06,3.683,3.683,3.683,3.683,0.0
134,2019-11-07,3.683,3.699,3.683,3.699,1.0
135,2019-11-08,3.904,3.972,3.699,3.904,27.36
136,2019-11-09,3.904,3.904,3.904,3.904,0.0
137,2019-11-10,4.208,4.208,3.904,4.208,7.89
138,2019-11-11,4.208,4.332,4.146,4.158,114.23
139,2019-11-12,4.25,4.332,4.106,4.25,3.0300000000000002
140,2019-11-13,4.0,4.106,3.997,4.106,294.44
141,2019-11-14,4.0,4.0,3.877,3.877,1.83
142,2019-11-15,4.06,4.06,3.877,3.877,105.75
143,2019-11-16,3.868,4.06,3.868,3.868,2.0
144,2019-11-17,3.891,3.891,3.868,3.891,7.93
145,2019-11-18,3.891,5.0,3.558,3.69,22.099999999999998
146,2019-11-19,3.578,3.578,3.35,3.578,38.99
147,2019-11-20,3.55,3.55,3.462,3.55,19.71
148,2019-11-21,3.55,3.55,3.284,3.55,7.93
149,2019-11-22,3.284,3.284,3.284,3.284,0.0
150,2019-11-23,2.95,3.284,2.941,3.143,32.57
151,2019-11-24,3.191,3.191,3.097,3.097,15.080000000000002
152,2019-11-25,3.105,3.454,3.08,3.454,43.45
153,2019-11-26,3.506,3.641,3.454,3.506,35.84
154,2019-11-27,3.506,3.676,3.506,3.506,2.83
155,2019-11-28,3.676,3.739,3.676,3.739,2.84
156,2019-11-29,3.739,3.991,3.739,3.739,58.22
157,2019-11-30,3.991,3.991,3.884,3.884,1.55
158,2019-12-01,3.884,3.884,3.884,3.884,0.0
159,2019-12-02,3.884,3.884,3.884,3.884,0.0
160,2019-12-03,3.884,3.884,3.67,3.67,8.86
161,2019-12-04,3.688,3.701,3.58,3.688,161.82
162,2019-12-05,3.688,3.688,3.492,3.492,166.14000000000001
163,2019-12-06,3.492,3.661,3.492,3.492,0.7
164,2019-12-07,3.661,3.854,3.661,3.854,62.07
165,2019-12-08,3.907,3.955,3.854,3.864,19.87
166,2019-12-09,3.955,3.955,3.775,3.892,7.21
167,2019-12-10,3.657,3.775,3.657,3.775,15.18
168,2019-12-11,3.657,3.687,3.657,3.657,30.25
169,2019-12-12,4.022,4.136,3.687,3.687,698.3100000000001
170,2019-12-13,4.128,4.128,4.072,4.128,4.04
171,2019-12-14,4.072,4.277,4.072,4.072,4.08
172,2019-12-15,4.48,4.6,4.25,4.582,111.96000000000001
173,2019-12-16,4.03,4.582,4.03,4.33,704.5
174,2019-12-17,3.92,4.03,3.603,3.92,97.69
175,2019-12-18,3.603,4.207,3.603,3.603,176.37
176,2019-12-19,4.23,4.23,4.207,4.207,1.15
177,2019-12-20,4.229,4.23,4.229,4.229,3.2
178,2019-12-21,4.118,4.229,4.118,4.229,2.4
179,2019-12-22,4.118,4.21,4.083,4.118,5.58
180,2019-12-23,4.21,4.21,4.21,4.21,25.0
181,2019-12-24,4.21,4.21,4.21,4.21,0.0
182,2019-12-25,4.21,4.21,4.21,4.21,0.0
183,2019-12-26,4.433,4.433,4.21,4.433,6.07
184,2019-12-27,4.72,4.72,4.433,4.72,5.84
185,2019-12-28,4.654,4.654,4.512,4.512,4.35
186,2019-12-29,4.384,4.55,4.278,4.305,171.56
187,2019-12-30,4.166,4.327,4.166,4.305,34.9
188,2019-12-31,4.148,4.271,4.148,4.2,24.88
189,2020-01-01,4.304,4.304,4.2,4.304,5.03
190,2020-01-02,4.265,4.304,4.188,4.304,11.03
191,2020-01-03,4.188,4.219,4.188,4.188,0.7
192,2020-01-04,4.219,4.291,4.219,4.219,24.28
193,2020-01-05,4.291,4.333,4.223,4.223,36.029999999999994
194,2020-01-06,4.094,4.226,4.059,4.205,366.15999999999997
195,2020-01-07,4.2,4.2,4.059,4.2,161.63
196,2020-01-08,4.2,4.2,4.028,4.103,82.6
197,2020-01-09,4.155,4.234,4.02,4.028,82.24
198,2020-01-10,4.286,4.41,4.234,4.34,406.06
199,2020-01-11,4.362,4.391,4.34,4.362,98.56
200,2020-01-12,4.306,4.35,4.306,4.306,25.65
201,2020-01-13,4.306,4.306,4.141,4.141,4.0
202,2020-01-14,4.141,4.628,4.141,4.275,530.21
203,2020-01-15,4.734,4.839,4.421,4.578,490.03999999999996
204,2020-01-16,4.734,5.304,4.588,4.734,345.31
205,2020-01-17,4.99,5.109,4.8,4.8,260.35
206,2020-01-18,4.812,4.812,4.643,4.759,47.08
207,2020-01-19,4.403,4.725,4.401,4.66,158.23
208,2020-01-20,4.471,4.574,4.471,4.471,2.0
209,2020-01-21,4.549,4.65,4.549,4.549,51.92
210,2020-01-22,4.65,4.65,4.616,4.616,49.0
211,2020-01-23,4.407,4.616,4.4,4.407,33.739999999999995
212,2020-01-24,4.407,4.484,4.407,4.407,6.0
213,2020-01-25,4.411,4.484,4.411,4.411,14.0
214,2020-01-26,4.411,4.49,4.411,4.411,0.91
215,2020-01-27,4.601,4.601,4.483,4.483,4.36
216,2020-01-28,4.517,4.601,4.515,4.517,24.5
217,2020-01-29,4.52,4.573,4.409,4.52,57.849999999999994
218,2020-01-30,4.409,4.452,4.374,4.374,159.74
219,2020-01-31,4.39,4.55,4.343,4.501,85.56
220,2020-02-01,4.4,4.4,4.311,4.329,433.84999999999997
221,2020-02-02,4.423,4.439,4.281,4.3,367.6
222,2020-02-03,4.352,4.424,4.277,4.352,525.49
223,2020-02-04,4.229,4.277,4.0,4.201,899.2800000000001
224,2020-02-05,4.178,4.329,4.178,4.311,834.2399999999999
225,2020-02-06,4.565,4.565,4.295,4.565,178.11
226,2020-02-07,4.654,4.884,4.551,4.565,215.95
227,2020-02-08,4.677,4.855,4.677,4.677,155.04
228,2020-02-09,4.693,4.763,4.69,4.693,238.11
229,2020-02-10,4.675,4.72,4.6,4.7,65.94
230,2020-02-11,4.937,5.094,4.675,5.094,36.489999999999995
231,2020-02-12,5.163,5.3,5.094,5.261,211.68000000000004
232,2020-02-13,4.896,5.229,4.873,5.12,183.98000000000002
233,2020-02-14,4.909,5.105,4.909,4.909,15.789999999999997
234,2020-02-15,5.004,5.124,4.5,4.598,335.37
235,2020-02-16,4.198,4.685,4.198,4.295,221.25
236,2020-02-17,4.095,4.363,4.0,4.19,86.91
237,2020-02-18,4.282,4.459,4.146,4.146,168.4
238,2020-02-19,4.4,4.64,4.14,4.146,202.62
239,2020-02-20,4.14,4.7,4.137,4.14,338.12
240,2020-02-21,4.78,4.882,4.511,4.68,389.54999999999995
241,2020-02-22,4.924,5.06,4.767,4.767,278.25
242,2020-02-23,5.06,5.06,4.772,4.772,83.15
243,2020-02-24,4.514,4.877,4.514,4.691,317.12999999999994
244,2020-02-25,4.053,4.514,4.053,4.364,37.14
245,2020-02-26,3.764,4.053,3.499,3.915,100.9
246,2020-02-27,3.4,3.859,3.4,3.859,86.87
247,2020-02-28,3.5,3.859,3.5,3.5,57.769999999999996
248,2020-02-29,3.523,3.656,3.5,3.523,456.45
249,2020-03-01,3.523,3.543,3.296,3.478,252.78
250,2020-03-02,3.354,3.699,3.296,3.699,132.02
251,2020-03-03,3.699,3.699,3.599,3.699,16.88
252,2020-03-04,3.771,3.855,3.599,3.832,24.230000000000004
253,2020-03-05,3.9,3.92,3.789,3.878,618.61
254,2020-03-06,3.825,3.88,3.747,3.825,109.88000000000001
255,2020-03-07,3.6,3.85,3.6,3.6,25.85
256,2020-03-08,3.6,3.6,3.07,3.297,87.42
257,2020-03-09,2.943,3.153,2.935,3.117,706.1499999999999
258,2020-03-10,3.134,3.173,2.935,2.956,190.91
259,2020-03-11,3.073,3.133,2.725,2.846,71.05000000000001
260,2020-03-12,2.973,2.973,1.827,2.825,297.11000000000007
261,2020-03-13,1.603,1.937,1.113,1.759,452.5999999999999
262,2020-03-14,1.838,1.838,1.727,1.804,605.9200000000001
263,2020-03-15,1.994,1.994,1.813,1.902,854.1499999999999
264,2020-03-16,1.603,1.994,1.543,1.596,392.40999999999997
265,2020-03-17,1.701,1.816,1.701,1.76,482.11999999999995
266,2020-03-18,1.76,1.839,1.684,1.684,21.0
267,2020-03-19,1.684,2.151,1.684,1.927,1037.05
268,2020-03-20,2.262,2.445,1.9,2.151,1517.5
269,2020-03-21,2.14,2.227,2.074,2.088,753.0500000000001
270,2020-03-22,2.2,2.227,1.973,2.039,319.02
271,2020-03-23,2.08,2.08,1.907,2.056,1034.19
272,2020-03-24,2.111,2.192,2.08,2.165,1052.15
273,2020-03-25,2.091,2.141,2.091,2.091,221.01
274,2020-03-26,2.121,2.14,2.066,2.091,75.02
275,2020-03-27,2.179,2.19,1.974,2.162,132.74
276,2020-03-28,1.953,1.974,1.889,1.954,556.42
277,2020-03-29,1.933,1.933,1.89,1.906,49.629999999999995
278,2020-03-30,1.909,1.992,1.863,1.89,158.82
279,2020-03-31,1.967,1.989,1.956,1.98,32.71
280,2020-04-01,1.891,1.967,1.891,1.891,244.57999999999998
281,2020-04-02,1.98,2.023,1.891,1.972,191.48000000000002
282,2020-04-03,2.047,2.057,1.967,1.974,918.7700000000001
283,2020-04-04,1.976,2.025,1.976,2.011,2315.67
284,2020-04-05,2.031,2.066,2.012,2.064,258.36
285,2020-04-06,2.205,2.385,2.034,2.192,1162.7
286,2020-04-07,2.317,2.47,2.317,2.427,1056.9600000000003
287,2020-04-08,2.404,2.47,2.318,2.325,319.1
288,2020-04-09,2.504,2.566,2.393,2.393,286.8
289,2020-04-10,2.23,2.565,2.23,2.443,253.96000000000004
290,2020-04-11,2.341,2.341,2.24,2.341,182.37
291,2020-04-12,2.31,2.31,2.24,2.31,54.33
292,2020-04-13,2.31,2.31,2.2,2.31,66.41
293,2020-04-14,2.387,2.426,2.226,2.413,146.69
294,2020-04-15,2.387,2.387,2.312,2.323,21.78
295,2020-04-16,2.249,2.415,2.249,2.249,105.41
296,2020-04-17,2.4,2.4,2.36,2.379,66.71
297,2020-04-18,2.4,2.482,2.4,2.4,132.42
298,2020-04-19,2.485,2.537,2.424,2.482,84.2
299,2020-04-20,2.433,2.446,2.304,2.359,425.7299999999999
300,2020-04-21,2.304,2.304,2.298,2.301,69.28
301,2020-04-22,2.348,2.418,2.298,2.418,226.45
302,2020-04-23,2.459,2.463,2.353,2.418,122.91
303,2020-04-24,2.559,2.814,2.463,2.463,678.82
304,2020-04-25,2.798,2.946,2.68,2.887,930.5600000000001
305,2020-04-26,2.835,2.887,2.786,2.881,1107.1499999999999
306,2020-04-27,2.749,2.824,2.675,2.675,494.95000000000005
307,2020-04-28,2.675,2.839,2.675,2.798,757.55
308,2020-04-29,2.957,2.958,2.781,2.945,640.5899999999999
309,2020-04-30,2.957,3.067,2.742,2.742,1666.92
310,2020-05-01,2.899,2.916,2.742,2.742,242.94000000000003
311,2020-05-02,2.861,2.895,2.842,2.849,457.75
312,2020-05-03,2.853,2.901,2.78,2.785,523.56
313,2020-05-04,2.577,2.783,2.577,2.78,26.41
314,2020-05-05,2.702,2.761,2.665,2.745,390.45
315,2020-05-06,2.702,2.753,2.66,2.702,101.66
316,2020-05-07,2.66,2.748,2.6,2.746,2398.69
317,2020-05-08,2.735,2.844,2.691,2.691,5309.69
318,2020-05-09,2.835,2.858,2.775,2.79,589.52
319,2020-05-10,2.775,2.775,2.465,2.494,794.82
320,2020-05-11,2.494,2.544,2.328,2.457,197.51
321,2020-05-12,2.515,2.515,2.389,2.389,291.84999999999997
322,2020-05-13,2.472,2.55,2.464,2.513,126.61
323,2020-05-14,2.537,2.538,2.492,2.514,88.91000000000001
324,2020-05-15,2.576,2.576,2.516,2.576,94.61
325,2020-05-16,2.576,2.576,2.515,2.533,495.31
326,2020-05-17,2.522,2.584,2.522,2.579,41.25
327,2020-05-18,2.588,2.613,2.584,2.588,33.089999999999996
328,2020-05-19,2.58,2.623,2.563,2.588,103.70000000000002
329,2020-05-20,2.589,2.704,2.566,2.589,1642.28
330,2020-05-21,2.557,2.71,2.498,2.557,1809.5
331,2020-05-22,2.553,2.664,2.498,2.628,739.03
332,2020-05-23,2.577,2.676,2.577,2.596,86.95
333,2020-05-24,2.555,2.655,2.555,2.591,642.3899999999999
334,2020-05-25,2.498,2.63,2.498,2.6,328.88
335,2020-05-26,2.631,2.631,2.572,2.63,354.67
336,2020-05-27,2.592,2.662,2.588,2.592,424.89000000000004
337,2020-05-28,2.593,2.639,2.563,2.593,211.95000000000002
338,2020-05-29,2.65,2.693,2.622,2.65,167.82999999999998
339,2020-05-30,2.796,2.821,2.662,2.748,930.22
340,2020-05-31,2.865,2.894,2.764,2.783,583.66
341,2020-06-01,2.796,2.838,2.736,2.778,383.18
342,2020-06-02,2.836,2.941,2.695,2.722,345.65999999999997
343,2020-06-03,2.899,2.901,2.722,2.84,682.4699999999999
344,2020-06-04,3.006,3.151,2.891,3.151,637.01
345,2020-06-05,3.152,3.17,3.056,3.151,443.01
346,2020-06-06,3.068,3.136,3.068,3.13,448.8
347,2020-06-07,3.072,3.086,2.929,3.086,183.01
348,2020-06-08,3.117,3.117,2.985,3.079,559.22
349,2020-06-09,3.163,3.179,3.117,3.117,275.71000000000004
350,2020-06-10,3.117,3.117,3.066,3.066,552.98
351,2020-06-11,3.074,3.115,2.782,2.985,588.73
352,2020-06-12,2.782,2.889,2.782,2.782,472.32
353,2020-06-13,2.85,2.899,2.822,2.848,741.46
354,2020-06-14,2.854,2.87,2.781,2.848,960.3900000000001
355,2020-06-15,2.605,2.781,2.605,2.754,560.53
356,2020-06-16,2.74,2.74,2.728,2.74,204.19000000000003
357,2020-06-17,2.721,2.74,2.678,2.721,708.64
358,2020-06-18,2.692,2.721,2.642,2.684,2030.78
359,2020-06-19,2.622,2.656,2.592,2.598,699.97
360,2020-06-20,2.607,2.622,2.607,2.622,3.71
361,2020-06-21,2.628,2.628,2.591,2.609,136.20000000000002
362,2020-06-22,2.712,2.719,2.628,2.712,506.56
363,2020-06-23,2.687,2.831,2.664,2.687,225.22
364,2020-06-24,2.769,2.82,2.628,2.79,212.13
365,2020-06-25,2.632,2.668,2.56,2.632,284.53
366,2020-06-26,2.548,2.653,2.537,2.56,226.72
367,2020-06-27,2.596,2.639,2.324,2.638,424.3500000000001
368,2020-06-28,2.8,2.8,2.324,2.509,317.78000000000003
369,2020-06-29,2.506,2.592,2.486,2.509,202.45000000000002
370,2020-06-30,2.589,2.658,2.578,2.658,224.1
371,2020-07-01,2.612,2.652,2.589,2.652,318.38
372,2020-07-02,2.735,2.765,2.573,2.714,973.07
373,2020-07-03,2.78,2.789,2.634,2.727,120.28999999999999
374,2020-07-04,2.78,2.78,2.711,2.726,45.78
375,2020-07-05,2.78,2.981,2.726,2.841,550.84
376,2020-07-06,3.0,3.1,2.841,2.949,492.93
377,2020-07-07,3.136,3.25,2.998,3.02,814.0699999999999
378,2020-07-08,3.358,3.52,3.194,3.34,420.57
379,2020-07-09,3.582,3.708,3.456,3.456,929.91
380,2020-07-10,3.679,4.064,3.582,3.995,1222.8
381,2020-07-11,4.233,4.461,4.006,4.064,3015.5499999999997
382,2020-07-12,4.0,4.161,3.94,4.074,587.2600000000001
383,2020-07-13,4.236,4.327,3.8,3.864,794.6200000000001
384,2020-07-14,3.88,4.011,3.813,3.969,383.82000000000005
385,2020-07-15,3.95,4.073,3.904,3.904,711.5699999999998
386,2020-07-16,3.993,4.229,3.857,4.229,1220.22
387,2020-07-17,3.988,4.214,3.955,3.987,821.7700000000001
388,2020-07-18,4.107,4.5,4.099,4.146,605.23
389,2020-07-19,4.499,4.499,4.1,4.132,407.53999999999996
390,2020-07-20,4.214,4.236,3.9,4.211,840.17
391,2020-07-21,3.9,4.046,3.825,3.968,1700.6700000000003
392,2020-07-22,3.97,4.029,3.888,3.97,627.85
393,2020-07-23,4.051,4.099,3.962,3.998,882.36
394,2020-07-24,3.884,3.962,3.825,3.898,201.83
395,2020-07-25,3.825,3.927,3.8,3.825,490.69
396,2020-07-26,3.864,3.915,3.76,3.884,638.63
