,Date,Open,High,Low,Close,Volume
0,2019-07,5.518,5.687,3.57,3.684,1292.5799999999997
1,2019-08,3.613,3.8,2.032,2.078,2799.2200000000003
2,2019-09,2.224,3.583,1.915,2.248,8999.419999999998
3,2019-10,2.552,3.27,2.441,3.044,4062.9
4,2019-11,3.244,5.0,2.941,3.884,957.09
5,2019-12,3.884,4.72,3.492,4.2,2553.9800000000005
6,2020-01,4.304,5.304,4.02,4.501,3624.7700000000004
7,2020-02,4.4,5.3,3.4,3.523,7521.43
8,2020-03,3.523,3.92,1.113,1.98,12280.4
9,2020-04,1.891,3.067,1.891,2.742,14989.61
10,2020-05,2.899,2.916,2.328,2.783,20230.58
11,2020-06,2.796,3.179,2.324,2.658,14241.81
12,2020-07,2.612,4.5,2.573,3.803,24909.210000000003
13,2020-08,4.021,8.809,3.61,7.366,39596.1
14,2020-09,7.381,7.466,3.874,5.54,13783.69
15,2020-10,5.387,6.252,4.452,4.769,6377.0199999999995
16,2020-11,4.6,25.341,4.273,5.483,170785.6652
17,2020-12,5.502,6.451,4.293,5.533,112704.97
18,2021-01,6.074,10.134,4.7,8.517,313405.66000000003
19,2021-02,8.134,29.749,7.89,17.104,297639.25
20,2021-03,18.552,24.547,16.551,19.445,131070.03
21,2021-04,19.097,28.5,16.3,22.874,120252.71999999997
22,2021-05,23.904,35.0,8.686,12.217,113234.70999999999
23,2021-06,14.206,17.248,7.001,11.426,66847.07
24,2021-07,11.061,14.78,9.0,12.036,87940.03
25,2021-08,12.92,26.101,11.8,24.12,62886.22
26,2021-09,22.83,44.496,18.5,34.36,104383.93000000001
27,2021-10,35.63,43.1,30.04,37.5,38420.27
