,Date,Open,High,Low,Close,Volume
0,2020-08-13,1.8856,2.0,1.77,1.9141,1079903.35
1,2020-08-14,1.833,1.8952,1.7615,1.83,898064.79
2,2020-08-15,1.748,1.8315,1.7065,1.7704,53150.65000000001
3,2020-08-16,1.7662,1.79,1.6559,1.716,42415.5
4,2020-08-17,1.7208,1.7899,1.61,1.68,62976.38
5,2020-08-18,1.62,1.6829,1.5601,1.5928,42299.670000000006
6,2020-08-19,1.6225,1.635,1.4266,1.4396,24465.480000000003
7,2020-08-20,1.4428,1.6348,1.4326,1.5984,27308.819999999996
8,2020-08-21,1.5032,1.573,1.3499,1.48,11533.2
9,2020-08-22,1.3648,1.498,1.25,1.32,15314.890000000005
10,2020-08-23,1.3258,1.4895,1.32,1.4,9686.839999999997
11,2020-08-24,1.3885,1.47,1.3465,1.3778,14188.41
12,2020-08-25,1.384,1.4353,1.18,1.4,17593.059999999998
13,2020-08-26,1.2605,1.4604,1.23,1.2787,33382.810000000005
14,2020-08-27,1.3041,1.4969,1.2979,1.4868,18042.94
15,2020-08-28,1.4483,1.4706,1.3438,1.4272,23085.11
16,2020-08-29,1.3566,1.4475,1.3181,1.4077,21220.280000000002
17,2020-08-30,1.3185,1.3627,1.3181,1.3483,21105.74
18,2020-08-31,1.3609,1.3995,1.3302,1.3989,13882.089999999997
19,2020-09-01,1.356,1.3704,1.2516,1.3497,21843.640000000007
20,2020-09-02,1.287,1.3143,1.1499,1.217,19148.589999999997
21,2020-09-03,1.1832,1.52,1.123,1.3857,64935.92
22,2020-09-04,0.9937,1.161,0.9763,1.0475,27326.329999999998
23,2020-09-05,0.8282,1.0346,0.7421,1.0176,40747.85
24,2020-09-06,0.788,0.8819,0.7629,0.788,24067.910000000003
25,2020-09-07,0.8535,0.8856,0.7025,0.785,14496.689999999999
26,2020-09-08,0.7803,0.8,0.7383,0.7743,7456.01
27,2020-09-09,0.7606,0.8354,0.7434,0.7606,15086.83
28,2020-09-10,0.8506,0.8862,0.7962,0.7962,12113.739999999998
29,2020-09-11,0.8054,0.8543,0.8014,0.8014,7154.420000000001
30,2020-09-12,0.8484,0.9219,0.8284,0.8313,6124.299999999999
31,2020-09-13,0.9929,1.3,0.8949,1.0444,62092.56999999999
32,2020-09-14,0.95,1.1131,0.9322,1.0787,17397.510000000002
33,2020-09-15,0.981,1.0542,0.94,0.9932,6341.64
34,2020-09-16,0.8516,1.0048,0.838,0.843,6993.600000000001
35,2020-09-17,0.8078,0.8493,0.7535,0.8287,26112.909999999996
36,2020-09-18,0.7725,0.85,0.7638,0.8402,17503.78
37,2020-09-19,0.8159,0.8259,0.7725,0.8039,14155.689999999997
38,2020-09-20,0.798,0.824,0.7565,0.8131,7746.03
39,2020-09-21,0.6888,0.7764,0.6261,0.7552,14006.630000000001
40,2020-09-22,0.6361,0.7125,0.6137,0.63,9670.52
41,2020-09-23,0.6051,0.6898,0.594,0.6051,5840.31
42,2020-09-24,0.6037,0.645,0.5856,0.6024,8883.44
43,2020-09-25,0.6558,0.6729,0.6183,0.6399,8532.539999999999
44,2020-09-26,0.6456,0.678,0.64,0.6456,9546.86
45,2020-09-27,0.6565,0.6714,0.61,0.6714,11127.87
46,2020-09-28,0.6287,0.6439,0.5971,0.6188,31547.45
47,2020-09-29,0.5802,0.5971,0.568,0.5727,38716.82
48,2020-09-30,0.5593,0.5874,0.5553,0.5835,14310.349999999999
49,2020-10-01,0.5763,0.6574,0.5572,0.638,37556.780000000006
50,2020-10-02,0.6181,0.6181,0.5379,0.5641,10217.65
51,2020-10-03,0.5862,0.61,0.5651,0.5753,15069.839999999998
52,2020-10-04,0.5605,0.5823,0.5578,0.5605,13812.77
53,2020-10-05,0.5756,0.5845,0.55,0.5697,4246.530000000001
54,2020-10-06,0.5296,0.5697,0.4925,0.512,15287.470000000001
55,2020-10-07,0.5059,0.5273,0.4879,0.4996,18954.829999999998
56,2020-10-08,0.5043,0.5238,0.49,0.506,12467.440000000004
57,2020-10-09,0.5085,0.5802,0.506,0.5653,23648.42
58,2020-10-10,0.5693,0.589,0.5579,0.5845,8831.37
59,2020-10-11,0.578,0.5845,0.5434,0.5501,7667.069999999999
