,Date,Open,High,Low,Close,Volume
0,2020-05-14,1.0509,1.109,1.011,1.0357,1743338.8000000003
1,2020-05-15,1.038,1.0695,1.0054,1.038,1531399.9200000002
2,2020-05-16,1.0166,1.0608,0.98,0.9964,31957.829999999994
3,2020-05-17,1.0392,1.061,1.0102,1.0451,19146.800000000003
4,2020-05-18,1.0191,1.034,1.0102,1.0209,3574.6400000000003
5,2020-05-19,1.0296,1.07,1.0045,1.0478,24562.209999999995
6,2020-05-20,1.21,1.2729,1.0503,1.0552,33860.01999999999
7,2020-05-21,1.1356,1.26,1.0993,1.1833,3551.3200000000006
8,2020-05-22,1.2279,1.3205,1.0993,1.1583,3478.29
9,2020-05-23,1.21,1.3205,1.21,1.2357,2069.7799999999997
10,2020-05-24,1.21,1.2474,1.1544,1.2314,2808.2499999999995
11,2020-05-25,1.1249,1.1675,1.1,1.1237,2661.37
12,2020-05-26,1.1675,1.2189,1.11,1.2057,663.29
13,2020-05-27,1.1691,2.96,1.132,1.1681,22281.530000000002
14,2020-05-28,1.6413,1.6986,1.3296,1.5514,38872.81999999999
15,2020-05-29,1.3828,1.49,1.3364,1.375,29829.920000000006
16,2020-05-30,1.4298,1.67,1.3637,1.4225,20112.06
17,2020-05-31,1.6312,1.6909,1.4958,1.594,12411.41
18,2020-06-01,1.624,1.624,1.4958,1.5823,6040.600000000001
19,2020-06-02,1.7124,1.7632,1.5766,1.6477,11365.720000000001
20,2020-06-03,1.772,1.864,1.6735,1.772,11641.589999999998
21,2020-06-04,1.8809,1.964,1.772,1.8738,9443.84
22,2020-06-05,1.7993,1.94,1.7269,1.8002,10518.63
23,2020-06-06,1.6732,1.7533,1.6322,1.6637,17177.83
24,2020-06-07,1.6643,1.6999,1.5243,1.6577,15690.529999999997
25,2020-06-08,1.6337,1.72,1.5736,1.6655,13877.18
26,2020-06-09,1.6052,1.6435,1.5252,1.606,15947.980000000001
27,2020-06-10,1.5604,1.6,1.43,1.5629,26892.19
28,2020-06-11,1.4528,1.489,1.1571,1.4508,29888.57
29,2020-06-12,1.255,1.3378,1.1509,1.2405,20824.180000000004
30,2020-06-13,1.2845,1.4451,1.26,1.2957,29687.149999999998
31,2020-06-14,1.41,1.4764,1.3338,1.3338,16770.769999999997
32,2020-06-15,1.3461,1.347,1.162,1.34,23170.800000000003
33,2020-06-16,1.2699,1.3461,1.2605,1.2905,19179.27
34,2020-06-17,1.2754,1.298,1.2163,1.298,12032.600000000002
35,2020-06-18,1.2341,1.3655,1.2022,1.2043,15800.410000000002
36,2020-06-19,1.2689,1.37,1.2301,1.3224,12010.759999999998
37,2020-06-20,1.2851,1.3292,1.27,1.3241,4004.5299999999997
38,2020-06-21,1.2548,1.2956,1.2477,1.2708,6235.1
39,2020-06-22,1.2673,1.3083,1.2477,1.277,4879.2699999999995
40,2020-06-23,1.2754,1.3768,1.2673,1.343,8229.609999999999
41,2020-06-24,1.2902,1.326,1.2561,1.2747,5114.34
42,2020-06-25,1.2193,1.2791,1.208,1.2791,4570.370000000001
43,2020-06-26,1.1625,1.2444,1.1251,1.1352,15281.369999999999
44,2020-06-27,1.1721,1.1823,1.0,1.1708,26159.739999999998
45,2020-06-28,1.126,1.1359,1.0299,1.1323,18209.92
46,2020-06-29,1.1115,1.1567,1.0762,1.1297,9652.500000000002
47,2020-06-30,1.159,1.1771,1.098,1.098,31065.620000000006
48,2020-07-01,1.1089,1.1245,1.084,1.0977,8383.150000000001
49,2020-07-02,1.0946,1.22,1.086,1.1893,20927.440000000006
50,2020-07-03,1.0751,1.1081,1.0591,1.0747,11028.2
51,2020-07-04,1.0707,1.1368,1.0707,1.0987,14416.86
52,2020-07-05,1.1017,1.1348,1.0755,1.125,7961.660000000002
53,2020-07-06,1.1771,1.208,1.0755,1.1523,16317.750000000002
54,2020-07-07,1.2799,1.3551,1.1715,1.2938,20084.329999999998
55,2020-07-08,1.3533,1.7106,1.3414,1.5322,27696.870000000003
56,2020-07-09,1.6095,1.7064,1.5364,1.6481,15221.0
57,2020-07-10,1.629,1.69,1.5751,1.6523,4959.24
58,2020-07-11,1.629,2.0,1.629,1.9003,8297.06
59,2020-07-12,1.8951,2.074,1.8024,1.9912,7477.470000000001
60,2020-07-13,2.1726,2.4245,2.0192,2.225,8278.19
61,2020-07-14,2.3966,2.4651,2.0756,2.2839,15441.65
62,2020-07-15,2.5633,2.6273,2.352,2.6053,9725.519999999999
63,2020-07-16,2.3926,2.6155,2.3269,2.5798,10186.7
64,2020-07-17,2.5211,2.6273,2.404,2.5534,2364.7599999999998
65,2020-07-18,3.0208,3.2,2.4133,2.9768,20248.290000000005
66,2020-07-19,4.0291,4.2762,3.0318,3.2262,21627.9
67,2020-07-20,4.1416,5.2081,3.7535,4.0393,46016.210000000014
68,2020-07-21,3.8893,4.8071,3.62,3.8342,35321.63000000001
69,2020-07-22,4.383,5.0421,4.3531,4.8845,25209.029999999995
70,2020-07-23,4.763,4.915,4.0729,4.762,11653.439999999999
71,2020-07-24,4.28,4.4602,4.0546,4.28,9331.46
72,2020-07-25,4.052,4.645,3.9428,4.2356,14165.66
73,2020-07-26,3.8122,4.2073,3.6445,4.1667,18312.460000000003
74,2020-07-27,3.4633,3.8266,3.0,3.5,28024.610000000004
75,2020-07-28,3.9003,4.2005,3.2277,3.8343,20827.879999999997
76,2020-07-29,4.0506,4.1191,3.7817,3.8269,12132.99
77,2020-07-30,4.0588,4.2953,3.75,4.2907,12180.619999999999
78,2020-07-31,4.1063,4.3744,3.9762,4.2026,8263.090000000002
79,2020-08-01,4.2195,4.2837,3.97,4.1065,4809.189999999999
80,2020-08-02,4.001,4.1469,3.5,4.0529,10433.580000000002
81,2020-08-03,4.08,4.273,4.0089,4.2,12274.929999999998
82,2020-08-04,4.19,5.0869,4.19,4.92,13003.19
83,2020-08-05,4.9461,8.0,4.9461,5.57,15038.75
84,2020-08-06,7.8769,8.5,7.1343,7.4,12263.039999999999
85,2020-08-07,8.3457,8.7077,7.5095,8.1127,7956.899999999999
86,2020-08-08,8.8333,12.4485,8.5583,9.6162,27061.15
87,2020-08-09,11.85,15.38,10.0,14.5547,40880.54
88,2020-08-10,16.15,18.8,13.384,16.15,39540.399999999994
89,2020-08-11,14.1665,14.8837,11.5012,14.7,30065.24
90,2020-08-12,13.6,15.5,11.4589,13.8693,29044.930000000008
91,2020-08-13,14.2014,15.5,13.0582,13.7394,28299.789999999997
