,Date,Open,High,Low,Close,Volume
0,2020-05-30 11:00:00,1.4298,1.4592,1.4257,1.4536,1822.32
1,2020-06-02 14:00:00,1.7124,1.7632,1.6,1.6,605.12
2,2020-06-13 07:00:00,1.2845,1.291,1.2845,1.291,1374.87
3,2020-06-21 16:00:00,1.2548,1.2697,1.2548,1.2655,96.57
4,2020-07-03 06:00:00,1.0751,1.0876,1.0751,1.0876,85.38
5,2020-07-04 02:00:00,1.0707,1.0809,1.0707,1.0734,788.96
6,2020-07-06 21:00:00,1.1771,1.1969,1.1771,1.1969,147.73
7,2020-07-13 11:00:00,2.1726,2.2334,2.1726,2.2334,22.56
8,2020-07-13 15:00:00,2.2656,2.3874,2.2656,2.3682,296.14
9,2020-07-24 16:00:00,4.28,4.28,4.07,4.2296,450.77
10,2020-07-29 03:00:00,4.0506,4.1191,4.0,4.0321,1130.07
11,2020-07-29 21:00:00,3.9002,3.9002,3.8785,3.8785,18.4
12,2020-08-11 02:00:00,14.1665,14.7577,14.1665,14.5559,2868.19
13,2020-08-11 20:00:00,12.14,12.999,11.5012,12.98,1469.24
14,2020-08-13 02:00:00,14.2014,14.4046,14.0918,14.2044,473.77
15,2020-08-14 01:00:00,14.0188,14.1656,13.8832,13.8832,272.81
16,2020-08-30 00:00:00,12.6959,12.7687,12.6959,12.7687,118.51
17,2020-09-02 01:00:00,16.57,16.9778,15.6922,15.9849,574.49
18,2020-09-04 05:00:00,10.8704,10.8714,10.5781,10.6226,274.74
19,2020-09-15 03:00:00,8.3312,8.3339,8.27,8.27,173.15
20,2020-09-18 13:00:00,6.7151,6.7151,6.4948,6.5036,493.13
21,2020-09-22 08:00:00,5.7659,5.85,5.7625,5.8002,95.79
22,2020-09-27 08:00:00,6.7497,6.7581,6.5683,6.5995,636.91
23,2020-09-29 22:00:00,6.545,6.545,6.545,6.545,0.0
24,2020-09-30 12:00:00,6.3971,6.3982,6.3854,6.3982,139.88
25,2020-10-12 14:00:00,7.1492,7.1492,7.0374,7.0374,242.86
26,2020-10-23 18:00:00,5.8365,5.8665,5.8365,5.8665,107.33
27,2020-11-08 19:00:00,5.8405,5.8405,5.7398,5.7398,73.75
28,2020-12-05 14:00:00,6.736,6.7389,6.736,6.7389,19.38
29,2020-12-09 05:00:00,6.5743,6.5743,6.55,6.55,3.58
30,2020-12-09 17:00:00,6.7059,7.0103,6.7059,7.0103,106.72
31,2020-12-14 08:00:00,6.5554,6.5833,6.5514,6.5542,253.65
32,2020-12-15 13:00:00,6.7215,6.7215,6.7215,6.7215,0.0
33,2020-12-24 12:00:00,5.08,5.1896,5.08,5.1661,67.2
34,2021-01-02 19:00:00,5.6974,5.6974,5.6974,5.6974,0.0
35,2021-01-10 15:00:00,9.8486,9.9932,9.7,9.9088,705.36
36,2021-01-27 02:00:00,8.8232,8.9273,8.8232,8.85,221.68
37,2021-02-01 22:00:00,11.2,11.2818,11.2,11.2653,25.08
38,2021-02-07 18:00:00,10.8409,11.0677,10.7982,11.0677,204.64
39,2021-02-08 11:00:00,12.25,12.4,12.1681,12.4,154.35
40,2021-02-09 16:00:00,13.47,13.7778,12.7617,13.7,494.94
41,2021-02-14 23:00:00,17.5,17.5,17.0,17.0,8.55
42,2021-02-24 11:00:00,14.0009,14.1418,13.9101,13.9667,49.32
43,2021-03-02 11:00:00,13.1111,13.4826,13.1111,13.47,168.77
44,2021-03-05 15:00:00,12.701,12.8129,12.6328,12.6328,53.25
45,2021-03-07 00:00:00,12.6559,12.6559,12.65,12.65,8.82
46,2021-03-20 14:00:00,15.0,15.0377,14.7173,15.0377,67.87
47,2021-03-29 11:00:00,14.164,14.2292,14.0887,14.2292,117.63
48,2021-04-02 11:00:00,16.1774,16.1809,16.0743,16.0743,204.74
49,2021-04-10 18:00:00,17.2175,17.41,17.0,17.0259,39.23
50,2021-04-14 20:00:00,16.198,16.4312,16.198,16.3475,27.25
51,2021-04-18 08:00:00,17.264,17.6,16.5043,16.5244,764.82
52,2021-04-20 22:00:00,15.9,15.9,15.9,15.9,0.0
53,2021-04-26 11:00:00,15.332,15.451,15.295,15.436,66.79
54,2021-05-15 22:00:00,14.359,14.359,14.269,14.269,1.14
55,2021-05-30 13:00:00,7.222,7.27,7.143,7.143,704.19
56,2021-06-02 14:00:00,8.944,9.0,8.8845,9.0,51.41
57,2021-06-08 11:00:00,7.001,7.054,7.001,7.054,24.3
58,2021-06-10 09:00:00,7.56,7.56,7.35,7.519,132.1
59,2021-06-10 16:00:00,7.32,7.32,7.265,7.308,165.04
60,2021-06-11 08:00:00,7.025,7.16,7.025,7.061,17.9
61,2021-07-04 09:00:00,6.175,6.175,6.175,6.175,0.0
62,2021-07-13 05:00:00,6.71,6.72,6.681,6.681,3.04
63,2021-07-24 13:00:00,5.556,5.563,5.556,5.563,53.87
64,2021-07-26 02:00:00,5.588,5.713,5.588,5.713,1.28
65,2021-08-02 04:00:00,6.212,6.2619,6.212,6.2619,70.0
66,2021-08-05 00:00:00,6.5,6.5,6.438,6.438,6.26
67,2021-08-07 07:00:00,7.38,7.4904,7.333,7.4904,40.24
68,2021-08-13 19:00:00,8.075,8.075,7.997,7.997,2.73
69,2021-09-05 11:00:00,10.6,10.75,10.568,10.722,70.93
70,2021-09-12 22:00:00,8.88,9.1,8.88,9.1,2.3
71,2021-09-20 20:00:00,7.5,7.667,7.5,7.667,9.62
72,2021-09-23 10:00:00,7.898,7.898,7.668,7.668,23.9
73,2021-09-30 18:00:00,7.107,7.157,7.107,7.157,8.68
74,2021-10-01 22:00:00,8.004,8.004,8.004,8.004,0.0
75,2021-10-02 16:00:00,8.5,8.524,8.468,8.468,1.3
76,2021-10-04 15:00:00,8.4,8.4,8.054,8.0548,92.7
77,2021-10-13 12:00:00,7.522,7.579,7.522,7.544,3.67
78,2021-10-22 08:00:00,9.0,9.07,8.963,8.963,18.05
79,2021-10-23 17:00:00,9.005,9.027,9.005,9.027,4.61
80,2021-11-08 12:00:00,9.88,9.88,9.299,9.299,46.85
81,2021-11-12 08:00:00,8.764,8.877,8.764,8.877,0.45
82,2020-05-17 14:00:00,1.0392,1.0392,1.0215,1.0244,315.21
83,2020-06-27 03:00:00,1.1721,1.1721,1.172,1.172,25.7
84,2020-07-01 07:00:00,1.1089,1.1089,1.1021,1.1021,960.7
85,2020-07-14 11:00:00,2.3966,2.3966,2.3119,2.3654,119.25
86,2020-07-22 01:00:00,4.383,4.4572,4.3642,4.4502,592.04
87,2020-07-23 10:00:00,4.763,4.7865,4.742,4.742,361.0
88,2020-07-25 07:00:00,4.052,4.1314,4.052,4.0987,598.56
89,2020-08-02 18:00:00,4.001,4.001,4.001,4.001,0.0
90,2020-08-13 00:00:00,14.5785,15.29,14.4287,14.4287,513.21
91,2020-08-16 11:00:00,14.7687,14.7892,14.6526,14.6881,13.21
92,2020-08-24 21:00:00,11.5896,11.6242,11.5896,11.6242,1.33
93,2020-08-25 05:00:00,11.5455,11.7295,11.5455,11.6222,149.91
94,2020-09-08 08:00:00,9.1956,9.1956,8.8159,8.8732,213.04
95,2020-09-28 19:00:00,6.7339,6.7339,6.7005,6.7126,42.71
96,2020-10-02 09:00:00,5.9638,5.9638,5.7446,5.7446,176.28
97,2020-10-02 15:00:00,6.1223,6.1418,5.9996,6.0705,272.15
98,2020-10-19 13:00:00,6.2276,6.372,6.2276,6.372,1155.75
99,2020-10-29 21:00:00,4.7829,4.7829,4.7429,4.7429,7.91
100,2020-11-11 16:00:00,5.956,6.1023,5.956,6.1023,7.02
101,2020-11-27 20:00:00,5.6236,5.7314,5.6236,5.7314,67.49
102,2020-11-29 20:00:00,5.9738,5.9738,5.9738,5.9738,0.0
103,2020-11-29 23:00:00,5.9738,5.9738,5.9738,5.9738,0.0
104,2020-12-03 19:00:00,7.0739,7.0739,7.0212,7.0525,263.8
105,2020-12-07 03:00:00,6.6293,6.6293,6.6239,6.6239,3.5
106,2020-12-10 21:00:00,6.367,6.5427,6.367,6.5427,26.74
107,2020-12-31 04:00:00,5.3001,5.3001,5.3001,5.3001,0.0
108,2021-01-07 15:00:00,8.9141,9.1475,8.8578,9.1475,192.63
109,2021-01-10 17:00:00,9.7558,9.7558,9.1639,9.4328,579.2
110,2021-01-13 04:00:00,7.8755,7.8755,7.8755,7.8755,0.0
111,2021-01-17 05:00:00,10.0355,10.0497,9.6363,9.6363,816.38
112,2021-01-24 02:00:00,9.73,9.9387,9.7008,9.8396,302.22
113,2021-02-01 11:00:00,10.0047,10.0263,9.9,9.9,112.73
114,2021-02-01 17:00:00,11.51,11.6775,11.1911,11.45,734.62
115,2021-03-05 06:00:00,12.2948,12.4,12.2948,12.3471,24.22
116,2021-03-08 19:00:00,14.405,14.6857,14.4032,14.6362,69.04
117,2021-03-25 09:00:00,12.1576,12.2215,12.114,12.144,15.66
118,2021-04-17 09:00:00,22.4,22.4,21.1156,21.1156,94.55
119,2021-05-01 18:00:00,18.54,18.636,18.4389,18.4389,68.72
120,2021-05-03 12:00:00,18.65,18.8881,18.442,18.442,85.83
121,2021-05-08 15:00:00,17.91,17.91,17.444,17.444,32.71
122,2021-05-17 09:00:00,13.705,13.784,13.651,13.7549,33.6
123,2021-05-18 03:00:00,13.049,13.064,13.049,13.064,187.62
124,2021-06-03 23:00:00,9.1122,9.2,9.098,9.098,28.56
125,2021-06-04 11:00:00,8.313,8.313,8.274,8.275,105.87
126,2021-06-18 06:00:00,6.943,6.943,6.943,6.943,0.0
127,2021-07-13 00:00:00,6.384,6.384,6.384,6.384,0.0
128,2021-07-25 09:00:00,5.416,5.416,5.302,5.3559,1036.71
129,2021-07-28 04:00:00,5.8,5.8,5.745,5.745,5.57
130,2021-08-06 03:00:00,6.961,6.961,6.961,6.961,172.19
131,2021-08-16 06:00:00,8.435,8.5759,8.427,8.427,486.79
132,2021-08-18 06:00:00,7.886,7.9009,7.885,7.885,171.15
133,2021-08-18 17:00:00,7.974,8.07,7.974,7.9822,43.53
134,2021-09-07 03:00:00,10.882,10.9668,10.852,10.966,263.71
135,2021-09-14 18:00:00,9.198,9.198,9.198,9.198,52.56
136,2021-09-24 06:00:00,7.835,7.945,7.835,7.945,20.12
137,2021-10-04 12:00:00,8.15,8.155,8.1247,8.155,23.14
138,2021-10-21 06:00:00,8.78,8.7822,8.78,8.7822,29.58
139,2021-10-21 19:00:00,8.65,8.678,8.65,8.678,7.53
140,2021-10-30 16:00:00,8.4348,8.4348,8.4,8.4,11.87
141,2020-05-22 19:00:00,1.2279,1.297,1.2279,1.297,339.05
142,2020-06-01 10:00:00,1.624,1.624,1.624,1.624,0.0
143,2020-06-22 16:00:00,1.2673,1.2805,1.2673,1.2805,49.39
144,2020-07-01 12:00:00,1.111,1.111,1.0894,1.0944,971.23
145,2020-07-04 23:00:00,1.103,1.103,1.1017,1.1017,5.0
146,2020-07-21 16:00:00,3.8893,3.985,3.8564,3.985,318.3
147,2020-07-23 05:00:00,4.813,4.8655,4.7858,4.8655,122.39
148,2020-07-23 07:00:00,4.8972,4.8972,4.8655,4.8655,261.54
149,2020-07-27 12:00:00,3.4633,3.4637,3.391,3.3932,329.78
150,2020-08-05 02:00:00,4.9461,5.0454,4.9461,5.0454,387.66
151,2020-08-11 00:00:00,14.3287,14.6652,13.6,13.9402,1549.95
152,2020-09-11 21:00:00,8.7593,8.7716,8.7593,8.7716,24.08
153,2020-09-14 13:00:00,8.2698,8.571,8.2698,8.5658,257.32
154,2020-09-15 17:00:00,7.5001,7.5589,7.4964,7.4964,227.5
155,2020-10-15 17:00:00,6.1176,6.18,6.1176,6.18,10.0
156,2020-10-17 18:00:00,6.1254,6.1254,6.1254,6.1254,0.0
157,2020-10-21 03:00:00,5.7374,5.8079,5.7374,5.8079,10.6
158,2020-10-21 17:00:00,6.032,6.0817,6.0,6.068,78.71
159,2020-11-03 17:00:00,4.0339,4.0339,3.9307,3.9307,388.53
160,2020-11-07 07:00:00,5.9353,5.9353,5.72,5.72,179.49
161,2020-11-11 11:00:00,6.1058,6.1058,5.9285,5.965,969.7
162,2020-11-11 22:00:00,5.9664,5.9664,5.9664,5.9664,0.0
163,2020-11-20 08:00:00,5.9903,6.17,5.9903,6.17,331.54
164,2020-11-27 06:00:00,6.0886,6.0886,5.9976,5.9996,57.85
165,2020-12-01 19:00:00,5.93,5.93,5.93,5.93,4.0
