,Date,Open,High,Low,Close,Volume
0,2020-06,1.624,1.964,1.0,1.098,451362.9700000001
1,2020-07,1.1089,5.2081,1.0591,4.2026,492083.12
2,2020-08,4.2195,18.8,3.5,13.2216,419509.93000000005
3,2020-09,14.2382,16.9778,5.6161,6.42,210261.08000000002
4,2020-10,7.0,7.5,4.1629,4.313,106116.49
5,2020-11,4.3454,7.9021,3.821,6.2149,171829.97
6,2020-12,5.93,7.7714,4.6,5.364,123413.33
7,2021-01,5.5334,11.4199,5.3445,9.7808,210279.26
8,2021-02,11.2,20.7176,8.7383,11.5915,156648.50999999998
9,2021-03,12.68,17.199,11.4,14.5904,72103.39999999998
10,2021-04,16.7029,23.5085,12.6156,16.3,76175.92
11,2021-05,18.54,20.63,5.317,8.9,67415.51000000001
12,2021-06,8.691,9.4598,4.0,6.0,48077.439999999995
13,2021-07,5.5882,7.1,4.243,6.255,40689.23
14,2021-08,6.325,10.4,6.0,9.0464,74851.84
15,2021-09,9.434,11.6379,6.786,7.13,103165.72
16,2021-10,8.004,9.92,7.1,9.569,44735.58
