,Date,Open,High,Low,Close,Volume
0,2018-10-22,0.2412,0.3015,0.24,0.3013,333.58
1,2018-10-23,0.299,0.299,0.2412,0.299,238.26
2,2018-10-24,0.299,0.299,0.299,0.299,0.0
3,2018-10-25,0.2989,0.299,0.25,0.25,268.46000000000004
4,2018-10-26,0.2989,0.2989,0.298,0.2989,40.26
5,2018-10-27,0.298,0.298,0.2505,0.2505,614.1800000000001
6,2018-10-28,0.2566,0.289,0.245,0.25,1465.37
7,2018-10-29,0.24,0.2562,0.24,0.25,1704.9799999999996
8,2018-10-30,0.2539,0.2543,0.231,0.24,326.83
9,2018-10-31,0.2543,0.2549,0.231,0.2548,3390.5
10,2018-11-01,0.2544,0.2548,0.2329,0.2329,537.73
11,2018-11-02,0.2548,0.345,0.245,0.33,4746.9400000000005
12,2018-11-03,0.285,0.345,0.2564,0.34,1061.33
13,2018-11-04,0.299,0.3,0.27,0.299,1790.8100000000002
14,2018-11-05,0.306,0.3393,0.2888,0.2888,1902.16
15,2018-11-06,0.3393,0.3393,0.28,0.29,150.0
16,2018-11-07,0.3,0.3393,0.29,0.332,1270.75
17,2018-11-08,0.34,0.3728,0.32,0.34,5055.52
18,2018-11-09,0.3295,0.3295,0.29,0.3029,10409.64
19,2018-11-10,0.3075,0.3099,0.27,0.2993,9712.3
20,2018-11-11,0.2879,0.289,0.252,0.252,1964.3500000000001
21,2018-11-12,0.2477,0.269,0.2476,0.269,22748.04
22,2018-11-13,0.265,0.265,0.2476,0.2575,4799.84
23,2018-11-14,0.2478,0.265,0.1801,0.2579,2219.4100000000003
24,2018-11-15,0.2,0.238,0.1802,0.2275,4886.75
25,2018-11-16,0.1816,0.228,0.1816,0.225,199.51
26,2018-11-17,0.239,0.239,0.2,0.239,235.02
27,2018-11-18,0.212,0.2299,0.2011,0.22,1570.08
28,2018-11-19,0.2025,0.2349,0.1824,0.203,427.26
29,2018-11-20,0.2024,0.203,0.1648,0.2024,1983.9299999999998
30,2018-11-21,0.2025,0.2025,0.159,0.1997,1219.14
31,2018-11-22,0.1983,0.1997,0.159,0.1983,673.17
32,2018-11-23,0.1983,0.1983,0.1983,0.1983,0.0
33,2018-11-24,0.1983,0.1983,0.153,0.1899,561.07
34,2018-11-25,0.1699,0.1699,0.13,0.13,2446.46
35,2018-11-26,0.146,0.1745,0.13,0.146,2914.81
36,2018-11-27,0.18,0.18,0.138,0.146,3368.6099999999997
37,2018-11-28,0.164,0.1778,0.1599,0.1778,1612.7799999999997
38,2018-11-29,0.1788,0.1858,0.145,0.1788,2538.76
39,2018-11-30,0.1768,0.1799,0.1367,0.1511,287.63
40,2018-12-01,0.1781,0.1792,0.1412,0.1781,2247.33
41,2018-12-02,0.172,0.1794,0.1623,0.1627,338.12
42,2018-12-03,0.1623,0.165,0.161,0.1627,128.0
43,2018-12-04,0.1682,0.1687,0.161,0.1678,784.8899999999999
44,2018-12-05,0.1475,0.1682,0.1475,0.1682,592.1
45,2018-12-06,0.1475,0.1542,0.14,0.14,470.88
46,2018-12-07,0.1301,0.14,0.1206,0.1331,1618.73
47,2018-12-08,0.1393,0.1393,0.1288,0.1323,300.74
48,2018-12-09,0.1402,0.1473,0.1323,0.1402,3619.7400000000002
49,2018-12-10,0.14,0.146,0.1377,0.1388,1564.69
50,2018-12-11,0.135,0.1388,0.135,0.135,413.63
51,2018-12-12,0.135,0.135,0.135,0.135,0.0
52,2018-12-13,0.132,0.1368,0.132,0.1355,3316.98
53,2018-12-14,0.1323,0.1323,0.1287,0.1287,377.52
54,2018-12-15,0.124,0.13,0.124,0.1287,995.81
55,2018-12-16,0.1267,0.128,0.1267,0.1267,200.0
56,2018-12-17,0.1337,0.1337,0.128,0.128,1199.56
57,2018-12-18,0.1308,0.1375,0.13,0.1365,9401.99
58,2018-12-19,0.135,0.1425,0.1308,0.1398,14622.989999999998
59,2018-12-20,0.1402,0.1449,0.1348,0.1355,9737.58
60,2018-12-21,0.1411,0.1483,0.1369,0.1411,18541.089999999997
61,2018-12-22,0.1373,0.148,0.1373,0.1478,20654.14
62,2018-12-23,0.1516,0.1529,0.1457,0.1469,10375.56
63,2018-12-24,0.1531,0.1545,0.1461,0.1492,9626.52
64,2018-12-25,0.1355,0.1484,0.131,0.1323,6262.38
65,2018-12-26,0.1391,0.1428,0.1385,0.1395,4284.55
66,2018-12-27,0.1356,0.1391,0.13,0.1356,298.76
67,2018-12-28,0.13,0.1387,0.1267,0.1296,7587.01
68,2018-12-29,0.1361,0.1448,0.1334,0.1353,10308.98
69,2018-12-30,0.136,0.136,0.1333,0.134,5457.099999999999
70,2018-12-31,0.1338,0.136,0.125,0.1338,2004.57
71,2019-01-01,0.125,0.1305,0.125,0.1283,17000.629999999997
72,2019-01-02,0.1321,0.1336,0.1269,0.1312,1734.6200000000001
73,2019-01-03,0.1285,0.132,0.1285,0.1285,1284.8200000000002
74,2019-01-04,0.136,0.1366,0.1285,0.136,3003.4200000000005
75,2019-01-05,0.1363,0.1377,0.1344,0.1377,4102.4800000000005
76,2019-01-06,0.138,0.138,0.1334,0.1365,942.29
77,2019-01-07,0.1384,0.1385,0.1359,0.1384,3048.8100000000004
78,2019-01-08,0.1353,0.1386,0.1353,0.1356,2327.88
79,2019-01-09,0.1431,0.1435,0.1375,0.1375,1585.29
80,2019-01-10,0.1296,0.141,0.1199,0.1296,4157.179999999999
81,2019-01-11,0.1267,0.1267,0.1201,0.1267,575.0699999999999
82,2019-01-12,0.1237,0.1299,0.1237,0.1299,2453.84
83,2019-01-13,0.1299,0.1299,0.12,0.1299,198.2
84,2019-01-14,0.1221,0.125,0.12,0.12,1354.47
85,2019-01-15,0.1212,0.1235,0.1212,0.1229,2602.69
86,2019-01-16,0.1227,0.1227,0.1212,0.1227,720.26
87,2019-01-17,0.1237,0.1262,0.121,0.1262,1520.4299999999998
88,2019-01-18,0.1303,0.1303,0.1237,0.1303,596.39
89,2019-01-19,0.1249,0.1288,0.1249,0.1266,1285.7399999999998
90,2019-01-20,0.1214,0.1287,0.1192,0.1287,636.64
91,2019-01-21,0.1199,0.1212,0.1192,0.1199,734.76
92,2019-01-22,0.1209,0.1221,0.1199,0.1207,6788.76
93,2019-01-23,0.1221,0.1232,0.1221,0.1221,113.53
94,2019-01-24,0.1214,0.1232,0.1214,0.122,988.0
95,2019-01-25,0.1222,0.1287,0.1214,0.1234,2843.21
96,2019-01-26,0.1255,0.1264,0.1255,0.1255,727.99
97,2019-01-27,0.1238,0.1255,0.1238,0.1255,807.75
98,2019-01-28,0.12,0.1238,0.1123,0.1228,2459.07
99,2019-01-29,0.1089,0.113,0.1089,0.1126,4089.2
100,2019-01-30,0.1143,0.1151,0.113,0.113,2313.5299999999997
101,2019-01-31,0.116,0.116,0.112,0.112,724.92
102,2019-02-01,0.112,0.112,0.112,0.112,0.0
103,2019-02-02,0.1125,0.1125,0.1096,0.111,3231.32
104,2019-02-03,0.1132,0.1132,0.1112,0.1121,2266.96
105,2019-02-04,0.1109,0.1112,0.1085,0.1109,2677.71
106,2019-02-05,0.1055,0.1103,0.1055,0.108,787.05
107,2019-02-06,0.103,0.1347,0.1025,0.1226,16836.46
108,2019-02-07,0.1176,0.1242,0.1139,0.118,7663.780000000001
109,2019-02-08,0.1126,0.1216,0.1119,0.1145,4854.299999999999
110,2019-02-09,0.1197,0.1216,0.1183,0.1197,1778.59
111,2019-02-10,0.1208,0.1244,0.1183,0.1236,2980.73
112,2019-02-11,0.1223,0.1244,0.1204,0.1244,1262.29
113,2019-02-12,0.1202,0.1223,0.1202,0.1202,41.59
114,2019-02-13,0.1181,0.1217,0.1176,0.1217,2221.75
115,2019-02-14,0.1234,0.1273,0.119,0.1234,6923.81
116,2019-02-15,0.1295,0.13,0.1273,0.1275,2690.38
117,2019-02-16,0.1305,0.1305,0.1282,0.1305,861.75
118,2019-02-17,0.1305,0.14,0.1305,0.1305,2212.74
119,2019-02-18,0.1396,0.1436,0.1396,0.1405,2093.2799999999997
120,2019-02-19,0.1402,0.1436,0.1393,0.1415,2393.25
121,2019-02-20,0.1393,0.1415,0.1381,0.1402,429.65
122,2019-02-21,0.1385,0.1393,0.1378,0.1385,1179.19
123,2019-02-22,0.137,0.1385,0.137,0.137,1733.98
124,2019-02-23,0.137,0.1416,0.1356,0.137,353.57000000000005
125,2019-02-24,0.1416,0.1426,0.1372,0.1426,2083.6400000000003
126,2019-02-25,0.1306,0.1456,0.1306,0.1306,1149.09
127,2019-02-26,0.151,0.1967,0.142,0.1426,24112.879999999997
128,2019-02-27,0.1562,0.17,0.151,0.1569,1054.61
129,2019-02-28,0.163,0.1667,0.151,0.1572,2712.97
130,2019-03-01,0.1612,0.1643,0.1601,0.1612,234.56
131,2019-03-02,0.1905,0.1925,0.1643,0.1815,2430.04
132,2019-03-03,0.1786,0.1864,0.1719,0.1786,421.23999999999995
133,2019-03-04,0.171,0.1786,0.16,0.1786,1579.8500000000001
134,2019-03-05,0.1757,0.1778,0.1699,0.1742,3044.5300000000007
135,2019-03-06,0.171,0.1778,0.1688,0.1719,5416.4
136,2019-03-07,0.1717,0.1799,0.1717,0.1782,783.39
137,2019-03-08,0.1782,0.2057,0.1782,0.193,12540.459999999997
138,2019-03-09,0.1988,0.2123,0.1827,0.1999,27663.969999999998
139,2019-03-10,0.2047,0.2123,0.2009,0.2058,3347.05
140,2019-03-11,0.1909,0.2009,0.1909,0.1974,2420.3
141,2019-03-12,0.1903,0.1939,0.1903,0.1903,290.92
142,2019-03-13,0.1955,0.1961,0.1939,0.1955,647.58
143,2019-03-14,0.1955,0.1955,0.1902,0.1955,8442.35
144,2019-03-15,0.1932,0.1961,0.1907,0.1932,7150.4800000000005
145,2019-03-16,0.1932,0.1972,0.1932,0.1972,862.82
146,2019-03-17,0.1949,0.1972,0.1949,0.1955,1874.84
