,Date,Open,High,Low,Close,Volume
0,2021-10-24 04:00:00,2.25,2.25,2.1907,2.1907,66.0
1,2021-10-29 14:00:00,2.1001,2.1083,2.0,2.1081,146.6
2,2021-11-02 06:00:00,1.9891,1.9891,1.95,1.9891,15.2
3,2021-10-29 10:00:00,2.1017,2.1017,1.9624,2.1017,80.2
4,2021-10-31 06:00:00,1.9995,2.0,1.9624,1.9997,357.1
5,2021-11-01 19:00:00,1.9897,1.9897,1.9311,1.9311,55.9
6,2021-11-03 21:00:00,2.1,2.2196,2.1,2.2196,41.0
7,2021-11-09 06:00:00,2.21,2.2777,2.21,2.2777,124.2
8,2021-10-23 22:00:00,2.2559,2.2559,2.2004,2.2004,18.9
9,2021-10-24 11:00:00,2.2497,2.2498,2.2001,2.2001,799.3
10,2021-10-29 13:00:00,1.9701,2.1027,1.9701,2.1001,335.1
11,2021-11-07 15:00:00,2.0005,2.0666,2.0005,2.0007,34.6
12,2021-10-27 18:00:00,1.9998,2.0,1.9006,2.0,50.8
13,2021-10-28 00:00:00,1.99,1.99,1.8901,1.8901,6.5
14,2021-11-03 15:00:00,2.1194,2.1994,2.1193,2.1994,65.1
15,2021-10-22 06:00:00,2.3699,2.3699,2.2532,2.2532,340.2
16,2021-11-02 08:00:00,1.95,1.9891,1.95,1.989,193.1
17,2021-10-23 06:00:00,2.2013,2.2895,2.2013,2.28,166.7
18,2021-11-09 04:00:00,2.1689,2.1788,2.1688,2.1788,182.6
19,2021-11-02 16:00:00,2.0268,2.0475,1.9578,2.0474,226.1
20,2021-10-27 06:00:00,2.1512,2.1532,2.1206,2.15,340.0
21,2021-10-30 19:00:00,2.022,2.1,2.022,2.1,147.5
22,2021-11-10 06:00:00,2.219,2.219,2.112,2.112,5.6
23,2021-11-06 02:00:00,2.044,2.044,1.94,2.03,99.5
24,2021-11-12 04:00:00,2.1503,2.1503,2.1503,2.1503,0.0
25,2021-10-27 21:00:00,1.9998,1.9998,1.9005,1.9994,12.2
26,2021-10-26 17:00:00,2.1871,2.194,2.1867,2.194,570.2
27,2021-10-21 22:00:00,2.2919,2.292,2.2919,2.292,5.2
28,2021-10-25 19:00:00,2.2,2.2429,2.2,2.2389,7.3
29,2021-10-28 20:00:00,2.1092,2.1092,2.1089,2.1091,54.0
30,2021-10-30 12:00:00,2.1061,2.1061,2.0,2.0,297.2
31,2021-10-30 18:00:00,2.02,2.0979,2.02,2.022,67.3
32,2021-11-07 12:00:00,2.0677,2.0677,2.0677,2.0677,111.9
33,2021-11-11 16:00:00,2.07,2.1004,2.0621,2.1004,234.7
34,2021-10-25 12:00:00,2.2371,2.2371,2.1638,2.2371,12.5
35,2021-11-07 21:00:00,2.066,2.066,2.0645,2.0645,5.9
36,2021-10-25 22:00:00,2.2,2.2,2.2,2.2,0.3
37,2021-11-11 14:00:00,2.0621,2.0891,2.0621,2.0891,1.9
38,2021-10-23 15:00:00,2.2639,2.2639,2.2629,2.2629,77.3
39,2021-10-29 18:00:00,2.0056,2.148,2.0056,2.1465,40.4
40,2021-10-31 03:00:00,2.081,2.0834,2.0735,2.075,91.0
41,2021-11-05 16:00:00,2.0499,2.0499,1.9605,2.0475,287.4
42,2021-11-06 06:00:00,1.96,2.0196,1.96,2.0196,7.6
43,2021-11-07 07:00:00,2.0,2.051,1.9996,2.051,74.6
44,2021-11-10 12:00:00,2.219,2.219,2.21,2.21,4.4
45,2021-11-03 18:00:00,2.0632,2.1987,2.0632,2.1983,131.1
46,2021-10-21 19:00:00,2.2889,2.292,2.2889,2.292,73.7
47,2021-10-27 13:00:00,1.95,2.0148,1.95,2.0148,165.9
48,2021-10-28 01:00:00,1.8901,1.8901,1.8787,1.8832,23.9
49,2021-10-21 18:00:00,2.28,2.293,2.2023,2.2889,277.3
50,2021-10-24 18:00:00,2.1701,2.2096,2.17,2.17,160.3
51,2021-10-27 16:00:00,1.9997,1.9999,1.8901,1.9997,107.8
52,2021-11-01 06:00:00,1.99,2.0279,1.9246,1.97,109.4
53,2021-10-31 22:00:00,2.04,2.04,1.9201,1.9201,31.5
54,2021-11-05 03:00:00,2.0399,2.0399,1.9901,1.9901,123.5
55,2021-11-08 05:00:00,2.1939,2.1939,2.1935,2.1935,116.0
56,2021-11-08 15:00:00,2.0991,2.1778,2.0991,2.1778,57.0
57,2021-10-22 09:00:00,2.3688,2.3688,2.2622,2.2626,605.7
58,2021-10-25 06:00:00,2.2266,2.24,2.1256,2.24,454.8
59,2021-10-26 08:00:00,2.1801,2.1948,2.18,2.18,316.1
60,2021-10-27 05:00:00,2.1532,2.1532,2.12,2.1512,2612.7
61,2021-11-05 12:00:00,1.9914,2.05,1.9914,2.0499,358.2
62,2021-11-09 10:00:00,2.2725,2.2725,2.22,2.27,82.3
63,2021-10-31 11:00:00,2.0533,2.0533,2.0532,2.0532,3.2
64,2021-11-02 13:00:00,1.97,2.0265,1.9502,1.977,249.0
65,2021-11-03 20:00:00,2.222,2.222,2.1,2.1,77.2
66,2021-11-03 13:00:00,2.2265,2.245,2.1192,2.1594,439.8
67,2021-11-05 23:00:00,1.9799,2.0477,1.9799,2.045,37.9
68,2021-11-09 00:00:00,2.1689,2.1689,2.1,2.1,20.5
69,2021-11-11 11:00:00,2.0621,2.1004,2.0621,2.1004,263.5
70,2021-11-03 14:00:00,2.1594,2.2337,2.1194,2.1194,249.0
71,2021-11-06 10:00:00,2.01,2.0196,2.01,2.0196,22.1
72,2021-11-02 10:00:00,1.9889,1.9889,1.988,1.988,37.4
73,2021-11-08 18:00:00,2.17,2.17,2.0804,2.0804,12.2
74,2021-10-21 23:00:00,2.292,2.292,2.292,2.292,59.5
75,2021-10-21 20:00:00,2.292,2.292,2.2915,2.292,35.5
76,2021-10-27 07:00:00,2.15,2.15,2.11,2.15,707.0
77,2021-11-08 17:00:00,2.1771,2.1771,2.17,2.17,100.5
78,2021-11-05 11:00:00,2.0644,2.0644,1.9914,1.9914,52.4
79,2021-11-09 20:00:00,2.1802,2.2196,2.18,2.18,21.9
80,2021-11-11 02:00:00,2.2544,2.2544,2.2248,2.2248,338.1
81,2021-10-21 16:00:00,2.2925,2.2925,2.2,2.289,567.0
82,2021-11-09 01:00:00,2.1,2.1689,2.1,2.1689,16.9
83,2021-10-27 22:00:00,1.9994,1.9994,1.92,1.92,61.0
84,2021-10-30 23:00:00,2.02,2.02,2.02,2.02,8.8
85,2021-10-31 09:00:00,2.0101,2.0595,2.0101,2.0555,84.0
86,2021-11-02 00:00:00,1.9301,1.9301,1.9301,1.9301,0.0
87,2021-10-23 13:00:00,2.2172,2.2793,2.2115,2.2793,718.3
88,2021-10-27 02:00:00,2.1796,2.1796,2.1542,2.1542,7.8
89,2021-11-07 14:00:00,2.0666,2.0666,2.0005,2.0005,9.3
90,2021-11-08 02:00:00,2.0645,2.0645,2.0641,2.0641,1.7
91,2021-11-09 19:00:00,2.1688,2.2496,2.1688,2.18,107.4
92,2021-10-31 05:00:00,2.002,2.0421,1.9995,1.9995,235.1
93,2021-11-01 20:00:00,1.9311,1.9894,1.931,1.9892,29.4
94,2021-11-03 03:00:00,2.09,2.1895,2.09,2.1797,65.3
95,2021-11-05 13:00:00,2.0499,2.0499,1.9976,1.9976,15.2
96,2021-11-01 08:00:00,1.9246,1.99,1.9246,1.99,88.5
97,2021-10-21 12:00:00,2.36,2.4095,2.35,2.4049,1276.7
98,2021-10-24 09:00:00,2.2291,2.2291,2.2282,2.2291,55.5
99,2021-10-26 22:00:00,2.1964,2.1964,2.1899,2.1899,2.9
100,2021-10-29 05:00:00,2.0594,2.0594,2.0,2.0,118.6
101,2021-11-08 06:00:00,2.1935,2.1935,2.022,2.022,692.1
102,2021-11-04 00:00:00,2.1097,2.1097,2.1095,2.1095,807.4
103,2021-11-11 10:00:00,2.1036,2.1036,2.0621,2.0621,56.1
104,2021-10-26 06:00:00,2.19,2.1982,2.1152,2.1801,1460.0
105,2021-11-03 19:00:00,2.1983,2.2221,2.0802,2.222,1280.4
106,2021-10-23 03:00:00,2.2747,2.2747,2.1401,2.26,48.7
107,2021-10-26 10:00:00,2.166,2.1965,2.166,2.166,38.6
108,2021-10-30 10:00:00,2.1468,2.1468,2.1065,2.1065,172.6
109,2021-10-29 09:00:00,2.1037,2.1037,2.1014,2.1017,36.3
110,2021-11-06 12:00:00,2.0093,2.0093,1.9616,2.0,123.1
111,2021-10-25 13:00:00,2.2371,2.2371,2.2368,2.2368,7.1
112,2021-10-27 11:00:00,2.141,2.141,2.01,2.01,264.2
113,2021-10-30 07:00:00,2.106,2.106,2.011,2.0991,60.3
114,2021-11-06 23:00:00,1.976,1.978,1.9501,1.978,19.3
115,2021-11-11 00:00:00,2.2199,2.2546,2.2199,2.2202,168.8
116,2021-11-03 23:00:00,2.223,2.2235,2.1097,2.1097,22.5
117,2021-11-05 02:00:00,2.0,2.0468,2.0,2.0399,75.0
118,2021-11-11 22:00:00,2.07,2.15,2.07,2.15,28.4
119,2021-11-11 23:00:00,2.15,2.15,2.0675,2.1499,2.8
120,2021-11-03 10:00:00,2.27,2.2719,2.19,2.19,271.8
121,2021-11-04 07:00:00,2.0672,2.1397,2.0672,2.0812,364.2
122,2021-10-24 22:00:00,2.1522,2.1522,2.1522,2.1522,0.0
123,2021-10-30 13:00:00,2.0,2.1011,2.0,2.1011,87.6
124,2021-10-22 03:00:00,2.3798,2.3798,2.2507,2.2507,979.3
125,2021-10-24 23:00:00,2.1522,2.2096,2.1522,2.2096,6.0
126,2021-10-23 18:00:00,2.2696,2.2696,2.2,2.2594,585.4
127,2021-10-25 08:00:00,2.2378,2.2383,2.1259,2.2383,43.8
128,2021-10-30 01:00:00,2.1231,2.1231,2.1228,2.1231,46.4
129,2021-11-07 10:00:00,2.068,2.0681,2.0004,2.068,524.9
130,2021-10-22 19:00:00,2.3093,2.3093,2.1404,2.1404,835.5
131,2021-11-01 09:00:00,1.99,2.028,1.9301,1.9998,79.4
132,2021-11-02 03:00:00,1.95,1.9893,1.94,1.9455,30.7
133,2021-11-08 10:00:00,2.16,2.1792,2.0431,2.1792,41.7
134,2021-10-27 17:00:00,1.9997,2.0,1.9997,1.9998,205.0
135,2021-11-05 15:00:00,2.049,2.0661,2.049,2.0499,1445.8
136,2021-10-25 20:00:00,2.2389,2.2389,2.2388,2.2389,28.0
137,2021-10-27 10:00:00,2.141,2.141,2.1,2.141,74.9
