,Date,Open,High,Low,Close,Volume
0,2018-11-17,141.0,155.0,126.52,139.08,77.95
1,2018-11-18,129.24,144.0,115.0,125.71,87.375
2,2018-11-19,77.66,115.72,74.95,103.01,144.78799999999998
3,2018-11-20,64.04,78.0,54.9,65.57,170.18800000000005
4,2018-11-21,59.43,62.0,55.0,60.71,75.397
5,2018-11-22,56.82,58.36,44.5,52.15,72.398
6,2018-11-23,67.0,67.0,38.54,41.08,236.98499999999996
7,2018-11-24,57.52,73.63,54.53,67.85,313.572
8,2018-11-25,61.34,102.8,57.52,65.5,309.08799999999997
9,2018-11-26,95.77,139.8,91.24,130.18,725.982
10,2018-11-27,107.54,131.87,88.5,113.79,397.1899999999999
11,2018-11-28,110.99,120.0,93.0,102.9,225.598
12,2018-11-29,95.19,107.43,93.81,102.79,137.09700000000004
13,2018-11-30,106.22,108.0,93.09,98.5,144.319
14,2018-12-01,88.69,96.31,88.2,95.0,119.578
15,2018-12-02,99.21,103.88,93.65,94.86,126.983
16,2018-12-03,92.32,99.5,91.1,92.98,71.166
17,2018-12-04,93.54,95.0,89.9,89.9,98.224
18,2018-12-05,90.15,93.0,85.0,87.46,75.89999999999999
19,2018-12-06,89.46,110.0,86.29,90.34,165.73799999999994
20,2018-12-07,102.17,115.0,93.43,95.01,234.251
21,2018-12-08,99.0,103.03,97.68,101.24,65.049
22,2018-12-09,95.0,98.53,91.25,92.76,93.37
23,2018-12-10,98.92,100.01,93.41,95.18,21.38
24,2018-12-11,92.0,95.18,86.56,91.03,72.60099999999998
25,2018-12-12,89.1,90.26,86.63,88.62,27.074000000000005
26,2018-12-13,83.23,88.62,78.0,85.51,39.34900000000001
27,2018-12-14,77.0,81.53,70.0,78.48,64.594
28,2018-12-15,69.35,72.0,64.49,68.95,15.968
29,2018-12-16,77.81,78.62,67.09,77.27,73.47900000000001
30,2018-12-17,79.5,81.98,74.46,76.31,79.19300000000001
31,2018-12-18,81.0,84.99,76.5,77.95,113.80899999999998
32,2018-12-19,85.17,96.52,81.52,83.74,403.8139999999999
33,2018-12-20,89.84,123.27,85.06,91.27,789.156
34,2018-12-21,121.91,129.3,100.95,121.5,817.5280000000001
35,2018-12-22,104.0,111.96,101.0,103.06,249.243
36,2018-12-23,106.31,112.91,103.0,104.02,349.832
37,2018-12-24,104.0,112.1,103.0,108.0,369.51199999999994
38,2018-12-25,89.88,104.42,87.43,89.35,129.74900000000002
39,2018-12-26,89.33,98.04,89.32,89.41,70.65100000000001
40,2018-12-27,92.66,96.0,82.43,91.57,39.92700000000001
41,2018-12-28,81.7,91.34,80.1,80.71,50.672
42,2018-12-29,90.27,91.47,86.57,88.03,31.511
43,2018-12-30,86.34,88.38,86.1,86.46,22.864
44,2018-12-31,84.91,86.88,83.81,85.89,37.34400000000001
45,2019-01-01,88.8,94.17,83.81,83.81,132.21800000000002
46,2019-01-02,91.43,92.49,89.0,89.98,124.91300000000001
47,2019-01-03,87.76,94.0,86.19,94.0,83.985
48,2019-01-04,87.29,88.66,83.81,86.83,46.31200000000002
49,2019-01-05,86.82,90.0,84.71,87.52,107.986
50,2019-01-06,86.01,89.52,85.89,87.35,19.285999999999998
51,2019-01-07,88.0,88.88,86.3,87.0,53.57500000000001
52,2019-01-08,86.3,87.29,84.81,87.01,30.480999999999998
53,2019-01-09,86.09,86.74,84.92,86.72,44.925000000000004
54,2019-01-10,74.6,87.53,73.38,74.58,81.993
55,2019-01-11,74.58,74.58,71.6,73.73,12.347000000000001
56,2019-01-12,79.82,83.84,73.73,79.79,182.99899999999997
57,2019-01-13,85.21,85.99,73.16,75.0,68.14199999999998
58,2019-01-14,75.82,80.0,75.0,79.25,35.313
59,2019-01-15,78.0,78.45,74.52,76.45,21.709999999999997
60,2019-01-16,76.25,76.76,74.52,76.45,30.004
61,2019-01-17,76.44,76.5,75.44,75.48,5.596
62,2019-01-18,75.78,76.6,74.9,76.6,15.154
63,2019-01-19,74.54,77.0,74.41,75.95,33.516999999999996
64,2019-01-20,73.68,76.47,73.21,73.22,14.097000000000001
65,2019-01-21,73.57,75.38,73.08,74.51,9.354999999999999
66,2019-01-22,71.43,75.38,71.43,75.38,9.987
67,2019-01-23,75.22,75.61,74.21,75.48,47.102999999999994
68,2019-01-24,74.34,74.34,73.29,73.34,0.056
69,2019-01-25,73.62,75.61,73.17,73.84,23.694
70,2019-01-26,74.84,74.84,72.92,73.85,18.905000000000005
71,2019-01-27,72.72,73.85,71.5,71.91,26.561999999999998
72,2019-01-28,64.25,72.33,62.65,69.13,62.16799999999999
73,2019-01-29,63.57,65.04,61.05,64.67,35.50799999999999
74,2019-01-30,63.22,67.94,62.55,66.95,66.58
75,2019-01-31,66.47,66.82,62.43,64.12,61.704
76,2019-02-01,62.96,65.49,62.46,63.91,171.142
77,2019-02-02,65.39,65.77,63.65,64.03,30.195999999999998
78,2019-02-03,64.03,65.01,63.21,63.3,34.602
79,2019-02-04,63.22,64.22,63.22,64.22,13.979999999999999
80,2019-02-05,63.0,63.73,60.48,61.57,23.200999999999997
81,2019-02-06,64.4,69.11,58.46,62.68,60.95600000000001
82,2019-02-07,62.69,64.49,61.3,63.4,43.669
83,2019-02-08,65.82,69.0,61.26,61.26,70.84599999999999
84,2019-02-09,65.65,67.65,65.62,66.79,30.372999999999998
85,2019-02-10,64.12,65.8,63.33,64.8,22.029
86,2019-02-11,65.0,66.55,64.29,64.29,61.131
87,2019-02-12,64.68,66.05,64.59,64.9,16.405
88,2019-02-13,65.18,65.92,64.51,64.51,5.156
89,2019-02-14,63.66,64.9,62.81,64.51,2.5779999999999994
90,2019-02-15,62.81,63.66,62.19,62.81,42.927
91,2019-02-16,62.3,63.18,62.19,62.19,6.299999999999999
92,2019-02-17,62.89,63.93,61.56,62.22,18.721999999999998
93,2019-02-18,63.4,70.11,62.98,64.75,136.886
94,2019-02-19,67.23,70.9,67.0,67.23,166.97300000000007
95,2019-02-20,66.42,67.49,65.14,66.0,168.754
96,2019-02-21,65.29,67.37,64.7,65.3,117.258
97,2019-02-22,65.51,66.41,64.7,65.02,96.528
98,2019-02-23,66.14,67.69,64.66,65.76,94.44000000000001
99,2019-02-24,68.33,69.55,59.53,69.55,213.88
100,2019-02-25,61.05,72.0,60.34,68.52,140.05200000000002
101,2019-02-26,74.0,74.82,68.52,70.0,228.4
102,2019-02-27,69.73,73.93,66.01,73.93,39.446
103,2019-02-28,67.13,68.8,66.0,67.0,57.94699999999999
104,2019-03-01,66.94,68.22,65.7,66.94,84.713
105,2019-03-02,65.85,68.22,65.57,68.22,1.693
106,2019-03-03,65.34,66.5,65.34,65.34,11.242
107,2019-03-04,65.28,65.34,62.35,63.3,32.715
108,2019-03-05,66.2,66.55,62.9,66.0,40.975
