,Date,Open,High,Low,Close,Volume
0,2018-11-28 11:00:00,187.0,187.0,184.07,184.07,0.73
1,2018-12-08 06:00:00,103.54,103.54,103.54,103.54,0.0
2,2018-12-09 20:00:00,108.0,108.0,108.0,108.0,0.0
3,2018-12-12 10:00:00,96.7,98.08,96.7,98.08,0.517
4,2019-01-07 19:00:00,160.47,160.47,159.88,159.88,0.51
5,2019-01-09 11:00:00,158.0,158.0,156.66,157.98,1.175
6,2019-01-12 07:00:00,131.0,132.0,131.0,132.0,0.151
7,2019-01-22 08:00:00,120.55,120.9,120.55,120.9,5.265
8,2019-01-25 13:00:00,125.95,125.95,125.68,125.68,0.079
9,2019-01-28 04:00:00,113.77,115.3,113.77,114.94,1.877
10,2019-01-31 12:00:00,113.66,115.0,113.66,115.0,0.043
11,2019-02-01 23:00:00,116.25,116.25,116.25,116.25,0.0
12,2019-02-07 12:00:00,116.05,116.05,115.6,115.6,2.569
13,2019-02-09 15:00:00,129.0,129.24,128.5,128.5,1.174
14,2019-02-21 01:00:00,146.11,146.11,145.46,145.46,1.155
15,2019-03-09 21:00:00,132.69,132.69,132.69,132.69,0.0
16,2019-03-12 12:00:00,129.58,129.58,129.58,129.58,0.0
17,2019-03-17 20:00:00,155.49,155.49,155.49,155.49,0.0
18,2019-04-04 05:00:00,303.83,315.0,303.83,309.81,9.428
19,2019-04-05 01:00:00,292.08,292.08,287.43,288.0,1.123
20,2019-04-11 17:00:00,271.85,271.85,271.85,271.85,0.0
21,2019-04-13 05:00:00,281.9,281.95,278.95,278.95,2.443
22,2019-05-07 12:00:00,294.96,295.58,293.47,295.58,5.452
23,2019-05-12 08:00:00,373.0,375.89,353.99,367.38,36.262
24,2019-05-21 20:00:00,418.53,422.0,418.53,422.0,0.327
25,2019-05-27 13:00:00,435.0,437.0,433.91,435.14,0.64
26,2019-05-31 04:00:00,421.47,421.47,415.05,415.05,11.864
27,2019-06-04 19:00:00,377.68,377.68,369.27,374.62,1.74
28,2019-06-14 01:00:00,412.38,412.38,405.23,405.23,3.363
29,2019-07-01 21:00:00,413.0,413.0,408.18,408.18,0.47
30,2019-07-06 17:00:00,412.81,412.81,412.42,412.42,0.242
31,2019-07-14 16:00:00,306.12,313.25,301.31,312.98,17.4
32,2019-07-15 09:00:00,283.8,285.86,283.8,285.86,0.996
33,2019-07-28 16:00:00,305.0,305.32,305.0,305.32,0.319
34,2019-08-04 12:00:00,334.04,334.04,332.22,332.22,2.41
35,2019-08-14 18:00:00,316.55,316.95,315.33,315.33,3.857
36,2019-08-19 20:00:00,322.52,322.52,322.52,322.52,0.0
37,2019-08-27 12:00:00,306.58,306.58,305.0,305.0,0.448
38,2019-09-17 00:00:00,303.24,303.24,303.24,303.24,0.0
39,2019-09-18 08:00:00,324.55,324.55,324.19,324.19,0.508
40,2019-09-20 09:00:00,318.18,318.18,316.7,316.7,1.681
41,2019-09-21 13:00:00,312.0,312.0,310.0,311.55,4.167
42,2019-09-22 09:00:00,309.22,309.22,309.22,309.22,0.0
43,2019-09-25 17:00:00,224.58,226.0,224.58,224.8,1.85
44,2019-10-05 00:00:00,224.09,224.09,224.09,224.09,0.0
45,2019-10-08 18:00:00,229.77,229.77,229.08,229.08,1.004
46,2019-10-11 19:00:00,220.0,220.0,220.0,220.0,0.0
47,2019-11-19 19:00:00,238.34,238.34,238.34,238.34,0.0
48,2019-11-25 21:00:00,210.86,210.86,210.86,210.86,0.0
49,2019-11-29 15:00:00,225.83,225.88,224.99,225.88,0.63
50,2019-12-05 16:00:00,209.69,209.69,209.69,209.69,0.0
51,2019-12-06 14:00:00,210.25,210.25,210.0,210.22,0.884
