,Date,Open,High,Low,Close,Volume
0,2019-08,0.0445,0.0445,0.03,0.03101,11550.0
1,2019-09,0.03251,0.03829,0.02594,0.02725,31125.0
2,2019-10,0.02596,0.02954,0.02556,0.02633,25727.0
3,2019-11,0.02633,0.033,0.0179,0.02192,127204.0
4,2019-12,0.02146,0.02223,0.0163,0.01636,6641.0
5,2020-01,0.01636,0.01921,0.01636,0.01921,6455.0
6,2020-02,0.01921,0.05102,0.01868,0.02006,251002.0
7,2020-03,0.02039,0.02332,0.00615,0.0142,3758777.0
8,2020-04,0.01382,0.01685,0.01296,0.01553,1487791.0
9,2020-05,0.016,0.03351,0.013,0.02802,2305441.0
10,2020-06,0.02109,0.0449,0.01932,0.02708,8918421.0
11,2020-07,0.02708,0.10287,0.022,0.08928,10220090.0
12,2020-08,0.09232,0.20237,0.09098,0.16295,12483629.0
13,2020-09,0.15693,0.16272,0.07539,0.113,3916358.0
14,2020-10,0.11399,0.12878,0.05903,0.06182,2252351.0
15,2020-11,0.06014,0.106,0.04954,0.07505,4073565.0
16,2020-12,0.07702,0.08509,0.04728,0.06278,3972272.0
17,2021-01,0.06539,0.16088,0.06025,0.13491,5763718.0
18,2021-02,0.13209,0.28,0.12279,0.17297,3843839.0
19,2021-03,0.18244,0.66,0.17,0.50389,3921772.0
20,2021-04,0.61884,0.65,0.25,0.42041,3553385.0
21,2021-05,0.42322,0.48777,0.11,0.20595,6683461.0
22,2021-06,0.21479,0.23975,0.11001,0.1414,4156753.0
23,2021-07,0.13622,0.18799,0.11144,0.1691,4526427.0
24,2021-08,0.18126,0.27625,0.15707,0.25,3153841.0
25,2021-09,0.24596,0.32384,0.18651,0.20315,2169672.0
26,2021-10,0.2126,0.31213,0.20849,0.26785,2515364.0
