,Date,Open,High,Low,Close,Volume
0,2021-03-13,7.8899,8.3491,7.62,7.98,8380.33
1,2021-03-14,8.0133,8.2206,7.8618,8.0133,4301.349999999999
2,2021-03-15,8.0847,8.17,7.0,7.7515,4492.780000000001
3,2021-03-16,7.4653,7.6858,7.0,7.3452,2087.49
4,2021-03-17,7.4364,7.8606,7.2899,7.4506,1690.0100000000002
5,2021-03-18,7.7774,7.9399,7.7007,7.8763,814.5500000000003
6,2021-03-19,7.9498,8.0848,7.6307,7.8126,2123.8700000000003
7,2021-03-20,8.3499,8.5839,8.0848,8.5228,2738.48
8,2021-03-21,8.0325,8.242,7.873,8.1745,403.66
9,2021-03-22,7.8943,8.1067,7.5,7.9341,563.1899999999999
10,2021-03-23,7.4956,7.5939,7.2992,7.5723,1164.7700000000002
11,2021-03-24,7.4546,7.5943,6.7753,7.4786,576.9
12,2021-03-25,6.8077,6.9914,6.6591,6.7429,390.8399999999999
13,2021-03-26,7.1613,7.1613,6.7714,7.1613,373.56000000000006
14,2021-03-27,7.1882,7.296,7.1063,7.1533,261.44999999999993
15,2021-03-28,7.1749,7.3329,7.015,7.015,816.3799999999999
16,2021-03-29,7.0995,7.5066,7.02,7.4026,909.59
17,2021-03-30,7.4648,7.4924,7.36,7.4288,929.19
18,2021-03-31,7.4314,7.51,7.1341,7.2974,867.97
19,2021-04-01,7.5239,7.6184,7.3249,7.4868,1793.03
20,2021-04-02,7.5896,7.8433,7.3998,7.7013,963.2599999999998
21,2021-04-03,7.8596,8.5566,7.0,7.813,790.0799999999999
22,2021-04-04,7.5885,8.0797,7.0003,7.5885,866.3199999999999
23,2021-04-05,7.58,8.3464,6.95,7.5,845.4199999999998
24,2021-04-06,7.6877,7.8103,7.5504,7.5926,2144.890000000001
25,2021-04-07,7.7103,7.7154,6.9783,7.2454,680.2300000000001
26,2021-04-08,7.3593,7.4383,7.0968,7.3593,774.2200000000001
27,2021-04-09,7.3238,7.4385,7.2485,7.2937,985.95
28,2021-04-10,7.1975,7.3751,7.0974,7.3237,811.2799999999999
29,2021-04-11,7.0804,7.1944,6.9793,7.0751,841.78
30,2021-04-12,6.9814,7.1206,6.8227,6.9814,261.38
31,2021-04-13,7.1632,7.2271,6.8843,7.1095,275.62
32,2021-04-14,7.2732,7.5,7.0758,7.1871,514.4
33,2021-04-15,7.66,8.1422,7.4816,8.05,1480.8300000000002
34,2021-04-16,7.6572,8.1044,7.4389,7.8058,678.2200000000001
35,2021-04-17,7.8872,7.9564,7.4606,7.4919,667.37
36,2021-04-18,6.7453,7.98,6.167,6.8,1048.7
37,2021-04-19,6.707,7.1865,6.4991,6.9856,1276.74
38,2021-04-20,6.542,6.8278,6.14,6.8278,208.54000000000002
