,Date,Open,High,Low,Close,Volume
0,2021-03-14 12:00:00,8.0133,8.1,8.0,8.0,35.6
1,2021-04-02 06:00:00,7.5896,7.611,7.56,7.56,42.09
2,2021-04-07 03:00:00,7.7103,7.7103,7.6856,7.6856,2.0
3,2021-04-08 19:00:00,7.3593,7.4211,7.35,7.35,7.79
4,2021-04-09 20:00:00,7.3238,7.3376,7.3238,7.3376,9.0
5,2021-04-15 12:00:00,7.66,7.8855,7.6599,7.7557,167.45
6,2021-05-29 02:00:00,4.5,4.5365,4.5,4.503,617.99
7,2021-05-29 14:00:00,4.277,4.277,4.277,4.277,0.0
8,2021-06-20 19:00:00,3.32,3.32,3.32,3.32,0.0
9,2021-07-09 23:00:00,3.2621,3.2621,3.2621,3.2621,0.0
10,2021-08-09 19:00:00,3.9543,4.1,3.9543,3.9613,18.43
11,2021-08-13 13:00:00,4.1464,4.1938,4.1464,4.1938,4.38
12,2021-08-20 01:00:00,4.192,4.192,4.192,4.192,0.0
13,2021-09-08 09:00:00,3.9879,4.4999,3.941,4.0359,973.78
14,2021-09-20 05:00:00,3.773,3.773,3.773,3.773,0.0
15,2021-09-23 02:00:00,3.546,3.6309,3.546,3.5511,251.09
16,2021-09-24 13:00:00,3.37,3.37,3.291,3.291,1.7
17,2021-10-06 07:00:00,3.854,3.854,3.854,3.854,0.0
18,2021-10-13 12:00:00,3.692,3.692,3.692,3.692,0.0
19,2021-03-30 01:00:00,7.4648,7.4648,7.4648,7.4648,9.42
20,2021-03-30 06:00:00,7.4452,7.4452,7.3677,7.3772,106.08
21,2021-04-03 09:00:00,7.8596,7.8596,7.7482,7.7669,63.63
22,2021-04-13 21:00:00,7.1632,7.1632,7.1632,7.1632,0.0
23,2021-04-26 05:00:00,6.1465,6.1465,6.1465,6.1465,0.0
24,2021-04-27 09:00:00,6.632,6.632,6.5,6.519,18.98
25,2021-05-10 07:00:00,8.2035,8.2035,8.1605,8.1605,48.13
26,2021-05-10 11:00:00,8.0774,8.0774,7.9741,8.0039,20.25
27,2021-05-11 10:00:00,7.6672,7.6672,7.6672,7.6672,0.0
28,2021-05-15 21:00:00,6.9949,6.9949,6.9949,6.9949,0.0
29,2021-06-24 08:00:00,3.05,3.05,3.0206,3.03,4398.04
30,2021-07-20 03:00:00,2.6661,2.6661,2.6,2.6,3.84
31,2021-07-27 04:00:00,3.1554,3.1554,3.1554,3.1554,0.0
32,2021-07-30 01:00:00,3.3469,3.3469,3.3469,3.3469,0.0
33,2021-08-05 23:00:00,3.6871,3.6871,3.6871,3.6871,0.0
