,Date,Open,High,Low,Close,Volume
0,2018-07,6339.91,8398.999,5866.0,8182.0,53.9421
1,2018-08,7584.65,7995.0,5907.64,6920.64,227.75190000000003
2,2018-09,7205.0,7399.0,6142.0,6630.0,337.4011
3,2018-10,6572.0,7525.0,6232.0,6368.0,444.1381999999999
4,2018-11,6365.0,6598.0,3671.0,4312.0,572.2761
5,2018-12,4205.0,4295.0,3153.0,3766.0,834.6667
6,2019-01,3731.0,4044.0,3350.0,3428.0,668.7934
7,2019-02,3448.0,4200.0,3381.0,3850.0,847.521
8,2019-03,3835.0,4130.0,3680.0,4118.0,551.4235
9,2019-04,4140.0,5585.0,4081.0,5210.0,867.7662
10,2019-05,5356.0,9080.0,5312.0,8319.0,1463.0271
11,2019-06,8564.0,13960.0,7500.0,11620.0,1751.2929999999997
12,2019-07,11035.0,13115.0,8244.43,10000.0,1215.6014
13,2019-08,10089.0,12292.0,9350.0,9621.0,833.5655
14,2019-09,9560.0,10893.0,7525.0,8257.0,1133.8932
15,2019-10,8260.0,10347.0,7335.0,9280.0,992.0847000000002
16,2019-11,9099.0,9494.0,6524.0,7488.0,789.1918000000001
17,2019-12,7290.0,7680.0,6442.0,7188.0,1322.3657
18,2020-01,7234.0,9564.0,6900.0,9354.0,1470.3308000000002
19,2020-02,9412.0,10487.0,8441.0,8719.0,945.8509
20,2020-03,8621.0,9201.0,3792.0,6470.0,2636.2027000000003
21,2020-04,6303.0,9456.0,6148.0,8721.0,2248.5220999999997
22,2020-05,8701.0,10033.0,8200.0,9565.0,2233.903
23,2020-06,9469.0,10350.0,8876.0,9170.0,1071.9075
24,2020-07,9138.0,11432.0,8936.0,11155.0,938.8884
25,2020-08,11343.0,12460.0,10923.0,11691.0,849.9720000000001
26,2020-09,11809.0,12042.0,9890.0,10820.0,660.1926
27,2020-10,10868.0,14050.0,10397.0,13462.0,432.5593
28,2020-11,13711.0,19851.0,13267.0,19187.0,588.6315999999999
29,2020-12,19620.0,29226.0,17618.0,28912.0,550.487
30,2021-01,29267.0,41974.0,27600.0,34167.0,1205.5704999999998
31,2021-02,33712.0,58446.0,32400.0,45021.0,870.9549
32,2021-03,46355.0,61861.0,44880.0,58639.0,445.44
33,2021-04,58473.0,64755.0,47000.0,57008.0,494.84920000000005
34,2021-05,57394.0,59450.0,30550.0,34594.0,821.7073
35,2021-06,37061.0,41319.0,28900.0,34782.0,504.1712
36,2021-07,33694.0,42221.0,29356.0,41580.0,280.2922
37,2021-08,41295.0,50370.0,37400.0,47436.0,275.969
38,2021-09,48846.0,52900.0,39900.0,43441.0,315.3341
39,2021-10,43948.0,66850.0,43307.0,61562.0,250.90890000000002
