,Date,Open,High,Low,Close,Volume
0,2019-08-12 10:00:00,15.19,15.19,15.19,15.19,0.0
1,2019-08-22 19:00:00,13.55,13.55,13.55,13.55,0.0
2,2019-09-14 13:00:00,10.05,10.05,10.05,10.05,0.0
3,2019-09-18 17:00:00,10.69,10.69,10.69,10.69,0.0
4,2019-10-02 11:00:00,7.61,7.61,7.54,7.54,15.98
5,2019-10-03 05:00:00,7.72,7.72,7.72,7.72,0.0
6,2019-10-08 03:00:00,8.06,8.06,8.06,8.06,0.0
7,2019-10-24 04:00:00,6.84,6.9,6.84,6.9,1.16
8,2019-10-24 05:00:00,6.9,6.9,6.9,6.9,0.0
9,2019-11-06 11:00:00,8.67,8.67,8.67,8.67,0.0
10,2019-11-14 16:00:00,8.07,8.07,8.01,8.01,8.19
11,2019-11-17 21:00:00,7.95,7.95,7.95,7.95,0.0
12,2019-11-21 18:00:00,7.0,7.03,7.0,7.03,11.01
13,2019-11-25 10:00:00,5.97,5.97,5.97,5.97,0.0
14,2020-01-09 13:00:00,5.87,5.87,5.87,5.87,0.0
15,2020-01-15 15:00:00,14.76,15.42,14.5,14.5,194.44
16,2020-01-16 03:00:00,12.4,12.69,12.17,12.69,123.06
17,2020-01-23 22:00:00,9.89,9.89,9.76,9.76,136.73
18,2020-01-28 01:00:00,11.7,12.35,11.7,11.99,188.44
19,2020-02-02 05:00:00,10.7,10.79,10.7,10.79,10.0
20,2020-02-02 15:00:00,11.0,11.0,10.94,11.0,4.33
21,2020-02-27 15:00:00,8.32,8.32,8.32,8.32,0.0
22,2020-03-02 11:00:00,9.65,9.8,9.65,9.8,5.0
23,2020-03-03 05:00:00,9.92,9.92,9.92,9.92,0.0
24,2020-03-10 05:00:00,9.42,9.42,9.36,9.36,5.28
25,2020-03-21 23:00:00,7.52,7.52,7.52,7.52,0.0
26,2020-03-24 20:00:00,7.61,7.76,7.61,7.63,3.66
27,2020-04-09 13:00:00,9.55,9.71,9.55,9.7,48.17
28,2020-05-26 15:00:00,8.77,8.77,8.6,8.6,8.5
29,2020-05-31 06:00:00,9.3,9.3,9.2,9.2,7.0
30,2020-06-14 01:00:00,8.69,8.69,8.69,8.69,0.0
31,2020-06-15 06:00:00,8.2,8.2,8.04,8.04,3.0
32,2020-06-17 22:00:00,8.75,8.75,8.75,8.75,0.0
33,2020-06-21 15:00:00,8.58,8.59,8.58,8.59,42.35
34,2020-06-26 15:00:00,8.41,8.41,8.41,8.41,0.0
35,2020-07-03 10:00:00,9.11,9.11,9.08,9.08,9.62
36,2020-07-15 11:00:00,8.68,8.81,8.68,8.76,19.9
37,2020-07-23 00:00:00,8.98,9.01,8.98,9.0,342.87
38,2020-07-23 18:00:00,8.93,9.11,8.93,9.04,172.54
39,2020-07-26 14:00:00,9.17,9.17,9.04,9.04,3.44
40,2020-08-05 02:00:00,9.59,9.59,9.59,9.59,0.0
41,2020-08-05 06:00:00,9.59,9.64,9.59,9.64,0.23
42,2020-08-26 03:00:00,9.65,9.68,9.62,9.68,35.03
43,2020-08-26 23:00:00,10.16,10.16,10.16,10.16,0.0
44,2020-08-29 05:00:00,9.7,9.99,9.7,9.81,6.49
45,2020-09-12 21:00:00,8.77,8.77,8.77,8.77,10.76
46,2020-09-15 15:00:00,8.47,8.47,8.45,8.45,25.4
47,2020-09-27 20:00:00,8.07,8.07,8.07,8.07,0.0
48,2020-10-03 06:00:00,7.65,7.65,7.65,7.65,0.0
49,2020-10-25 23:00:00,7.99,7.99,7.99,7.99,0.0
50,2020-11-04 05:00:00,7.0,7.0,7.0,7.0,0.0
51,2020-11-30 22:00:00,9.57,9.57,9.57,9.57,0.0
52,2020-12-01 23:00:00,9.12,9.12,9.12,9.12,0.0
53,2020-12-08 19:00:00,8.88,8.88,8.83,8.83,2.37
54,2020-12-13 06:00:00,8.93,8.93,8.93,8.93,0.0
55,2020-12-27 09:00:00,8.83,8.99,8.83,8.99,2.0
56,2020-12-30 13:00:00,8.43,8.43,8.43,8.43,0.0
57,2021-01-23 01:00:00,10.65,10.77,10.65,10.77,0.76
58,2021-02-12 15:00:00,14.44,14.9,14.44,14.9,4.81
59,2021-02-18 14:00:00,26.31,26.59,26.18,26.2,29.6
60,2021-02-21 22:00:00,33.07,33.07,31.55,31.55,17.06
61,2021-03-02 19:00:00,26.19,27.0,26.19,27.0,1.0
62,2021-03-20 14:00:00,30.72,31.11,30.72,31.11,0.07
63,2021-03-29 14:00:00,33.59,34.0,33.59,34.0,8.18
64,2021-03-30 21:00:00,36.0,36.0,35.45,35.49,27.96
65,2021-04-05 02:00:00,37.5,37.5,37.5,37.5,0.0
66,2021-04-08 08:00:00,82.1,84.0,82.0,83.89,181.35
67,2021-04-13 03:00:00,103.99,105.0,102.01,102.8,31.65
68,2021-04-29 19:00:00,87.39,87.39,85.25,85.25,0.5
69,2021-05-06 07:00:00,141.0,146.42,140.0,146.14,84.97
70,2021-05-12 21:00:00,109.84,109.84,108.96,108.96,0.13
71,2021-05-19 10:00:00,77.6,77.6,74.99,74.99,6.42
72,2021-05-24 16:00:00,55.41,56.06,54.72,55.05,18.48
73,2021-05-30 22:00:00,57.0,57.0,57.0,57.0,0.0
74,2021-06-03 07:00:00,60.3,60.75,60.3,60.75,3.06
75,2021-06-15 21:00:00,58.0,58.0,58.0,58.0,0.0
76,2021-06-28 09:00:00,41.48,41.48,40.73,40.84,4.03
77,2021-07-03 16:00:00,48.0,48.0,47.9,47.9,1.56
78,2021-07-05 05:00:00,47.5,47.72,47.5,47.72,1.0
79,2021-07-12 14:00:00,43.5,43.5,43.09,43.15,3.08
