,Date,Open,High,Low,Close,Volume
0,2019-08,18.16,18.74,10.81,10.91,2655.2700000000004
1,2019-09,10.59,11.24,7.09,7.35,3002.82
2,2019-10,7.69,8.65,6.84,8.03,5781.18
3,2019-11,8.03,9.12,5.88,6.3,3512.35
4,2019-12,6.36,6.36,4.81,5.44,1744.7700000000002
5,2020-01,5.36,26.0,5.07,11.15,32136.22
6,2020-02,10.98,14.92,7.65,8.23,16740.34
7,2020-03,9.06,12.18,3.4,7.13,13476.48
8,2020-04,7.16,11.19,6.9,9.95,80372.19
9,2020-05,10.28,10.42,8.47,9.23,19359.47
10,2020-06,9.23,13.14,7.88,10.19,22732.0
11,2020-07,10.84,11.9,8.19,9.51,61590.119999999995
12,2020-08,9.86,12.35,9.0,10.23,14817.11
13,2020-09,10.29,10.54,7.42,7.98,5365.39
14,2020-10,8.0,8.5,7.04,7.13,2496.16
15,2020-11,7.13,10.49,6.76,9.57,11216.32
16,2020-12,9.12,10.21,7.4,8.3,6795.5599999999995
17,2021-01,8.36,18.06,8.18,10.65,36194.049999999996
18,2021-02,10.48,39.98,10.27,25.0,31927.58
19,2021-03,25.28,64.0,23.98,39.32,22930.469999999998
20,2021-04,38.03,149.0,36.0,86.51,63065.869999999995
21,2021-05,94.16,168.0,40.0,57.58,22175.159999999996
22,2021-06,57.5,82.0,29.44,51.11,20875.0
23,2021-07,48.6,54.36,33.72,51.3,5831.499999999999
24,2021-08,50.01,93.99,48.68,78.19,8733.64
25,2021-09,77.48,88.0,48.85,50.47,3094.79
26,2021-10,51.72,77.0,51.38,66.79,3975.9300000000003
