,Date,Open,High,Low,Close,Volume
0,2020-04-16,0.9968,1.0013,0.9962,0.9969,9513.89
1,2020-04-17,0.998,0.9989,0.9965,0.9989,2502.36
2,2020-04-18,0.997,0.9989,0.9964,0.9988,831.1300000000001
3,2020-04-19,0.9967,0.9985,0.996,0.9967,5617.91
4,2020-04-20,0.9959,0.9989,0.9959,0.9968,3046.4999999999995
5,2020-04-21,0.996,0.9989,0.996,0.9989,788.01
6,2020-04-22,0.9962,0.9986,0.996,0.9964,2368.04
7,2020-04-23,0.9962,0.9988,0.9962,0.9971,1779.3
8,2020-04-24,0.9974,0.9987,0.9968,0.9974,511.5
9,2020-04-25,0.9985,0.9985,0.9971,0.9974,53.94
10,2020-04-26,0.9971,0.9981,0.9971,0.9971,87.53
11,2020-04-27,1.0,1.0,0.9963,0.9963,2618.2500000000005
12,2020-04-28,0.9963,1.0,0.9963,0.9963,229.64
13,2020-04-29,0.9957,1.0,0.9954,1.0,4229.34
14,2020-04-30,0.9971,1.0014,0.9965,0.9966,477.81
15,2020-05-01,1.0,1.0014,0.9967,1.0,70.50999999999999
16,2020-05-02,1.0,1.0,0.9965,0.9971,320.2
17,2020-05-03,0.9971,1.0,0.9971,0.9974,129.35999999999999
18,2020-05-04,0.9968,1.0,0.9968,1.0,504.91
19,2020-05-05,0.9968,0.9999,0.9968,0.997,1144.93
20,2020-05-06,0.997,0.9999,0.9961,0.997,2084.56
21,2020-05-07,0.9968,0.9999,0.9967,0.9968,127.61
22,2020-05-08,0.9969,0.9972,0.9962,0.9969,66.0
23,2020-05-09,0.9969,1.0,0.9969,0.9969,99.43
24,2020-05-10,0.9975,0.9997,0.9971,0.9972,321.82
25,2020-05-11,1.0,1.0,0.9976,0.9998,261.7
26,2020-05-12,0.9974,0.9998,0.9972,0.9974,118.56
27,2020-05-13,0.9974,0.9974,0.997,0.9974,109.81
28,2020-05-14,0.9972,0.9972,0.997,0.9972,52.23
29,2020-05-15,0.9983,1.0,0.9972,0.9972,78.74
30,2020-05-16,0.9983,1.0,0.998,1.0,531.38
31,2020-05-17,0.9983,0.9999,0.9983,0.9983,571.96
32,2020-05-18,0.9999,0.9999,0.9982,0.9982,20.56
33,2020-05-19,0.9999,0.9999,0.9982,0.9997,81.72999999999999
34,2020-05-20,0.9999,1.0,0.9983,0.9999,223.68999999999997
35,2020-05-21,0.9992,1.0,0.9984,0.9992,3532.87
36,2020-05-22,0.999,1.0,0.9982,0.999,397.95000000000005
37,2020-05-23,1.0,1.0,0.9982,1.0,300.0
38,2020-05-24,0.9974,1.0011,0.9974,0.998,133.64000000000001
39,2020-05-25,0.998,1.0011,0.998,1.0011,104.36
40,2020-05-26,0.9979,1.0011,0.9979,1.0011,83.89
41,2020-05-27,0.9979,0.998,0.9975,0.9979,105.35
42,2020-05-28,0.9975,0.9977,0.9975,0.9977,413.96000000000004
43,2020-05-29,0.9975,0.9981,0.9975,0.9981,257.61
44,2020-05-30,0.9981,1.0008,0.9977,1.0008,711.39
45,2020-05-31,0.9976,1.0008,0.9975,0.9975,446.45
46,2020-06-01,1.0004,1.0004,0.9977,1.0004,5.1
47,2020-06-02,0.9979,1.0011,0.9976,1.0004,171.98
48,2020-06-03,0.9976,0.9976,0.9976,0.9976,0.0
49,2020-06-04,1.0015,1.0015,0.9976,0.9976,34.05
50,2020-06-05,0.9977,1.0015,0.9977,1.0015,148.16
51,2020-06-06,0.998,1.0014,0.998,0.998,5.87
52,2020-06-07,0.9978,1.0015,0.9978,0.998,134.04999999999998
53,2020-06-08,1.0015,1.002,0.998,1.002,73.47
54,2020-06-09,1.002,1.0025,0.9974,1.0025,718.71
55,2020-06-10,0.9976,1.0025,0.997,0.9976,2406.21
56,2020-06-11,1.0018,1.0018,0.997,1.0018,29.869999999999997
57,2020-06-12,1.0029,1.0029,0.999,0.999,55.21
58,2020-06-13,1.0029,1.0029,1.0029,1.0029,0.0
59,2020-06-14,1.0029,1.0029,1.0029,1.0029,0.0
60,2020-06-15,1.0029,1.0029,0.9989,1.0029,25.73
61,2020-06-16,1.002,1.002,0.9989,1.002,18.92
62,2020-06-17,0.9986,1.002,0.9986,0.9986,10.41
63,2020-06-18,0.9986,0.9986,0.9986,0.9986,0.0
64,2020-06-19,0.999,0.9991,0.9986,0.9991,125.07000000000001
65,2020-06-20,0.9991,0.9991,0.9991,0.9991,0.0
66,2020-06-21,0.999,0.9991,0.999,0.9991,23.65
67,2020-06-22,0.999,0.999,0.999,0.999,6.24
68,2020-06-23,1.0,1.0,0.9981,1.0,14.52
69,2020-06-24,0.9981,0.9981,0.9981,0.9981,0.0
70,2020-06-25,0.9981,0.9981,0.9981,0.9981,0.0
71,2020-06-26,0.9987,0.9987,0.9981,0.9987,7.21
72,2020-06-27,0.9987,0.9987,0.9987,0.9987,0.0
73,2020-06-28,0.9983,0.9987,0.9983,0.9983,660.82
74,2020-06-29,0.9984,0.999,0.9983,0.9986,430.69000000000005
75,2020-06-30,0.999,0.999,0.999,0.999,0.0
76,2020-07-01,1.0005,1.0005,0.999,1.0005,5.13
77,2020-07-02,0.9977,1.0005,0.9976,1.0005,178.28
78,2020-07-03,1.0002,1.0002,0.9977,1.0002,17.82
79,2020-07-04,0.9976,1.0002,0.9974,0.9976,2542.82
80,2020-07-05,0.9975,1.0025,0.9974,0.9974,23289.680000000004
81,2020-07-06,0.9977,1.0022,0.9974,0.9977,4142.679999999999
82,2020-07-07,0.9977,0.9997,0.9977,0.9997,4055.7000000000003
83,2020-07-08,0.9997,0.9997,0.9997,0.9997,100.03
84,2020-07-09,0.9997,1.0025,0.9976,0.9977,12564.42
85,2020-07-10,0.9977,1.0025,0.9977,0.9979,40209.979999999996
86,2020-07-11,0.9985,1.0026,0.9976,0.9985,25077.66
87,2020-07-12,0.9976,1.0025,0.9976,0.9976,15482.84
88,2020-07-13,0.9979,1.0029,0.9976,0.9976,37998.57000000001
89,2020-07-14,1.0,1.0033,0.9977,0.9993,439587.63999999996
90,2020-07-15,0.9978,1.0028,0.9976,0.9983,1979396.72
91,2020-07-16,0.9984,1.0031,0.9982,0.999,94.09
92,2020-07-17,1.0031,1.0031,1.0031,1.0031,0.0
93,2020-07-18,1.0031,1.0031,1.0026,1.0026,30.939999999999998
94,2020-07-19,1.0021,1.0026,1.0021,1.0021,28.57
95,2020-07-20,1.0026,1.0026,1.0021,1.0026,181.67000000000002
