,Date,Open,High,Low,Close,Volume
0,2021-05-07,1.0061,2.38,0.856,0.8835,1258508.8299999998
1,2021-05-08,0.9406,1.1312,0.8899,0.9018,1066203.79
2,2021-05-09,0.8511,0.9296,0.8099,0.8956,329785.78
3,2021-05-10,0.7931,0.9299,0.6885,0.8925,387126.09
4,2021-05-11,0.779,0.795,0.72,0.77,200347.33
5,2021-05-12,0.8265,0.8834,0.6863,0.8265,372929.1600000001
6,2021-05-13,0.678,0.8341,0.648,0.7115,152827.74
7,2021-05-14,0.7133,0.82,0.7005,0.806,300121.22
8,2021-05-15,0.7642,0.7842,0.6841,0.7014,79943.04000000001
9,2021-05-16,0.6511,0.7467,0.6347,0.742,44492.21
10,2021-05-17,0.7058,0.7189,0.6,0.701,148832.19999999998
11,2021-05-18,0.66,0.7075,0.6469,0.6937,45360.43000000001
12,2021-05-19,0.5741,0.6729,0.35,0.38,192603.01
13,2021-05-20,0.39,0.4999,0.3331,0.3909,503831.44
14,2021-05-21,0.3926,0.4149,0.2769,0.378,160685.26
15,2021-05-22,0.3083,0.3206,0.2323,0.2894,63259.170000000006
16,2021-05-23,0.287,0.3045,0.1868,0.2501,126550.99000000002
17,2021-05-24,0.2489,0.3009,0.235,0.2603,197022.94000000003
18,2021-05-25,0.2748,0.31,0.2604,0.2993,186073.82
19,2021-05-26,0.3581,0.4093,0.2901,0.3602,449457.5
20,2021-05-27,0.342,0.3929,0.321,0.3407,245128.11999999997
21,2021-05-28,0.3267,0.3847,0.2809,0.3247,385572.68999999994
22,2021-05-29,0.2672,0.3334,0.2609,0.3288,225196.15999999997
23,2021-05-30,0.308,0.3136,0.26,0.2969,167662.36000000002
24,2021-05-31,0.3176,0.358,0.2859,0.2901,177515.88
25,2021-06-01,0.348,0.348,0.3088,0.3233,117269.38
26,2021-06-02,0.3262,0.3682,0.31,0.3255,114576.68999999999
27,2021-06-03,0.3591,0.377,0.3345,0.3591,158975.98
28,2021-06-04,0.3448,0.3732,0.3048,0.3178,209710.79000000004
29,2021-06-05,0.3249,0.35,0.304,0.341,133597.36000000002
30,2021-06-06,0.3128,0.335,0.304,0.3182,24418.68
31,2021-06-07,0.3428,0.345,0.28,0.335,84029.87000000001
32,2021-06-08,0.2752,0.2949,0.2488,0.2678,304462.5399999999
33,2021-06-09,0.2905,0.3059,0.2588,0.2927,220026.84
34,2021-06-10,0.2896,0.3042,0.2767,0.2857,114979.26
35,2021-06-11,0.2771,0.3154,0.269,0.299,304093.76000000007
36,2021-06-12,0.2494,0.2752,0.2407,0.2651,200302.99999999997
37,2021-06-13,0.285,0.2899,0.2516,0.2706,93086.65
38,2021-06-14,0.299,0.3226,0.285,0.3059,225932.06999999998
39,2021-06-15,0.3134,0.3249,0.3001,0.3127,82398.08
40,2021-06-16,0.3448,0.3584,0.3101,0.3253,252824.92999999996
41,2021-06-17,0.33,0.338,0.3108,0.3258,47437.70999999999
42,2021-06-18,0.2722,0.336,0.2722,0.2842,68730.09
43,2021-06-19,0.2829,0.2882,0.2699,0.2771,58680.810000000005
44,2021-06-20,0.2616,0.2732,0.2473,0.2664,134619.4
45,2021-06-21,0.233,0.2616,0.2013,0.2358,149327.27
46,2021-06-22,0.2037,0.2307,0.1451,0.1795,262198.61000000004
47,2021-06-23,0.1831,0.2196,0.165,0.1925,96018.3
48,2021-06-24,0.1934,0.2061,0.1748,0.1937,53282.78999999999
49,2021-06-25,0.2034,0.2039,0.1683,0.1717,43822.23999999999
50,2021-06-26,0.1731,0.1778,0.16,0.1622,52103.200000000004
51,2021-06-27,0.1741,0.1838,0.17,0.1755,44571.09999999999
52,2021-06-28,0.1833,0.2063,0.1766,0.1989,76099.82
53,2021-06-29,0.218,0.2298,0.1887,0.1899,49157.92999999999
54,2021-06-30,0.2058,0.2231,0.1928,0.2138,49245.13000000001
55,2021-07-01,0.2056,0.2106,0.1955,0.1955,14258.429999999998
56,2021-07-02,0.1919,0.22,0.1845,0.19,175587.44
57,2021-07-03,0.192,0.206,0.1919,0.204,42339.840000000004
58,2021-07-04,0.2055,0.2244,0.2002,0.2082,50314.25000000001
59,2021-07-05,0.1999,0.2189,0.197,0.1999,10811.970000000003
60,2021-07-06,0.2109,0.2195,0.205,0.2074,17997.2
61,2021-07-07,0.2316,0.2412,0.2145,0.2168,46078.26
62,2021-07-08,0.2133,0.2276,0.1975,0.2189,49562.90000000001
63,2021-07-09,0.2034,0.225,0.19,0.196,45428.63
64,2021-07-10,0.1982,0.2071,0.1913,0.1982,9630.86
65,2021-07-11,0.2071,0.2071,0.1952,0.2016,16923.999999999996
66,2021-07-12,0.2093,0.2194,0.1936,0.2089,21923.36
67,2021-07-13,0.1964,0.2028,0.1857,0.1961,12856.669999999998
68,2021-07-14,0.187,0.1931,0.1749,0.1808,10032.97
69,2021-07-15,0.198,0.2089,0.1847,0.1994,30890.120000000003
70,2021-07-16,0.1906,0.1951,0.1789,0.1906,21679.829999999998
71,2021-07-17,0.1833,0.1906,0.1712,0.177,10943.78
72,2021-07-18,0.1771,0.1851,0.1714,0.1782,21795.7
73,2021-07-19,0.1759,0.1798,0.163,0.163,30805.200000000008
74,2021-07-20,0.1554,0.163,0.1453,0.1502,38740.24
75,2021-07-21,0.1641,0.1951,0.1501,0.1881,157987.21
76,2021-07-22,0.1768,0.1793,0.1699,0.1746,38150.68
77,2021-07-23,0.1816,0.188,0.1706,0.1816,18673.600000000002
78,2021-07-24,0.2113,0.2204,0.1799,0.2113,198177.13000000006
79,2021-07-25,0.1965,0.2048,0.1869,0.2,124857.96999999997
80,2021-07-26,0.2227,0.2299,0.1994,0.2232,123989.51
