,Date,Open,High,Low,Close,Volume
0,2021-04-30 20:00:00,42.391,42.397,41.754,42.012,964.382
1,2021-05-04 01:00:00,39.36,42.084,39.141,39.703,184.326
2,2021-05-07 09:00:00,35.541,35.827,35.541,35.601,71.595
3,2021-05-20 04:00:00,17.219,18.12,17.219,17.7,189.688
4,2021-05-21 20:00:00,16.206,16.206,14.5,14.524,420.673
5,2021-06-02 15:00:00,20.25,20.499,20.163,20.45,65.372
6,2021-06-04 02:00:00,19.928,19.955,19.374,19.781,40.209
7,2021-06-19 02:00:00,15.851,15.851,15.523,15.527,89.987
8,2021-06-20 17:00:00,15.209,15.369,15.209,15.369,4.739
9,2021-06-21 03:00:00,15.59,15.59,15.59,15.59,0.745
10,2021-06-22 03:00:00,12.882,13.073,12.882,13.061,31.936
11,2021-06-25 05:00:00,13.698,13.698,13.506,13.567,1.448
12,2021-06-26 05:00:00,12.409,12.719,12.409,12.55,52.94
13,2021-07-30 03:00:00,15.13,15.13,15.033,15.033,141.493
14,2021-08-08 04:00:00,18.116,18.144,17.707,17.707,25.444
15,2021-08-27 02:00:00,25.48,25.48,25.08,25.09,1.871
16,2021-09-06 15:00:00,24.99,25.039,24.74,24.8,23.256
17,2021-09-14 06:00:00,19.58,19.6,19.58,19.6,5.156
18,2021-09-14 18:00:00,20.2,20.4,19.9,20.2,36.109
19,2021-09-16 02:00:00,22.23,22.44,22.17,22.221,30.036
20,2021-10-06 20:00:00,19.83,19.87,19.83,19.87,21.795
21,2021-10-06 23:00:00,19.652,19.652,19.65,19.65,7.901
22,2021-05-14 00:00:00,29.71,30.635,29.473,30.631,404.077
23,2021-05-14 16:00:00,32.95,32.95,31.976,32.236,132.602
24,2021-05-27 19:00:00,18.71,18.71,18.438,18.466,72.274
25,2021-06-02 17:00:00,20.123,20.123,19.538,20.0,77.312
26,2021-06-04 06:00:00,18.551,18.804,18.0,18.0,114.202
27,2021-06-04 19:00:00,19.349,19.587,19.056,19.432,42.48
28,2021-06-04 22:00:00,19.405,19.405,19.312,19.34,4.587
29,2021-06-17 03:00:00,16.438,16.5,16.324,16.348,3.374
30,2021-07-03 06:00:00,12.852,12.9,12.852,12.9,62.387
31,2021-07-11 09:00:00,14.812,15.03,14.812,15.03,3.294
32,2021-07-13 23:00:00,14.4,14.4,14.4,14.4,0.0
33,2021-08-09 23:00:00,18.154,18.154,18.154,18.154,0.0
34,2021-08-17 19:00:00,23.336,23.336,23.335,23.335,1.56
35,2021-08-22 15:00:00,23.0,23.165,22.844,23.127,80.942
36,2021-09-18 10:00:00,22.63,23.0,22.63,23.0,9.107
37,2021-09-30 19:00:00,18.8,18.98,18.67,18.909,215.613
38,2021-10-02 08:00:00,19.808,19.89,19.52,19.55,28.886
39,2021-10-08 21:00:00,19.94,19.94,19.94,19.94,0.0
40,2021-10-10 20:00:00,19.042,19.16,19.042,19.16,3.43
41,2021-10-19 21:00:00,19.8,19.82,19.8,19.82,1.646
42,2021-11-07 15:00:00,20.147,20.3,19.999,20.3,88.199
43,2021-11-12 05:00:00,18.97,18.97,18.7,18.71,44.148
44,2021-05-01 13:00:00,40.5,40.656,40.0,40.268,101.826
45,2021-05-11 01:00:00,35.55,35.821,35.02,35.669,62.62
46,2021-05-20 13:00:00,21.18,22.98,20.766,21.114,694.399
47,2021-05-25 01:00:00,18.99,19.446,17.798,18.292,316.26
48,2021-05-28 14:00:00,16.94,16.94,16.488,16.734,152.52
49,2021-06-07 21:00:00,18.504,18.521,17.54,18.043,261.37
50,2021-07-03 23:00:00,13.581,13.581,13.58,13.58,7.458
51,2021-07-07 13:00:00,15.816,15.9,15.712,15.9,43.465
52,2021-07-11 18:00:00,15.167,15.168,15.106,15.106,6.356
53,2021-07-29 06:00:00,14.804,14.9,14.759,14.9,2.373
54,2021-08-20 18:00:00,23.701,23.73,23.4,23.4,107.243
55,2021-08-28 00:00:00,26.079,26.141,26.05,26.141,11.899
56,2021-09-02 00:00:00,24.0,24.335,24.0,24.09,9.097
57,2021-09-04 04:00:00,23.467,23.468,23.24,23.31,88.375
