,Date,Open,High,Low,Close,Volume
0,2019-06-18,0.01849,0.0195,0.01825,0.0188,491907.0
1,2019-06-19,0.02028,0.02029,0.01893,0.01925,463197.0
2,2019-06-20,0.01891,0.01942,0.01796,0.01874,341215.0
3,2019-06-21,0.0185,0.01863,0.01719,0.01853,371882.0
4,2019-06-22,0.01733,0.01824,0.01678,0.01812,452756.0
5,2019-06-23,0.01766,0.01812,0.01727,0.01795,60438.0
6,2019-06-24,0.0162,0.01732,0.01615,0.01709,180851.0
7,2019-06-25,0.01585,0.01639,0.01571,0.01609,145682.0
8,2019-06-26,0.01452,0.016,0.014,0.01551,216530.0
9,2019-06-27,0.01506,0.0165,0.01399,0.01472,123103.0
10,2019-06-28,0.01506,0.01508,0.01413,0.01487,77200.0
11,2019-06-29,0.01457,0.01725,0.01435,0.01724,424014.0
12,2019-06-30,0.01797,0.02205,0.01673,0.01945,626923.0
13,2019-07-01,0.01795,0.0187,0.01698,0.01706,324844.0
14,2019-07-02,0.01742,0.0187,0.0163,0.01714,114732.0
15,2019-07-03,0.01839,0.01941,0.01677,0.01836,251310.0
16,2019-07-04,0.01649,0.019,0.0164,0.01783,330871.0
17,2019-07-05,0.0164,0.01771,0.01625,0.01629,230912.0
18,2019-07-06,0.01586,0.01701,0.01527,0.01609,403393.0
19,2019-07-07,0.01589,0.01624,0.01571,0.01612,97707.0
20,2019-07-08,0.01705,0.01707,0.0148,0.01573,491671.0
21,2019-07-09,0.01468,0.01513,0.01415,0.01426,288030.0
22,2019-07-10,0.01303,0.01426,0.01292,0.01379,567553.0
23,2019-07-11,0.01208,0.01364,0.0115,0.01222,232685.0
24,2019-07-12,0.01148,0.01335,0.01148,0.01191,279308.0
25,2019-07-13,0.013,0.01431,0.01264,0.01369,375739.0
26,2019-07-14,0.01374,0.014,0.01183,0.01265,71854.0
27,2019-07-15,0.01111,0.01196,0.0104,0.01083,432812.0
28,2019-07-16,0.01152,0.01152,0.00975,0.01111,64638.0
29,2019-07-17,0.01072,0.01085,0.00975,0.01085,130829.0
30,2019-07-18,0.01047,0.01098,0.01023,0.0109,78776.0
31,2019-07-19,0.01109,0.01109,0.0105,0.01086,40714.0
32,2019-07-20,0.0111,0.01153,0.01087,0.01153,122754.0
33,2019-07-21,0.01116,0.01153,0.01066,0.01126,83170.0
34,2019-07-22,0.01,0.01093,0.00991,0.01066,182383.0
35,2019-07-23,0.00911,0.01005,0.00911,0.00945,150948.0
36,2019-07-24,0.0093,0.00977,0.00907,0.00911,113044.0
37,2019-07-25,0.00977,0.01011,0.00953,0.01008,94581.0
38,2019-07-26,0.00981,0.01019,0.00958,0.00958,156777.0
39,2019-07-27,0.00989,0.01012,0.00924,0.00989,104198.0
40,2019-07-28,0.00907,0.00926,0.00889,0.00918,38866.0
41,2019-07-29,0.00889,0.00911,0.00889,0.00911,19575.0
42,2019-07-30,0.00906,0.00911,0.00906,0.00906,3125.0
43,2019-07-31,0.00912,0.00918,0.00905,0.00905,56932.0
44,2019-08-01,0.009,0.00905,0.00852,0.00905,18002.0
45,2019-08-02,0.00851,0.00852,0.00851,0.00851,3198.0
46,2019-08-03,0.00851,0.00862,0.00851,0.00853,5150.0
47,2019-08-04,0.00866,0.00866,0.00851,0.00853,119748.0
48,2019-08-05,0.00841,0.0092,0.00819,0.00831,131466.0
49,2019-08-06,0.00896,0.00995,0.0087,0.00896,90173.0
50,2019-08-07,0.01053,0.01092,0.00927,0.00988,357363.0
51,2019-08-08,0.011,0.011,0.0089,0.0089,224857.0
52,2019-08-09,0.0086,0.00891,0.00768,0.0086,227812.0
53,2019-08-10,0.008,0.0085,0.00768,0.008,13108.0
54,2019-08-11,0.00874,0.00895,0.00808,0.00819,664469.0
55,2019-08-12,0.00848,0.00848,0.00832,0.00846,51861.0
56,2019-08-13,0.00845,0.0092,0.0084,0.0085,221147.0
57,2019-08-14,0.00856,0.00858,0.0077,0.00856,7991.0
58,2019-08-15,0.0077,0.00776,0.0077,0.00776,4438.0
59,2019-08-16,0.00745,0.00776,0.00739,0.00745,154550.0
60,2019-08-17,0.0075,0.0077,0.00745,0.0075,96454.0
