,Date,Open,High,Low,Close,Volume
0,2019-07,0.01795,0.01941,0.00889,0.00905,5934731.0
1,2019-08,0.009,0.011,0.00573,0.00588,3789502.0
2,2019-09,0.00577,0.00625,0.0041,0.0041,2655984.0
3,2019-10,0.00449,0.0055,0.00383,0.00414,4095809.0
4,2019-11,0.00424,0.00516,0.0034,0.0047,5356039.0
5,2019-12,0.00499,0.00593,0.00319,0.00355,6006336.0
6,2020-01,0.00361,0.00368,0.0032,0.00327,3143625.0
7,2020-02,0.00327,0.0056,0.00313,0.00336,7392327.0
8,2020-03,0.00336,0.00452,0.001,0.0016,12700854.0
9,2020-04,0.00153,0.00213,0.00143,0.0019,22520943.0
10,2020-05,0.00193,0.0034,0.00173,0.00292,104689917.0
11,2020-06,0.00297,0.00467,0.00254,0.00358,122735513.0
12,2020-07,0.00358,0.00912,0.00344,0.00674,77873503.0
13,2020-08,0.00659,0.0138,0.0058,0.01156,95450697.0
14,2020-09,0.0107,0.01113,0.0041,0.0052,36444127.0
15,2020-10,0.00549,0.00552,0.00327,0.00355,22796191.0
16,2020-11,0.00381,0.00726,0.0034,0.00573,37096931.1932
17,2020-12,0.00594,0.00605,0.0042,0.00443,25454073.0
18,2021-01,0.00479,0.00962,0.00438,0.00806,64269110.0
19,2021-02,0.0082,0.02649,0.00797,0.02197,89373931.0
20,2021-03,0.02327,0.105,0.022,0.08361,77696994.0
21,2021-04,0.08124,0.0872,0.0395,0.06499,42237989.0
22,2021-05,0.06535,0.08109,0.021,0.045,69785940.0
23,2021-06,0.04238,0.05,0.022,0.02832,30574178.0
24,2021-07,0.02796,0.03382,0.01974,0.0315,50980250.0
25,2021-08,0.03345,0.0545,0.02902,0.04665,43730498.0
26,2021-09,0.0487,0.198,0.04,0.13849,72681655.0
27,2021-10,0.13906,0.19258,0.11423,0.1152,52025845.0
