,Date,Open,High,Low,Close,Volume
0,2021-10-15,0.3336,0.4175,0.3,0.365,150655.0
1,2021-10-16,0.3534,0.3728,0.343,0.3519,58839.0
2,2021-10-17,0.3321,0.357,0.33,0.348,28410.0
3,2021-10-18,0.3316,0.3434,0.3296,0.334,5232.0
4,2021-10-19,0.3374,0.3414,0.3318,0.3318,9187.0
5,2021-10-20,0.3323,0.36,0.3283,0.3362,8639.0
6,2021-10-21,0.345,0.3581,0.3348,0.3492,3924.0
7,2021-10-22,0.3464,0.3516,0.3348,0.3371,1062.0
8,2021-10-23,0.336,0.3446,0.335,0.3374,4031.0
9,2021-10-24,0.3287,0.3501,0.3231,0.3397,3724.0
10,2021-10-25,0.3252,0.3357,0.3252,0.3309,1350.0
11,2021-10-26,0.3357,0.3509,0.3319,0.3352,21859.0
12,2021-10-27,0.3371,0.3402,0.3,0.3136,8722.0
13,2021-10-28,0.3,0.3346,0.29,0.3057,7811.0
14,2021-10-29,0.3245,0.38,0.29,0.3122,28377.0
15,2021-10-30,0.3123,0.3499,0.29,0.3207,7902.0
16,2021-10-31,0.3126,0.3299,0.2987,0.3062,14838.0
17,2021-11-01,0.3237,0.3276,0.3037,0.3187,39204.0
18,2021-11-02,0.3253,0.3405,0.3206,0.3369,21075.0
19,2021-11-03,0.3397,0.3397,0.3198,0.3205,5694.0
20,2021-11-04,0.3278,0.3369,0.3188,0.334,11672.0
21,2021-11-05,0.3367,0.3754,0.3238,0.36,22288.0
22,2021-11-06,0.3328,0.3575,0.31,0.3498,8225.0
23,2021-11-07,0.335,0.3485,0.3319,0.3402,10604.0
24,2021-11-08,0.3428,0.358,0.3274,0.3478,39624.0
25,2021-11-09,0.3377,0.3478,0.33,0.3357,17278.0
26,2021-11-10,0.3357,0.3357,0.3246,0.3246,26400.0
27,2021-11-11,0.3297,0.3313,0.3004,0.3168,13980.0
