,Date,Open,High,Low,Close,Volume
0,2020-06-03,0.0216,0.0224,0.02103,0.0214,146983977.0
1,2020-06-04,0.02161,0.02228,0.0216,0.0218,89429872.0
2,2020-06-05,0.02174,0.02185,0.02154,0.02181,229122.0
3,2020-06-06,0.02219,0.0224,0.02152,0.02209,965070.0
4,2020-06-07,0.02261,0.02639,0.02195,0.02259,782260.0
5,2020-06-08,0.02573,0.02944,0.02385,0.02763,1509374.0
6,2020-06-09,0.02543,0.02558,0.0237,0.0242,639969.0
7,2020-06-10,0.02901,0.034,0.02486,0.02806,956057.0
8,2020-06-11,0.03355,0.05132,0.03201,0.0404,5045329.0
9,2020-06-12,0.03753,0.03939,0.03444,0.03571,1346785.0
10,2020-06-13,0.03491,0.0388,0.034,0.03414,719674.0
11,2020-06-14,0.03407,0.03624,0.03309,0.03345,461425.0
12,2020-06-15,0.03413,0.03899,0.03345,0.0342,1141222.0
13,2020-06-16,0.03597,0.03811,0.03485,0.03597,460941.0
14,2020-06-17,0.03574,0.03899,0.03512,0.03574,526918.0
15,2020-06-18,0.034,0.03631,0.033,0.033,402366.0
16,2020-06-19,0.03171,0.03359,0.03111,0.03268,1017096.0
17,2020-06-20,0.0325,0.03283,0.03037,0.03037,494728.0
18,2020-06-21,0.033,0.0339,0.03055,0.03308,485142.0
19,2020-06-22,0.0326,0.03523,0.0323,0.0328,248698.0
20,2020-06-23,0.03351,0.03378,0.03161,0.03166,305414.0
21,2020-06-24,0.03244,0.03319,0.02896,0.03282,662484.0
22,2020-06-25,0.02877,0.03017,0.02805,0.02874,401100.0
23,2020-06-26,0.02835,0.02914,0.027,0.02756,322381.0
24,2020-06-27,0.0266,0.02979,0.02507,0.02645,171290.0
25,2020-06-28,0.02746,0.03,0.02453,0.0259,459038.0
26,2020-06-29,0.02975,0.03107,0.02734,0.029,656212.0
27,2020-06-30,0.032,0.03457,0.03031,0.03031,1243151.0
28,2020-07-01,0.03409,0.03625,0.03108,0.0353,834638.0
29,2020-07-02,0.03095,0.03225,0.02832,0.03088,1162221.0
30,2020-07-03,0.02943,0.03022,0.02888,0.02888,242985.0
31,2020-07-04,0.03065,0.03096,0.02925,0.02938,472346.0
32,2020-07-05,0.02985,0.03066,0.02932,0.02984,392391.0
33,2020-07-06,0.02963,0.03298,0.02963,0.03259,549213.0
34,2020-07-07,0.0312,0.03359,0.03114,0.03242,296465.0
35,2020-07-08,0.03451,0.03484,0.03189,0.03441,368676.0
36,2020-07-09,0.03354,0.03445,0.03138,0.03348,251018.0
37,2020-07-10,0.0312,0.03388,0.0307,0.03247,391445.0
38,2020-07-11,0.03547,0.03582,0.03277,0.03547,518063.0
39,2020-07-12,0.03461,0.03706,0.03395,0.035,397022.0
40,2020-07-13,0.03592,0.03687,0.03396,0.0354,255311.0
41,2020-07-14,0.03579,0.03701,0.03388,0.03613,206136.0
42,2020-07-15,0.03798,0.04352,0.03579,0.03623,897822.0
43,2020-07-16,0.03546,0.03807,0.03355,0.03611,579710.0
44,2020-07-17,0.0344,0.03571,0.03416,0.03454,221235.0
45,2020-07-18,0.036,0.03716,0.034,0.03488,244535.0
46,2020-07-19,0.03939,0.04047,0.03664,0.03812,386262.0
47,2020-07-20,0.04299,0.05618,0.03944,0.0481,1030391.0
48,2020-07-21,0.04808,0.06149,0.04799,0.05619,419469.0
49,2020-07-22,0.05887,0.0675,0.056,0.05746,240530.0
50,2020-07-23,0.06457,0.0665,0.0561,0.05719,139400.0
51,2020-07-24,0.05681,0.064,0.05429,0.06093,363833.0
52,2020-07-25,0.05979,0.06394,0.05872,0.05999,105562.0
53,2020-07-26,0.06155,0.07321,0.06082,0.07049,295755.0
54,2020-07-27,0.07629,0.07925,0.05665,0.06937,494197.0
55,2020-07-28,0.0625,0.06417,0.05735,0.06089,273216.0
56,2020-07-29,0.05904,0.06391,0.05721,0.05968,276470.0
57,2020-07-30,0.0624,0.06775,0.05845,0.06422,482035.0
58,2020-07-31,0.05898,0.06752,0.0585,0.05989,518249.0
59,2020-08-01,0.05526,0.05989,0.0542,0.05657,472976.0
60,2020-08-02,0.0514,0.05599,0.04682,0.05464,1211406.0
