,Date,Open,High,Low,Close,Volume
0,2021-09-01,1.794,1.851,1.697,1.744,40365.700000000004
1,2021-09-02,1.73,1.809,1.678,1.718,17899.099999999995
2,2021-09-03,1.802,1.855,1.696,1.77,30316.300000000003
3,2021-09-04,1.782,1.807,1.74,1.767,9356.0
4,2021-09-05,1.723,1.78,1.681,1.726,11423.099999999997
5,2021-09-06,1.735,1.771,1.651,1.7,11992.800000000001
6,2021-09-07,1.561,1.676,1.231,1.52,16099.5
7,2021-09-08,1.308,1.38,1.182,1.261,5364.299999999999
8,2021-09-09,1.354,1.6,1.266,1.437,7987.799999999998
9,2021-09-10,1.316,1.498,1.218,1.312,3328.8999999999996
10,2021-09-11,1.65,1.68,1.258,1.304,26654.7
11,2021-09-12,1.521,1.647,1.485,1.579,18887.399999999998
12,2021-09-13,1.409,1.526,1.312,1.404,6005.499999999999
13,2021-09-14,1.423,1.499,1.407,1.434,4604.9
14,2021-09-15,1.429,1.468,1.396,1.396,4549.8
15,2021-09-16,1.421,1.445,1.362,1.378,5998.0
16,2021-09-17,1.365,1.38,1.27,1.311,2931.2000000000007
17,2021-09-18,1.315,1.386,1.288,1.373,927.4000000000001
18,2021-09-19,1.305,1.362,1.284,1.297,4015.6000000000004
19,2021-09-20,1.207,1.3,1.155,1.224,5804.2
20,2021-09-21,1.213,1.238,1.144,1.175,4959.5
21,2021-09-22,1.175,1.259,1.126,1.193,1435.1999999999998
22,2021-09-23,1.222,1.283,1.201,1.23,4148.599999999999
23,2021-09-24,1.082,1.316,1.058,1.183,25908.5
24,2021-09-25,1.144,1.156,1.09,1.127,2192.6
25,2021-09-26,1.02,1.129,0.953,1.041,14602.3
26,2021-09-27,1.103,1.14,1.029,1.083,66798.59999999999
27,2021-09-28,0.987,1.068,0.987,1.05,14917.699999999999
28,2021-09-29,1.036,1.046,0.974,1.036,9548.9
29,2021-09-30,0.974,1.221,0.972,1.113,26750.100000000002
30,2021-10-01,1.151,1.2,1.1,1.17,13643.200000000003
31,2021-10-02,1.18,1.197,1.136,1.15,15002.6
32,2021-10-03,1.149,1.16,1.109,1.15,14257.500000000002
33,2021-10-04,1.151,1.156,1.07,1.105,39448.0
34,2021-10-05,1.105,1.133,1.077,1.133,17477.1
35,2021-10-06,1.096,1.16,1.04,1.109,13735.099999999999
36,2021-10-07,1.043,1.39,1.038,1.053,24592.600000000006
37,2021-10-08,1.176,1.257,1.146,1.184,17847.8
38,2021-10-09,1.183,1.251,1.16,1.176,4520.999999999999
39,2021-10-10,1.321,1.35,1.185,1.193,50282.50000000001
40,2021-10-11,1.17,1.222,1.169,1.22,10406.099999999999
41,2021-10-12,1.148,1.181,1.091,1.127,5642.900000000001
42,2021-10-13,1.155,1.2,1.121,1.155,22486.5
43,2021-10-14,1.194,1.25,1.121,1.249,3655.6000000000004
44,2021-10-15,1.183,1.247,1.157,1.175,3138.8000000000006
45,2021-10-16,1.299,1.52,1.1,1.273,64653.799999999996
46,2021-10-17,1.343,1.454,1.268,1.405,49385.0
47,2021-10-18,1.272,1.351,1.253,1.325,4702.700000000001
48,2021-10-19,1.258,1.294,1.232,1.293,16327.1
49,2021-10-20,1.226,1.294,1.224,1.267,3303.1
50,2021-10-21,1.22,1.295,1.2,1.224,6841.3
51,2021-10-22,1.22,1.249,1.213,1.222,1377.4000000000003
52,2021-10-23,1.224,1.246,1.2,1.232,5372.100000000001
53,2021-10-24,1.181,1.235,1.176,1.194,5743.4
54,2021-10-25,1.183,1.211,1.181,1.192,30172.9
55,2021-10-26,1.202,1.27,1.183,1.231,44318.2
56,2021-10-27,1.193,1.26,1.08,1.11,4926.000000000001
57,2021-10-28,1.119,1.27,1.075,1.119,6816.000000000001
58,2021-10-29,1.163,1.26,1.08,1.182,28436.800000000003
59,2021-10-30,1.176,1.2,1.124,1.153,17985.3
60,2021-10-31,1.171,1.216,1.112,1.17,16207.600000000002
61,2021-11-01,1.159,1.348,1.15,1.278,25445.4
62,2021-11-02,1.45,1.5,1.235,1.323,32393.5
63,2021-11-03,1.311,1.439,1.27,1.311,10591.599999999999
64,2021-11-04,1.419,1.6,1.27,1.517,24067.000000000004
65,2021-11-05,1.394,1.504,1.355,1.433,20020.3
66,2021-11-06,1.318,1.38,1.28,1.35,8488.099999999999
67,2021-11-07,1.373,1.432,1.337,1.372,11094.999999999998
68,2021-11-08,1.39,1.45,1.35,1.428,10157.2
69,2021-11-09,1.35,1.415,1.335,1.349,4567.9
70,2021-11-10,1.317,1.406,1.26,1.323,3052.2999999999997
71,2021-11-11,1.252,1.286,1.186,1.244,3524.7000000000003
