,Date,Open,High,Low,Close,Volume
0,2020-07-17 19:00:00,166.92,166.92,166.92,166.92,0.0
1,2020-07-18 19:00:00,164.06,164.06,163.38,163.54,0.07
2,2020-08-18 22:00:00,177.86,183.12,177.86,183.12,4.88
3,2020-08-21 08:00:00,189.0,189.0,185.0,186.47,3.705
4,2020-08-27 05:00:00,174.81,174.81,172.44,172.44,3.537
5,2020-08-31 16:00:00,228.2,235.0,228.2,230.73,56.142
6,2020-09-15 21:00:00,156.95,156.95,156.95,156.95,0.0
7,2020-09-20 02:00:00,152.71,152.71,152.0,152.62,0.356
8,2020-09-28 20:00:00,135.62,135.62,134.0,134.88,1.197
9,2020-10-01 20:00:00,129.6,129.6,128.3,128.3,0.507
10,2020-10-04 23:00:00,120.24,120.67,120.24,120.67,2.221
11,2020-10-05 07:00:00,118.67,118.98,118.49,118.49,0.876
12,2020-10-15 04:00:00,107.27,107.27,106.91,106.99,1.07
13,2020-10-24 08:00:00,104.0,104.0,103.94,103.94,10.931
14,2020-11-04 23:00:00,87.58,87.58,87.58,87.58,0.0
15,2020-11-11 13:00:00,105.99,107.45,105.99,107.45,4.624
16,2020-11-11 15:00:00,106.49,106.49,106.49,106.49,0.0
17,2020-11-17 00:00:00,121.04,123.05,121.04,123.05,0.275
18,2020-11-21 20:00:00,122.96,122.96,122.96,122.96,0.0
19,2020-12-03 10:00:00,129.28,130.37,127.07,127.07,31.383
20,2020-12-09 15:00:00,160.8,160.8,160.8,160.8,0.0
21,2020-12-13 09:00:00,148.53,151.0,148.53,151.0,3.735
22,2020-12-18 21:00:00,156.71,159.32,156.71,159.32,2.0
23,2020-12-19 08:00:00,159.89,160.0,158.51,160.0,0.39
24,2020-12-28 08:00:00,134.64,137.25,134.64,137.25,2.578
25,2021-01-05 06:00:00,150.66,150.66,150.66,150.66,0.0
26,2021-01-06 08:00:00,167.81,170.0,167.81,167.99,20.954
27,2021-01-06 16:00:00,166.89,170.4,166.89,170.16,2.02
28,2021-01-09 03:00:00,166.05,169.37,166.05,168.58,0.143
