,Date,Open,High,Low,Close,Volume
0,2020-08,0.04231,0.098,0.03776,0.09602,12183675.0
1,2020-09,0.08974,0.09119,0.03388,0.04101,6567272.499999999
2,2020-10,0.04056,0.04074,0.02587,0.02863,5117551.199999999
3,2020-11,0.02885,0.05535,0.02655,0.04578,4393591.800000001
4,2020-12,0.0478,0.06764,0.03981,0.04742,10428653.399999999
5,2021-01,0.04803,0.07818,0.0441,0.06791,9223198.399999999
6,2021-02,0.06236,0.27,0.06131,0.18,25378134.8
7,2021-03,0.19916,0.57663,0.185,0.4786,14835767.5
8,2021-04,0.44982,0.4643,0.23,0.39787,10275353.3
9,2021-05,0.40434,0.48566,0.1245,0.22655,30771705.9
10,2021-06,0.23245,0.33124,0.11013,0.14713,44174099.99999999
11,2021-07,0.13801,0.15138,0.08811,0.13804,23114889.900000002
12,2021-08,0.13985,0.45,0.13339,0.34693,30355858.499999996
13,2021-09,0.3368,0.67798,0.24322,0.6063,29552110.8
14,2021-10,0.59427,0.68502,0.4606,0.56582,14669798.000000002
