,Date,Open,High,Low,Close,Volume
0,2020-11-03 09:00:00,0.358,0.358,0.357,0.357,9.691
1,2020-11-20 10:00:00,0.91,0.937,0.91,0.933,1245.766
2,2020-11-23 06:00:00,0.778,0.787,0.768,0.779,388.7
3,2020-11-30 18:00:00,0.687,0.688,0.687,0.688,53.238
4,2020-12-06 11:00:00,0.694,0.694,0.694,0.694,0.0
5,2020-12-19 04:00:00,0.666,0.666,0.657,0.657,13.393
6,2020-12-23 05:00:00,0.53,0.53,0.526,0.526,45.141
7,2021-01-16 15:00:00,1.186,1.186,1.143,1.184,3228.62
8,2021-01-24 08:00:00,2.114,2.131,2.114,2.126,397.223
9,2021-01-25 10:00:00,2.161,2.245,2.161,2.213,355.777
10,2021-01-26 00:00:00,2.012,2.205,1.997,2.205,1122.059
11,2021-02-06 06:00:00,3.186,3.248,3.186,3.206,2318.28
12,2021-02-21 16:00:00,2.905,2.916,2.817,2.876,5086.23
13,2021-02-23 20:00:00,2.188,2.188,2.188,2.188,0.0
14,2021-03-08 10:00:00,2.436,2.485,2.436,2.485,3.138
15,2021-04-13 10:00:00,2.985,3.037,2.985,3.037,400.022
16,2021-04-21 06:00:00,3.011,3.051,2.952,3.051,547.848
17,2021-04-21 17:00:00,3.117,3.131,3.081,3.083,266.172
18,2021-04-24 01:00:00,2.508,2.544,2.508,2.541,1224.882
19,2021-05-04 10:00:00,3.087,3.15,3.082,3.15,1110.815
20,2021-05-12 06:00:00,3.404,3.492,3.401,3.492,4221.254
21,2021-05-14 16:00:00,3.751,3.751,3.611,3.611,753.5
22,2021-05-24 05:00:00,1.291,1.369,1.291,1.34,1326.647
23,2021-06-01 21:00:00,1.95,1.99,1.95,1.983,164.413
24,2021-06-12 06:00:00,2.093,2.093,2.032,2.085,269.766
25,2021-06-16 14:00:00,2.133,2.152,2.133,2.143,276.053
26,2021-06-17 21:00:00,2.046,2.046,2.046,2.046,0.0
27,2021-07-06 20:00:00,1.937,1.937,1.923,1.923,393.962
28,2021-07-14 23:00:00,1.599,1.609,1.591,1.591,967.602
29,2021-07-25 18:00:00,1.49,1.51,1.49,1.51,235.627
30,2021-07-29 04:00:00,1.518,1.518,1.518,1.518,0.0
31,2021-07-31 02:00:00,1.714,1.75,1.714,1.745,1399.303
32,2021-08-03 11:00:00,1.588,1.588,1.58,1.58,2.531
33,2021-08-10 19:00:00,1.907,1.907,1.863,1.876,20.672
34,2021-08-13 23:00:00,2.347,2.357,2.347,2.357,156.761
35,2021-08-17 21:00:00,1.99,1.99,1.99,1.99,0.0
36,2021-08-21 01:00:00,2.229,2.229,2.229,2.229,0.0
37,2021-08-22 17:00:00,2.249,2.272,2.233,2.24,667.337
38,2021-08-22 19:00:00,2.206,2.279,2.206,2.279,53.264
39,2021-08-27 08:00:00,2.045,2.045,2.045,2.045,0.0
40,2021-09-29 03:00:00,2.301,2.336,2.3,2.3,30.64
41,2021-10-02 19:00:00,2.635,2.646,2.61,2.613,529.086
42,2021-10-16 08:00:00,2.976,3.009,2.976,3.0,5055.29
43,2021-10-31 22:00:00,4.362,4.362,4.362,4.362,0.0
44,2020-11-21 15:00:00,0.86,0.86,0.86,0.86,34.883
45,2020-11-23 21:00:00,0.735,0.735,0.735,0.735,136.729
