,Date,Open,High,Low,Close,Volume
0,2020-11,0.407,0.961,0.334,0.69,608041.768
1,2020-12,0.656,0.852,0.4,0.531,515234.08100000006
2,2021-01,0.616,3.0,0.54,2.501,1334919.284
3,2021-02,2.51,3.629,2.081,2.4,976729.489
4,2021-03,2.357,3.555,1.97,3.131,2759554.207
5,2021-04,3.202,5.9,2.227,3.12,1205812.8929999997
6,2021-05,3.348,4.2,1.067,1.847,790572.6760000001
7,2021-06,1.95,3.099,1.13,1.827,613532.458
8,2021-07,1.701,2.09,1.235,1.733,304070.5349999999
9,2021-08,1.728,2.5,1.544,2.063,353982.402
10,2021-09,2.238,3.403,1.81,2.3,318502.2700000001
11,2021-10,2.322,5.65,2.214,4.87,296705.587
