,Date,Open,High,Low,Close,Volume
0,2018-10,278.0,278.0,150.3,160.0,59.186
1,2018-11,160.0,184.0,80.1,104.0,37.268
2,2018-12,106.9,106.9,57.8,80.0,783.104
3,2019-01,78.6,85.8,65.5,69.0,438.17799999999994
4,2019-02,67.5,92.8,66.0,78.0,199.25
5,2019-03,81.9,111.1,76.7,105.0,236.526
6,2019-04,113.6,138.4,109.2,110.3,359.17599999999993
7,2019-05,117.8,174.9,110.7,160.6,512.532
8,2019-06,162.3,186.0,138.6,160.0,280.601
9,2019-07,153.67,161.74,98.14,107.14,203.822
10,2019-08,105.87,111.89,78.87,78.87,204.01199999999997
11,2019-09,78.87,103.85,67.57,68.67,353.178
12,2019-10,71.1,76.0,62.04,71.37,200.07600000000002
13,2019-11,71.06,74.91,48.48,57.93,530.025
14,2019-12,52.8,62.95,38.84,42.25,717.8029999999999
15,2020-01,42.06,142.55,39.93,114.99,7038.679999999999
16,2020-02,116.66,138.0,80.0,87.13,2328.053
17,2020-03,87.0,93.94,35.0,65.2,4425.229
18,2020-04,64.45,88.84,62.76,81.8,3270.21
19,2020-05,81.91,83.94,67.0,79.11,2014.2599999999998
20,2020-06,78.09,82.0,65.0,68.11,655.481
21,2020-07,68.35,84.2,66.27,82.01,1372.15
22,2020-08,85.5,104.69,82.34,87.33,1771.1909999999993
23,2020-09,87.14,89.78,63.35,67.25,633.313
24,2020-10,70.72,78.09,64.35,70.05,745.719
25,2020-11,70.06,124.95,63.09,117.14,2271.1326
26,2020-12,109.13,119.21,88.15,99.56,3453.6530000000002
27,2021-01,99.65,157.65,85.15,104.53,23066.861
28,2021-02,103.76,342.0,100.7,189.0,17442.239
29,2021-03,209.57,250.31,183.33,213.77,4904.0289999999995
30,2021-04,223.66,410.25,210.0,298.84,6727.888
31,2021-05,313.73,476.37,120.0,185.25,5477.184
32,2021-06,187.5,229.9,100.0,137.44,2559.225
33,2021-07,135.78,178.0,109.43,163.01,2951.19
34,2021-08,164.49,282.0,145.01,216.4,2732.28
35,2021-09,221.8,267.5,125.5,160.5,2240.2039999999997
36,2021-10,174.11,213.12,160.04,189.3,1944.199
