,Date,Open,High,Low,Close,Volume
0,2021-06-25,104.8,108.83,84.28,108.58,39.5909
1,2021-06-26,105.5,115.0,90.0,105.5,19.4346
2,2021-06-27,117.41,124.44,98.02,122.59,566.8760000000001
3,2021-06-28,123.43,134.13,122.02,129.9,388.3531
4,2021-06-29,131.29,144.65,129.77,140.46,85.01239999999999
5,2021-06-30,139.31,150.54,134.99,142.43,107.77810000000001
6,2021-07-01,141.86,143.62,130.54,139.99,44.4643
7,2021-07-02,134.8,135.0,131.98,131.98,13.866800000000001
8,2021-07-03,146.12,146.84,134.8,143.58,60.4542
9,2021-07-04,143.37,146.84,139.16,141.9,49.952400000000004
10,2021-07-05,139.16,140.0,132.64,135.21,165.7944
11,2021-07-06,139.25,139.53,136.68,138.61,15.958700000000002
12,2021-07-07,139.06,139.18,136.8,139.06,3.1351999999999998
13,2021-07-08,134.49,138.48,120.32,123.34,40.386599999999994
14,2021-07-09,119.85,132.77,119.1,120.67,45.7309
15,2021-07-10,132.77,132.77,130.9,131.66,2.4744
16,2021-07-11,128.42,132.89,128.42,132.0,9.6076
17,2021-07-12,136.03,136.88,125.09,132.0,8.446200000000001
18,2021-07-13,125.82,127.43,123.12,127.29,10.5513
19,2021-07-14,118.55,125.82,115.45,125.82,10.861000000000002
20,2021-07-15,115.43,117.01,109.49,112.59,29.391400000000004
21,2021-07-16,113.57,116.04,109.49,113.57,11.0708
22,2021-07-17,113.57,113.57,113.49,113.49,0.0397
23,2021-07-18,118.45,118.45,111.9,117.44,3.1129
24,2021-07-19,102.49,112.62,100.92,100.92,52.7999
25,2021-07-20,91.66,100.92,91.66,94.58,13.720500000000001
26,2021-07-21,107.33,110.43,99.04,108.56,34.0771
27,2021-07-22,115.03,119.15,110.08,110.08,15.151200000000001
28,2021-07-23,112.26,117.94,112.26,116.51,16.8252
29,2021-07-24,112.26,128.7,112.26,123.69,6.3047
30,2021-07-25,129.17,129.42,125.61,127.54,32.107800000000005
31,2021-07-26,138.17,143.31,128.84,141.23,14.523100000000001
32,2021-07-27,129.58,132.63,125.42,129.67,12.3728
33,2021-07-28,136.0,141.14,129.67,139.89,15.886099999999997
34,2021-07-29,139.36,144.38,135.7,135.7,6.5246
35,2021-07-30,138.16,151.05,138.11,141.22,8.3923
36,2021-07-31,150.72,155.89,150.71,152.86,25.5079
37,2021-08-01,158.22,158.22,155.89,158.22,0.5069
38,2021-08-02,137.75,156.52,136.46,137.47,325.2502
39,2021-08-03,130.83,137.47,125.94,128.59,160.24300000000002
40,2021-08-04,127.61,136.36,126.39,133.36,74.31350000000002
41,2021-08-05,134.55,138.7,131.72,138.67,35.4463
42,2021-08-06,137.66,141.0,131.5,135.0,38.819500000000005
43,2021-08-07,142.88,144.99,138.27,142.42,70.7663
44,2021-08-08,141.9,155.0,141.73,145.37,82.88340000000002
45,2021-08-09,155.0,158.0,146.1,152.45,97.98259999999999
46,2021-08-10,154.69,158.66,145.38,158.66,25.022199999999998
47,2021-08-11,165.98,165.98,155.02,160.36,12.7572
48,2021-08-12,163.76,165.98,147.0,156.98,28.581200000000003
49,2021-08-13,165.0,2000.0,151.18,414.0,415.9548000000001
50,2021-08-14,172.79,198.2,164.01,167.28,218.6137
51,2021-08-15,169.0,171.7,164.25,171.0,36.1414
52,2021-08-16,173.14,178.02,164.37,174.88,44.9622
53,2021-08-17,165.15,178.61,165.15,166.79,34.4077
54,2021-08-18,163.06,165.15,158.44,162.55,19.016499999999997
55,2021-08-19,159.93,164.26,154.9,160.5,56.532900000000005
56,2021-08-20,164.69,173.03,162.87,170.0,16.288899999999998
57,2021-08-21,171.7,178.93,170.58,172.67,53.6112
58,2021-08-22,178.02,179.0,172.0,176.7,28.7591
59,2021-08-23,177.02,179.99,174.63,178.69,39.73500000000001
60,2021-08-24,172.99,176.21,164.19,172.99,39.8707
61,2021-08-25,167.46,176.08,162.95,167.46,15.3888
62,2021-08-26,173.69,176.82,165.5,167.46,18.584
63,2021-08-27,165.6,178.0,165.6,176.2,24.6609
64,2021-08-28,175.2,177.8,169.7,171.4,4.5604
65,2021-08-29,171.6,180.8,167.0,171.6,23.590300000000003
66,2021-08-30,173.3,180.8,166.8,175.1,29.094099999999997
67,2021-08-31,166.6,171.3,163.67,167.0,19.8957
68,2021-09-01,179.48,180.6,171.2,176.1,24.568399999999993
69,2021-09-02,183.69,186.5,178.6,180.8,14.6187
70,2021-09-03,180.8,183.3,175.6,182.79,26.916700000000002
