,Date,Open,High,Low,Close,Volume
0,2021-09-15,8.63,9.0,8.34,8.75,1877.93
1,2021-09-16,8.74,8.96,8.5,8.87,865.5699999999999
2,2021-09-17,8.52,9.0,8.23,9.0,1220.67
3,2021-09-18,8.23,10.5,8.23,8.74,2953.38
4,2021-09-19,8.75,9.34,8.65,8.79,408.50999999999993
5,2021-09-20,8.22,8.79,7.23,7.74,616.3500000000001
6,2021-09-21,7.54,7.78,6.96,7.61,58.269999999999996
7,2021-09-22,7.51,7.51,6.72,7.47,505.12
8,2021-09-23,7.34,7.69,7.34,7.34,406.92
9,2021-09-24,6.62,7.4,6.62,7.39,193.31
10,2021-09-25,6.94,6.96,6.64,6.9,266.64
11,2021-09-26,6.68,6.9,6.0,6.63,158.00000000000003
12,2021-09-27,6.75,6.8,6.39,6.75,106.51
13,2021-09-28,6.3,6.74,6.17,6.27,169.67999999999998
14,2021-09-29,6.76,7.11,6.32,6.8,510.28
15,2021-09-30,6.62,6.68,6.41,6.58,36.42
16,2021-10-01,6.65,7.45,6.65,6.65,705.94
17,2021-10-02,8.08,8.89,7.36,7.95,3702.9600000000005
18,2021-10-03,7.91,8.14,7.64,7.9,964.49
19,2021-10-04,8.07,8.42,7.79,8.0,408.8300000000001
20,2021-10-05,8.4,8.4,7.8,8.25,245.34000000000003
21,2021-10-06,7.49,8.06,7.29,7.98,506.78000000000003
22,2021-10-07,7.98,8.33,7.83,8.0,399.55999999999995
23,2021-10-08,8.07,8.2,8.0,8.0,297.78999999999996
24,2021-10-09,7.99,8.5,7.98,8.07,163.20000000000002
25,2021-10-10,8.18,8.18,7.66,7.74,39.290000000000006
26,2021-10-11,7.74,7.92,7.38,7.7,178.46
27,2021-10-12,7.55,7.72,7.17,7.35,123.3
28,2021-10-13,7.72,8.2,7.33,7.66,245.26
29,2021-10-14,7.69,8.87,7.55,8.39,9709.18
30,2021-10-15,8.33,8.37,7.78,8.06,1907.9300000000003
31,2021-10-16,8.61,10.15,8.01,8.04,4880.500000000001
32,2021-10-17,8.73,9.28,8.4,8.81,3589.8600000000006
33,2021-10-18,8.59,8.88,8.4,8.67,832.9199999999998
34,2021-10-19,8.5,8.67,8.14,8.25,1247.52
35,2021-10-20,8.57,8.57,8.19,8.2,817.28
36,2021-10-21,8.3,8.6,8.12,8.45,402.3800000000001
37,2021-10-22,8.76,8.9,8.2,8.39,993.6100000000001
38,2021-10-23,8.51,9.09,8.49,8.86,363.7700000000001
39,2021-10-24,8.27,8.69,8.2,8.29,628.7700000000001
40,2021-10-25,8.49,8.56,8.26,8.46,326.87
41,2021-10-26,8.5,8.65,8.36,8.43,849.91
42,2021-10-27,7.68,8.43,7.3,8.37,162.55999999999997
43,2021-10-28,7.33,8.3,7.3,7.31,371.4
44,2021-10-29,7.99,9.0,7.3,8.3,1220.9900000000002
45,2021-10-30,8.27,9.85,8.26,8.48,1142.37
46,2021-10-31,10.18,10.69,9.0,9.3,1986.9499999999998
47,2021-11-01,9.12,9.44,8.73,9.13,503.40000000000003
48,2021-11-02,9.57,9.91,8.9,9.75,375.84000000000003
49,2021-11-03,10.07,10.35,9.41,9.59,495.10999999999996
50,2021-11-04,9.5,9.73,9.2,9.68,527.6899999999999
51,2021-11-05,9.84,9.84,9.34,9.34,263.39
52,2021-11-06,9.17,9.46,9.0,9.26,118.1
53,2021-11-07,9.7,10.19,9.1,9.95,771.6
54,2021-11-08,9.85,10.41,9.25,10.1,363.85
55,2021-11-09,10.11,10.29,9.4,9.75,1030.27
56,2021-11-10,9.48,9.69,9.3,9.66,287.68
57,2021-11-11,8.49,9.62,8.43,9.04,1097.68
