,Date,Open,High,Low,Close,Volume
0,2021-02-04,4.472,4.79,4.059,4.423,3527.27
1,2021-02-05,4.688,4.688,4.151,4.482,2983.6699999999996
2,2021-02-06,4.509,4.671,4.212,4.664,1268.8699999999997
3,2021-02-07,4.14,4.329,3.947,4.24,482.33
4,2021-02-08,4.247,4.5,3.1,4.131,1033.34
5,2021-02-09,4.145,4.469,4.0,4.423,433.77
6,2021-02-10,4.422,4.7,4.1,4.399,1052.48
7,2021-02-11,4.66,6.199,4.219,5.488,2895.7599999999998
8,2021-02-12,5.399,5.999,4.5,5.597,3338.040000000001
9,2021-02-13,8.124,9.3,5.398,6.709,8454.38
10,2021-02-14,7.796,7.828,6.5,7.377,1902.4100000000003
11,2021-02-15,6.5,7.0,6.298,6.315,910.3499999999999
12,2021-02-16,6.719,6.917,6.313,6.9,387.86
13,2021-02-17,6.762,14.74,6.3,6.3,8633.259999999998
14,2021-02-18,10.9,12.99,8.746,9.932,12988.560000000001
15,2021-02-19,9.152,10.393,8.794,9.241,3505.3699999999994
16,2021-02-20,9.98,10.695,8.646,9.279,2714.4700000000007
17,2021-02-21,8.902,10.809,8.769,9.457,2399.919999999999
18,2021-02-22,9.353,11.326,7.9,9.854,1977.0
19,2021-02-23,9.083,10.0,6.35,7.649,2685.79
20,2021-02-24,8.498,9.299,7.136,8.3,921.8000000000001
21,2021-02-25,7.436,7.939,7.037,7.436,2202.37
22,2021-02-26,6.8,7.454,6.342,6.905,2299.7100000000005
23,2021-02-27,6.736,7.282,6.683,7.048,928.47
24,2021-02-28,6.809,6.809,5.98,6.362,709.8199999999999
25,2021-03-01,6.436,7.237,6.337,6.543,1469.7199999999998
26,2021-03-02,7.185,7.849,6.8,7.0,1014.0300000000001
27,2021-03-03,8.916,11.255,7.2,8.589,4055.1199999999994
28,2021-03-04,9.5,10.9,8.569,9.89,5266.83
29,2021-03-05,8.6,11.21,8.567,9.349,939.2400000000001
30,2021-03-06,10.619,15.325,10.175,10.75,6760.330000000001
31,2021-03-07,14.947,23.7,13.696,14.854,11822.57
32,2021-03-08,30.1,37.0,21.01,27.899,23659.63
33,2021-03-09,27.784,29.998,22.089,27.539,14593.889999999998
34,2021-03-10,31.1,31.499,24.7,27.009,2929.7999999999997
35,2021-03-11,24.576,26.0,22.651,24.216,5396.36
36,2021-03-12,25.204,26.358,21.997,22.55,4457.7
37,2021-03-13,26.0,30.285,24.711,26.736,2729.6600000000003
38,2021-03-14,26.008,35.0,25.0,27.0,1619.76
39,2021-03-15,26.9,29.663,24.49,27.224,2467.79
40,2021-03-16,26.845,28.485,25.217,26.625,311.44
41,2021-03-17,26.578,28.157,26.0,26.675,304.84
42,2021-03-18,26.102,27.0,25.6,26.191,750.5100000000001
43,2021-03-19,25.95,26.3,24.612,24.717,418.53000000000003
44,2021-03-20,23.411,24.689,22.5,23.469,3410.96
45,2021-03-21,22.6,23.312,22.29,22.864,698.6500000000001
46,2021-03-22,26.035,29.6,22.3,22.545,5714.880000000001
47,2021-03-23,25.046,28.0,23.513,23.618,2044.15
48,2021-03-24,24.038,25.3,23.0,23.949,637.35
49,2021-03-25,23.25,23.506,20.832,22.741,407.01000000000005
50,2021-03-26,21.559,25.0,21.5,22.319,442.3600000000001
51,2021-03-27,24.298,25.396,23.6,24.3,371.5599999999999
52,2021-03-28,23.8,24.25,23.0,24.0,137.02
53,2021-03-29,23.438,24.069,23.011,23.9,398.41999999999996
54,2021-03-30,23.748,24.237,23.015,23.567,235.01000000000005
55,2021-03-31,23.3,23.944,22.626,23.029,534.48
56,2021-04-01,22.701,23.3,22.122,22.55,629.0600000000001
57,2021-04-02,23.37,23.37,22.144,22.996,664.23
58,2021-04-03,22.7,23.106,22.5,22.654,177.62000000000003
59,2021-04-04,22.6,22.99,22.2,22.331,459.96000000000004
60,2021-04-05,22.8,23.1,21.55,21.72,448.31
61,2021-04-06,22.874,25.1,22.266,22.694,888.7399999999999
62,2021-04-07,25.048,34.5,23.199,24.229,6317.009999999999
63,2021-04-08,25.495,26.999,22.5,25.998,1183.43
64,2021-04-09,25.695,26.5,24.0,24.944,371.56
65,2021-04-10,24.349,25.5,23.08,23.08,233.08
66,2021-04-11,23.427,24.826,23.426,24.435,112.06
67,2021-04-12,23.426,24.8,23.319,23.87,231.31
68,2021-04-13,23.913,24.626,23.6,23.913,194.82000000000002
69,2021-04-14,25.406,25.744,24.207,24.964,224.60000000000002
70,2021-04-15,25.761,25.761,24.834,25.711,122.21
71,2021-04-16,24.717,25.761,24.7,25.531,207.01999999999995
72,2021-04-17,25.002,25.7,24.495,24.508,248.28000000000003
73,2021-04-18,22.875,25.586,21.181,23.6,292.37
74,2021-04-19,22.855,23.238,21.422,22.44,312.71999999999997
75,2021-04-20,21.317,22.447,20.0,20.25,53.92
76,2021-04-21,21.266,22.307,21.157,22.015,37.660000000000004
77,2021-04-22,21.652,22.189,20.001,20.167,50.71000000000001
78,2021-04-23,19.294,20.556,18.371,20.167,109.94000000000001
79,2021-04-24,18.548,19.29,18.03,18.548,450.82
80,2021-04-25,18.68,22.195,18.04,18.567,331.60999999999996
81,2021-04-26,20.573,20.99,18.455,20.3,435.4700000000001
82,2021-04-27,20.309,20.98,19.837,20.731,278.79999999999995
83,2021-04-28,20.409,21.914,20.123,20.123,132.89000000000004
84,2021-04-29,23.0,25.7,20.739,23.0,717.6499999999999
85,2021-04-30,20.739,22.0,20.684,21.581,2906.95
86,2021-05-01,20.85,21.549,20.0,20.549,1292.1699999999998
87,2021-05-02,20.35,20.435,18.9,19.485,619.02
88,2021-05-03,20.328,20.702,19.43,20.138,936.6
89,2021-05-04,19.55,20.121,18.54,19.6,448.32
90,2021-05-05,18.929,20.935,18.54,20.765,789.1099999999999
91,2021-05-06,20.361,21.051,19.316,21.0,559.14
92,2021-05-07,19.761,20.858,19.559,19.887,238.98000000000002
93,2021-05-08,19.557,20.173,19.531,19.721,537.3499999999999
94,2021-05-09,18.132,21.5,18.132,21.131,1172.81
95,2021-05-10,19.823,20.317,18.5,19.823,330.86000000000007
96,2021-05-11,18.5,19.27,18.02,18.596,168.49999999999997
97,2021-05-12,18.201,19.157,17.1,18.698,269.82000000000005
98,2021-05-13,15.274,17.1,15.199,16.515,391.34999999999997
99,2021-05-14,15.56,16.897,15.356,15.56,421.07000000000005
100,2021-05-15,15.925,16.464,15.537,15.96,145.52
101,2021-05-16,16.25,16.416,15.249,15.711,195.72
102,2021-05-17,15.906,16.322,14.638,14.8,247.57
