,Date,Open,High,Low,Close,Volume
0,2020-07,0.02039,0.02726,0.01915,0.02497,79868378.0
1,2020-08,0.02417,0.03789,0.02417,0.0265,6932366.0
2,2020-09,0.02622,0.03213,0.02035,0.02633,6179648.0
3,2020-10,0.02764,0.02889,0.01882,0.01989,1515517.0
4,2020-11,0.02032,0.031,0.01792,0.02429,4717786.0
5,2020-12,0.02327,0.03235,0.01844,0.0253,8376905.0
6,2021-01,0.02511,0.034,0.02174,0.02824,14102275.0
7,2021-02,0.02903,0.08819,0.0275,0.05075,20007640.0
8,2021-03,0.05533,0.08031,0.05117,0.07434,20429135.0
9,2021-04,0.07954,0.185,0.07321,0.131,51956017.0
10,2021-05,0.15953,0.18153,0.04306,0.0634,55321128.0
11,2021-06,0.07056,0.07812,0.03168,0.04663,34518878.0
12,2021-07,0.04546,0.04857,0.03272,0.04504,20103836.0
13,2021-08,0.05346,0.083,0.04622,0.0677,25893720.0
14,2021-09,0.06475,0.0791,0.04132,0.04398,16887049.0
15,2021-10,0.04828,0.07243,0.04405,0.05849,28310631.0
