,Date,Open,High,Low,Close,Volume
0,2021-07-14,0.11062,0.11914,0.11001,0.11062,74522.0
1,2021-07-15,0.1162,0.11671,0.11,0.11496,17347.2
2,2021-07-16,0.11421,0.2,0.10827,0.11971,1892703.9
3,2021-07-17,0.11763,0.13221,0.11441,0.12504,425786.6000000001
4,2021-07-18,0.116,0.12021,0.11454,0.11639,49817.00000000001
5,2021-07-19,0.10604,0.11562,0.10604,0.10636,8005.0
6,2021-07-20,0.10636,0.10901,0.09818,0.09901,56233.99999999999
7,2021-07-21,0.11286,0.11672,0.10351,0.11387,50902.7
8,2021-07-22,0.11361,0.12142,0.11066,0.11538,24573.9
9,2021-07-23,0.11753,0.12267,0.11283,0.11625,45423.9
10,2021-07-24,0.11769,0.14021,0.11625,0.12443,389089.2
11,2021-07-25,0.12193,0.1277,0.11931,0.12218,94954.79999999999
12,2021-07-26,0.1292,0.15706,0.12383,0.12899,192114.4
13,2021-07-27,0.13631,0.16215,0.13025,0.13991,289595.10000000003
14,2021-07-28,0.13901,0.15029,0.13457,0.14083,149964.9
15,2021-07-29,0.139,0.14466,0.13413,0.139,52789.6
16,2021-07-30,0.14223,0.15337,0.13648,0.1415,138809.0
17,2021-07-31,0.14369,0.171,0.14246,0.14511,246345.69999999998
18,2021-08-01,0.1472,0.15238,0.14298,0.15,19192.800000000003
19,2021-08-02,0.14477,0.14501,0.14007,0.14283,42116.1
20,2021-08-03,0.13745,0.14143,0.13723,0.13827,10674.7
21,2021-08-04,0.13748,0.14604,0.13627,0.14531,19276.299999999996
22,2021-08-05,0.14583,0.1495,0.14005,0.14429,77498.5
23,2021-08-06,0.15342,0.19025,0.14522,0.15149,123192.09999999999
24,2021-08-07,0.16249,0.18263,0.15927,0.16285,156491.80000000002
25,2021-08-08,0.15992,0.16745,0.15992,0.1607,54720.899999999994
26,2021-08-09,0.15653,0.18114,0.15653,0.16549,214127.50000000003
27,2021-08-10,0.16614,0.1717,0.16583,0.16821,62037.40000000001
28,2021-08-11,0.175,0.181,0.1666,0.16852,50389.799999999996
29,2021-08-12,0.16,0.18349,0.00242,0.18349,48323.3
30,2021-08-13,0.60313,0.99,0.16611,0.19622,1335998.6
31,2021-08-14,0.20903,0.21595,0.1949,0.19956,341264.79999999993
32,2021-08-15,0.19522,0.19941,0.188,0.195,91607.59999999999
33,2021-08-16,0.19647,0.20699,0.188,0.19379,56911.5
34,2021-08-17,0.19056,0.19343,0.17303,0.183,23629.900000000005
35,2021-08-18,0.17274,0.18891,0.16468,0.17729,53503.700000000004
36,2021-08-19,0.1751,0.1919,0.175,0.18834,49309.79999999999
37,2021-08-20,0.18968,0.205,0.189,0.19109,36959.5
38,2021-08-21,0.1881,0.19275,0.1878,0.18864,76942.40000000001
39,2021-08-22,0.19283,0.1995,0.18654,0.19288,48250.600000000006
40,2021-08-23,0.19355,0.20441,0.19202,0.19835,53642.700000000004
41,2021-08-24,0.186,0.1999,0.185,0.192,36262.6
42,2021-08-25,0.18477,0.19374,0.18174,0.18604,47520.5
43,2021-08-26,0.1851,0.19471,0.17325,0.1851,47967.1
44,2021-08-27,0.1735,0.186,0.17,0.18048,34700.4
45,2021-08-28,0.18053,0.1939,0.18053,0.186,30740.000000000004
46,2021-08-29,0.1846,0.19,0.178,0.1863,59987.79999999999
47,2021-08-30,0.1977,0.225,0.1867,0.2039,565742.6
48,2021-08-31,0.1927,0.2037,0.186,0.1914,39213.5
49,2021-09-01,0.192,0.192,0.1827,0.188,35321.6
50,2021-09-02,0.1926,0.1937,0.1878,0.19068,20469.500000000004
51,2021-09-03,0.18959,0.19489,0.1868,0.1879,55615.5
52,2021-09-04,0.2178,0.22674,0.1908,0.21773,320116.89999999997
53,2021-09-05,0.20669,0.2682,0.204,0.21,1051555.7999999998
54,2021-09-06,0.2068,0.2178,0.20148,0.205,68267.0
55,2021-09-07,0.1977,0.2098,0.17017,0.1977,90554.69999999998
56,2021-09-08,0.1794,0.1795,0.1577,0.166,50784.6
57,2021-09-09,0.1794,0.1845,0.1711,0.1772,37021.399999999994
58,2021-09-10,0.1782,0.1848,0.167,0.172,18189.2
59,2021-09-11,0.167,0.1905,0.167,0.1723,25967.8
60,2021-09-12,0.1757,0.19,0.1744,0.1828,47858.200000000004
61,2021-09-13,0.1691,0.1815,0.1671,0.1732,49471.59999999999
62,2021-09-14,0.1715,0.177,0.1693,0.177,17217.300000000003
63,2021-09-15,0.1723,0.1915,0.1723,0.185,107427.1
64,2021-09-16,0.1834,0.19193,0.176,0.1813,59944.700000000004
65,2021-09-17,0.1733,0.1795,0.17144,0.17144,16608.1
66,2021-09-18,0.1737,0.19,0.1721,0.1755,85804.90000000001
67,2021-09-19,0.1766,0.1828,0.1731,0.1784,55612.0
68,2021-09-20,0.1559,0.1784,0.1469,0.1554,76408.6
69,2021-09-21,0.1532,0.1573,0.1476,0.1532,6763.5
70,2021-09-22,0.1468,0.15739,0.1421,0.1468,22707.299999999996
71,2021-09-23,0.1569,0.1643,0.151,0.1612,200576.5
72,2021-09-24,0.1519,0.1639,0.142,0.15605,12425.599999999999
73,2021-09-25,0.15,0.1622,0.1446,0.15,85085.3
74,2021-09-26,0.145,0.1561,0.1362,0.144,76937.49999999999
75,2021-09-27,0.1581,0.1581,0.14,0.1505,37469.99999999999
76,2021-09-28,0.1422,0.14839,0.1406,0.14333,27823.300000000003
77,2021-09-29,0.1424,0.1484,0.1376,0.1442,37836.99999999999
78,2021-09-30,0.143,0.14859,0.1376,0.1414,9602.4
79,2021-10-01,0.1446,0.15606,0.1446,0.1451,52947.399999999994
80,2021-10-02,0.1552,0.1621,0.1515,0.1525,187624.80000000002
81,2021-10-03,0.15864,0.1778,0.1534,0.1693,346619.5
82,2021-10-04,0.15582,0.168,0.1518,0.15419,111295.50000000001
83,2021-10-05,0.15526,0.15809,0.1518,0.1556,94937.09999999999
84,2021-10-06,0.1512,0.1573,0.1475,0.152,56668.5
85,2021-10-07,0.15079,0.152,0.1434,0.14895,87922.20000000001
86,2021-10-08,0.14804,0.15829,0.146,0.1464,190112.19999999998
87,2021-10-09,0.1466,0.20999,0.1466,0.1527,898385.3
88,2021-10-10,0.1564,0.1644,0.15,0.163,194884.4
89,2021-10-11,0.15,0.1529,0.145,0.145,89307.5
90,2021-10-12,0.1435,0.1511,0.1369,0.14259,137971.5
91,2021-10-13,0.14355,0.15,0.14,0.1462,66819.29999999999
92,2021-10-14,0.1474,0.1562,0.1459,0.1482,51945.399999999994
93,2021-10-15,0.1553,0.20999,0.1432,0.1508,730301.4
94,2021-10-16,0.162,0.2076,0.14821,0.1681,1148409.9999999995
95,2021-10-17,0.1644,0.1843,0.16178,0.18,782331.5
96,2021-10-18,0.1612,0.1694,0.16,0.161,282507.5
97,2021-10-19,0.1619,0.16469,0.158,0.15894,109245.8
98,2021-10-20,0.1568,0.1673,0.15629,0.1599,87395.59999999999
99,2021-10-21,0.178,0.242,0.1648,0.1888,2418616.3000000003
100,2021-10-22,0.18209,0.2007,0.177,0.1873,280351.7
101,2021-10-23,0.1778,0.181,0.1724,0.1785,164925.09999999995
102,2021-10-24,0.1751,0.19328,0.1724,0.186,169558.80000000002
103,2021-10-25,0.18032,0.182,0.17434,0.17434,139486.99999999997
104,2021-10-26,0.1781,0.1821,0.17124,0.1773,176642.50000000003
105,2021-10-27,0.1625,0.176,0.15161,0.1714,399655.9
106,2021-10-28,0.1705,0.173,0.1517,0.1557,414154.0
107,2021-10-29,0.16765,0.1722,0.16022,0.16839,84437.59999999999
