,Date,Open,High,Low,Close,Volume
0,2020-09-16,5.1559,5.9999,4.9735,5.2465,509.1700000000001
1,2020-09-17,5.2474,5.4284,4.999,5.1957,284.20000000000005
2,2020-09-18,5.2568,5.3496,5.1208,5.2552,537.31
3,2020-09-19,5.235,5.2557,4.8873,5.1131,675.43
4,2020-09-20,4.8714,4.9806,4.42,4.9191,874.06
5,2020-09-21,4.1651,4.6659,3.988,4.0541,2025.8000000000002
6,2020-09-22,3.9752,4.1757,3.9752,3.9752,2256.6400000000003
7,2020-09-23,4.073,4.6,4.0,4.228,402.24
8,2020-09-24,4.1585,4.437,4.0599,4.4003,348.93999999999994
9,2020-09-25,4.3191,4.5219,4.2784,4.5115,349.34999999999997
10,2020-09-26,4.2804,4.5115,4.266,4.3432,357.5899999999999
11,2020-09-27,4.2022,4.3662,4.1321,4.2121,1287.8299999999997
12,2020-09-28,4.5045,4.5806,4.2121,4.5051,248.5
13,2020-09-29,4.5,4.5789,4.4064,4.5241,422.07000000000005
14,2020-09-30,4.3215,4.4291,4.28,4.28,135.51000000000002
15,2020-10-01,4.2796,4.537,4.2501,4.5109,1643.7699999999998
16,2020-10-02,4.1382,4.3634,3.954,3.9583,283.95
17,2020-10-03,4.1055,4.1236,4.069,4.0993,684.3499999999998
18,2020-10-04,4.0907,4.1182,4.0439,4.1182,239.27999999999997
19,2020-10-05,4.2126,4.2247,4.0907,4.1942,1144.8700000000001
20,2020-10-06,3.9548,4.1567,3.7,3.9583,462.8999999999999
21,2020-10-07,3.751,3.8517,3.6025,3.7014,1411.2200000000005
22,2020-10-08,3.8205,4.1495,3.6645,4.0784,991.0899999999999
23,2020-10-09,4.2662,4.358,4.0273,4.0519,4044.44
24,2020-10-10,4.3395,4.4852,4.2587,4.3395,1413.66
25,2020-10-11,4.2145,4.3284,4.1581,4.2442,333.02000000000004
26,2020-10-12,4.4025,4.4342,4.2101,4.3812,911.6099999999999
27,2020-10-13,4.2281,4.7,4.1878,4.3393,580.4000000000001
28,2020-10-14,4.2626,4.3413,4.105,4.2911,527.94
29,2020-10-15,4.1417,4.1714,4.0734,4.1427,200.22000000000003
30,2020-10-16,3.94,4.12,3.8939,3.9467,425.21
31,2020-10-17,3.9548,3.9884,3.9,3.9528,62.81999999999999
32,2020-10-18,4.1402,4.1402,3.9525,4.1,179.33
33,2020-10-19,4.0629,4.1402,3.9617,4.0629,102.22999999999999
34,2020-10-20,4.0031,4.131,3.89,3.89,326.81
35,2020-10-21,3.9684,4.1461,3.906,4.1228,350.74999999999994
36,2020-10-22,4.2925,4.325,4.1228,4.3226,1134.5300000000002
37,2020-10-23,4.25,4.45,4.1816,4.2828,1000.3499999999999
38,2020-10-24,4.368,4.4086,4.2828,4.3228,845.36
39,2020-10-25,4.42,4.4278,4.27,4.4278,397.84999999999997
40,2020-10-26,4.6271,4.711,4.27,4.6271,2471.91
41,2020-10-27,4.7305,4.8691,4.6086,4.8691,1001.8
42,2020-10-28,4.5624,4.7457,4.3919,4.7457,291.88999999999993
43,2020-10-29,4.3756,4.4105,3.9,4.3756,622.0899999999999
44,2020-10-30,4.09,4.1246,3.9655,4.0399,166.44
45,2020-10-31,4.1604,4.2564,4.09,4.09,290.24
46,2020-11-01,4.1451,4.2087,4.1103,4.1863,129.64
47,2020-11-02,4.2618,4.2618,4.01,4.01,1278.5500000000002
48,2020-11-03,3.9835,4.0387,3.9087,3.9087,50.099999999999994
49,2020-11-04,3.9835,4.1527,3.9112,4.1527,125.97
50,2020-11-05,4.1163,4.29,4.0504,4.0587,1283.8300000000002
51,2020-11-06,4.4127,4.6306,4.2172,4.425,957.1099999999999
52,2020-11-07,4.3186,4.8,4.11,4.7388,684.3799999999999
53,2020-11-08,4.2629,4.4363,4.206,4.2841,130.4
54,2020-11-09,4.3546,4.407,4.2795,4.3073,92.9
55,2020-11-10,4.4046,4.4386,4.3425,4.3557,362.74999999999994
56,2020-11-11,4.3867,4.5721,4.3867,4.4837,894.6599999999997
57,2020-11-12,4.3389,4.4826,4.3389,4.3651,429.66
58,2020-11-13,4.5023,4.57,4.352,4.57,52.28999999999999
59,2020-11-14,4.4775,4.5277,4.3847,4.4775,38.83
60,2020-11-15,4.41,4.5052,4.3515,4.3515,127.37
61,2020-11-16,4.5712,4.5743,4.3778,4.4,706.9300000000001
62,2020-11-17,4.8751,4.9,4.5667,4.8849,618.7600000000001
63,2020-11-18,4.6,4.9095,4.5188,4.6897,1533.7700000000002
64,2020-11-19,4.6129,4.8577,4.59,4.7517,946.4100000000001
65,2020-11-20,5.3443,5.8,4.701,5.1883,2904.7599999999993
66,2020-11-21,5.91,5.92,5.1875,5.3425,1640.68
67,2020-11-22,5.388,5.7273,5.25,5.6067,1819.1
68,2020-11-23,5.8004,5.8924,5.4744,5.7272,1228.76
69,2020-11-24,5.8654,6.0884,5.6386,5.7427,3003.149999999999
70,2020-11-25,5.5801,6.0,5.2042,5.7427,2395.7099999999996
71,2020-11-26,4.7709,5.3456,4.4341,4.7845,1691.4199999999998
72,2020-11-27,4.772,5.0154,4.5967,4.7568,476.9599999999999
73,2020-11-28,4.7568,4.9439,4.668,4.7021,470.43
74,2020-11-29,4.919,5.163,4.8138,5.0227,594.69
75,2020-11-30,5.2008,5.4332,5.163,5.3399,2268.6899999999996
76,2020-12-01,5.4963,5.5304,4.9452,5.298,2937.86
77,2020-12-02,5.264,5.5458,5.0546,5.264,2630.17
78,2020-12-03,5.4174,5.525,5.366,5.3672,970.09
79,2020-12-04,5.2329,5.425,4.9882,5.33,2165.92
80,2020-12-05,4.9984,5.1926,4.93,5.1287,680.74
81,2020-12-06,5.1021,5.1926,5.0287,5.1391,1527.86
82,2020-12-07,5.1262,5.1334,5.0344,5.0415,1609.2
83,2020-12-08,5.047,5.0525,4.7598,4.9138,2251.2000000000003
84,2020-12-09,4.7017,4.922,4.6061,4.73,1955.16
85,2020-12-10,4.7908,4.9102,4.7557,4.7908,618.59
86,2020-12-11,4.6346,4.8535,4.585,4.61,770.61
87,2020-12-12,4.7192,4.7872,4.6486,4.7802,388.97
88,2020-12-13,4.8932,4.989,4.7314,4.7677,373.34999999999997
89,2020-12-14,4.9616,5.15,4.8367,4.8479,1569.04
90,2020-12-15,5.0,5.25,4.8424,4.8925,2359.0799999999995
91,2020-12-16,5.1741,5.3771,5.1043,5.2621,1444.48
92,2020-12-17,5.3771,5.734,5.2794,5.5585,2421.86
93,2020-12-18,5.4231,5.47,5.2776,5.352,2161.8899999999994
94,2020-12-19,5.465,5.5376,5.3,5.3986,1271.67
95,2020-12-20,5.287,5.3918,5.1001,5.352,1967.9400000000003
96,2020-12-21,4.999,5.3891,4.813,5.2519,3182.54
97,2020-12-22,5.0841,5.2285,4.8389,4.9124,790.7099999999998
98,2020-12-23,4.9853,5.1603,4.675,4.8926,1095.1100000000001
99,2020-12-24,4.8841,5.1541,4.7091,5.1536,2563.6500000000005
100,2020-12-25,5.2488,5.2488,5.0244,5.1619,1031.5
101,2020-12-26,5.2195,5.3,5.1044,5.3,1828.1100000000001
102,2020-12-27,5.2,5.4059,5.0,5.3016,2356.9200000000005
103,2020-12-28,6.1629,6.6988,5.139,5.8847,3400.99
104,2020-12-29,7.224,7.6454,6.2232,6.4639,5268.779999999999
105,2020-12-30,7.3378,8.0,7.1159,7.376,3710.87
106,2020-12-31,8.336,9.3632,7.2506,8.0755,6884.320000000001
107,2021-01-01,8.9135,9.3821,8.084,8.7065,7832.7300000000005
108,2021-01-02,8.5882,9.8075,7.9803,8.1977,12551.529999999999
109,2021-01-03,9.3322,10.5,8.9487,9.0779,11973.0
110,2021-01-04,10.1869,23.0,9.01,9.3079,28562.250000000007
111,2021-01-05,9.2811,10.0783,9.0802,9.2479,15813.170000000002
112,2021-01-06,10.2583,10.3708,9.51,9.5929,10650.73
113,2021-01-07,9.86,10.6489,9.5,10.0608,11607.649999999998
114,2021-01-08,9.1,9.7873,9.0,9.4204,9737.769999999999
115,2021-01-09,9.2645,9.8361,9.0976,9.6393,8367.09
116,2021-01-10,9.2033,9.9236,8.8,9.7552,6986.8099999999995
117,2021-01-11,8.31,9.3607,7.15,9.25,13404.2
118,2021-01-12,8.2089,8.6,8.0,8.2398,5207.7300000000005
119,2021-01-13,8.2398,11.3,7.9646,8.7103,16431.67
120,2021-01-14,11.0019,19.9994,10.88,15.0,89324.43
121,2021-01-15,14.052,14.9025,11.8322,12.6813,55799.39
122,2021-01-16,14.9587,19.3124,13.2258,15.0636,91317.76
123,2021-01-17,17.8405,18.1655,16.3,17.8405,62987.99
124,2021-01-18,17.3995,18.067,16.15,17.71,24081.080000000005
125,2021-01-19,17.4159,17.5,16.19,16.8248,27614.04
126,2021-01-20,16.0219,18.0,14.8155,16.1679,47797.6
127,2021-01-21,16.5,18.06,15.051,16.0863,28150.369999999995
128,2021-01-22,17.3265,17.9392,14.7654,16.4613,28473.209999999995
129,2021-01-23,17.9556,18.69,16.7945,17.3324,18555.29
130,2021-01-24,18.3365,18.6993,17.291,17.6914,17457.51
131,2021-01-25,18.85,19.0628,17.1509,17.2271,27545.12
132,2021-01-26,17.6536,17.85,16.05,17.2014,18861.47
133,2021-01-27,15.4961,17.2192,15.0105,16.3466,24883.08
134,2021-01-28,16.9069,17.4548,15.4062,16.8686,15491.14
135,2021-01-29,16.9202,17.6794,16.009,17.3217,18979.61
136,2021-01-30,16.3627,17.1,16.2,16.77,20239.870000000003
137,2021-01-31,16.76,17.486,15.78,16.6158,13015.610000000006
138,2021-02-01,16.0829,16.5,15.7138,15.997,13762.85
139,2021-02-02,17.4003,17.5916,16.0177,16.3994,18657.61
140,2021-02-03,19.4538,20.901,16.8769,17.8983,48923.649999999994
141,2021-02-04,20.3015,21.6744,19.0999,21.0472,20974.94
142,2021-02-05,20.9408,21.31,19.5,20.588,15924.63
143,2021-02-06,20.2767,21.4,19.8264,20.1901,12278.800000000003
144,2021-02-07,20.0519,20.7868,18.9,19.397,9320.34
145,2021-02-08,23.2896,23.6147,19.2338,22.35,25113.770000000004
146,2021-02-09,23.4887,23.96,22.5,23.4415,13527.559999999998
147,2021-02-10,23.45,24.5989,22.4931,23.7,12483.790000000003
148,2021-02-11,25.0,25.5946,23.3212,24.7995,11818.27
149,2021-02-12,24.7707,29.7377,24.5001,26.0516,14175.070000000002
150,2021-02-13,30.99,32.5,28.5013,30.0,7046.28
151,2021-02-14,30.99,31.81,26.5,27.274,12410.66
152,2021-02-15,28.8,29.8999,23.72,25.3,18203.050000000003
153,2021-02-16,30.8986,30.9,27.9359,28.9277,10507.83
154,2021-02-17,31.296,32.3445,29.5171,31.1,11653.640000000001
155,2021-02-18,31.3259,32.4729,30.5587,30.9883,6742.03
156,2021-02-19,30.3566,34.9822,29.6752,33.7163,18077.87
157,2021-02-20,38.0,43.3679,34.8047,41.4,21429.839999999997
158,2021-02-21,39.2657,40.57,38.091,39.45,10786.689999999999
159,2021-02-22,38.4156,39.6347,31.0801,37.0042,13711.699999999997
160,2021-02-23,37.2834,37.6212,27.5199,31.2662,11387.849999999999
161,2021-02-24,36.0568,37.6274,32.2992,36.9649,10859.790000000003
162,2021-02-25,34.1144,35.0653,32.5,34.1144,9577.73
163,2021-02-26,31.6597,34.0998,28.3765,29.38,10070.349999999999
164,2021-02-27,33.8673,35.6295,32.3,34.5,7511.15
165,2021-02-28,31.0,35.0,30.71,34.1,4272.3099999999995
166,2021-03-01,34.1306,35.5605,33.047,35.4919,4399.780000000001
167,2021-03-02,35.9961,37.2098,33.9929,36.3866,5557.170000000001
168,2021-03-03,36.7032,38.52,35.0001,37.11,6300.020000000001
169,2021-03-04,35.5,38.381,34.986,36.09,3445.36
170,2021-03-05,33.8163,37.6,31.48,35.0,9663.42
171,2021-03-06,33.0185,34.2,32.1,33.4717,3841.799999999999
172,2021-03-07,34.2598,35.3,33.4423,34.2443,5208.580000000001
173,2021-03-08,34.071,35.4324,33.3,35.1378,4443.15
174,2021-03-09,36.4062,38.8749,34.0035,36.2249,7890.540000000001
175,2021-03-10,39.0758,39.5,36.0,38.461,7876.6799999999985
176,2021-03-11,37.189,38.2,35.8885,36.84,4385.009999999999
177,2021-03-12,36.6757,37.41,34.5001,37.2081,5147.170000000001
178,2021-03-13,35.9008,38.1774,34.97,36.1544,4612.670000000001
179,2021-03-14,36.8837,37.912,36.1446,37.2354,2730.4999999999995
180,2021-03-15,37.35,38.5644,34.39,38.0,5068.88
181,2021-03-16,34.7568,35.4366,32.0035,33.3318,7213.74
182,2021-03-17,35.168,36.3881,34.0,36.0751,3375.5200000000004
183,2021-03-18,36.3387,36.919,35.4021,36.1682,2755.52
184,2021-03-19,38.0951,38.7974,35.0,38.7388,8330.309999999998
185,2021-03-20,39.5,39.99,37.2452,39.2668,6263.900000000002
186,2021-03-21,36.85,39.1287,36.07,37.1791,1564.25
187,2021-03-22,37.6649,37.86,35.5,37.1947,1386.31
188,2021-03-23,35.1109,36.2844,34.31,35.2742,3968.0199999999995
189,2021-03-24,35.474,36.1634,27.9086,34.2912,7703.339999999999
190,2021-03-25,30.379,32.0,28.5,30.4376,13839.240000000002
191,2021-03-26,31.1348,33.2381,29.9722,31.1297,4349.75
192,2021-03-27,32.9672,33.5,31.2465,32.1342,3457.6500000000005
193,2021-03-28,32.8655,33.27,31.617,32.8706,1362.2399999999998
194,2021-03-29,32.2,34.8,31.8115,33.9813,2793.49
