,Date,Open,High,Low,Close,Volume
0,2020-09-03,17.696,28.649,17.078,18.983,5634.703000000001
1,2020-09-04,17.746,20.0,16.944,18.004,1487.614
2,2020-09-05,14.167,17.673,10.404,17.427,1844.9759999999999
3,2020-09-06,12.449,14.451,11.801,12.425,1396.5020000000002
4,2020-09-07,13.463,13.588,11.984,13.046,597.5939999999999
5,2020-09-08,14.122,15.4,13.046,13.046,4724.018
6,2020-09-09,14.438,15.229,13.747,14.686,656.809
7,2020-09-10,15.454,15.576,14.0,15.153,2293.616
8,2020-09-11,13.7,14.412,13.7,13.879,670.796
9,2020-09-12,14.234,14.4,13.716,14.228,526.509
10,2020-09-13,13.195,14.0,13.032,13.9,493.365
11,2020-09-14,13.001,14.314,12.821,14.03,490.17400000000004
12,2020-09-15,14.138,14.979,13.011,14.138,1600.829
13,2020-09-16,12.707,14.3,12.286,12.389,1714.7359999999999
14,2020-09-17,12.117,12.87,11.894,11.962,451.41400000000004
15,2020-09-18,12.12,12.197,10.986,12.081,454.809
16,2020-09-19,11.819,12.195,11.177,11.393,490.9
17,2020-09-20,11.827,12.06,10.488,11.827,271.7539999999999
18,2020-09-21,10.667,10.96,8.569,8.771,579.968
19,2020-09-22,8.711,9.029,8.408,8.408,392.29200000000003
20,2020-09-23,8.415,9.273,8.294,8.507,785.4819999999999
21,2020-09-24,9.039,9.22,8.56,8.833,781.8059999999999
22,2020-09-25,9.198,10.14,9.012,9.198,515.5640000000001
23,2020-09-26,10.229,10.481,9.924,10.088,269.806
24,2020-09-27,9.736,10.528,9.736,10.264,517.89
25,2020-09-28,10.342,10.549,9.92,10.344,312.751
26,2020-09-29,10.028,10.37,9.991,9.991,90.658
27,2020-09-30,10.034,10.561,9.991,10.2,905.323
28,2020-10-01,10.2,10.85,10.128,10.2,220.82699999999997
29,2020-10-02,9.42,10.182,8.91,9.42,1646.9489999999998
30,2020-10-03,9.449,9.513,9.312,9.513,377.332
31,2020-10-04,9.312,9.312,8.991,9.066,67.598
32,2020-10-05,8.975,9.027,8.047,8.574,1714.6030000000003
33,2020-10-06,8.347,8.369,7.006,7.62,456.445
34,2020-10-07,7.006,7.583,6.602,7.17,784.1239999999998
35,2020-10-08,7.326,7.733,7.089,7.475,515.384
36,2020-10-09,8.0,8.073,7.451,7.451,432.8239999999999
37,2020-10-10,7.845,8.151,7.833,7.983,757.355
38,2020-10-11,7.764,8.001,7.554,7.794,448.9680000000001
39,2020-10-12,8.003,8.13,7.45,8.041,852.041
40,2020-10-13,8.13,8.173,7.824,8.13,424.767
41,2020-10-14,7.873,8.053,7.7,7.889,589.412
42,2020-10-15,7.724,7.901,7.677,7.901,481.159
43,2020-10-16,7.628,7.954,7.293,7.57,226.163
44,2020-10-17,7.293,7.495,7.293,7.495,141.72
45,2020-10-18,7.592,7.739,7.433,7.526,86.042
46,2020-10-19,7.526,7.526,7.257,7.501,61.172
47,2020-10-20,7.16,7.501,6.614,7.2,276.382
48,2020-10-21,6.97,7.496,6.97,7.496,284.783
49,2020-10-22,7.57,7.761,7.209,7.414,439.673
50,2020-10-23,7.753,8.935,7.747,7.761,1916.213
51,2020-10-24,9.965,10.294,8.668,9.0,2159.0929999999994
52,2020-10-25,9.519,9.578,8.238,9.438,397.73199999999997
53,2020-10-26,9.072,9.519,8.576,9.072,675.4620000000001
54,2020-10-27,8.456,8.835,8.345,8.8,59.17199999999999
55,2020-10-28,7.937,8.701,7.908,8.0,216.61900000000003
56,2020-10-29,7.46,7.975,7.32,7.32,278.421
57,2020-10-30,7.277,7.7,7.277,7.302,219.753
58,2020-10-31,7.621,7.7,7.246,7.506,95.97300000000001
59,2020-11-01,7.307,7.858,7.246,7.417,127.886
60,2020-11-02,7.609,7.858,7.402,7.661,75.67000000000002
61,2020-11-03,7.456,7.456,7.12,7.275,31.461
62,2020-11-04,7.16,7.275,7.0,7.025,58.773
63,2020-11-05,7.279,7.343,7.021,7.16,101.79899999999999
64,2020-11-06,8.0,8.232,7.343,7.89,252.293
65,2020-11-07,8.379,8.615,8.019,8.183,434.94300000000004
