,Date,Open,High,Low,Close,Volume
0,2020-09,17.696,28.649,8.294,10.2,30952.658
1,2020-10,10.2,10.85,6.602,7.506,17304.161
2,2020-11,7.307,10.169,7.0,9.139,7310.0925
3,2020-12,9.339,29.9,8.684,24.012,34250.956
4,2021-01,26.691,74.513,24.012,66.677,25758.584
5,2021-02,66.0,216.029,59.1,125.0,42060.128
6,2021-03,136.919,165.1,117.692,140.988,11788.603000000003
7,2021-04,146.821,246.575,134.395,179.35,12440.114000000001
8,2021-05,180.15,205.0,14.047,98.83,4408.164999999999
9,2021-06,103.23,111.592,55.0,84.12,4920.092
10,2021-07,80.8,107.999,65.37,85.15,3769.3089999999997
11,2021-08,88.11,172.0,86.0,163.17,7332.042999999999
12,2021-09,176.657,301.0,137.291,205.31,10727.473000000002
13,2021-10,244.0,297.46,206.92,260.0,4040.09
