,Date,Open,High,Low,Close,Volume
0,2019-07-09,0.11897,0.11923,0.11897,0.11897,96.2
1,2019-07-10,0.11236,0.12104,0.11236,0.12104,311.7
2,2019-07-11,0.10101,0.11236,0.09982,0.09982,364.5
3,2019-07-12,0.09982,0.09982,0.09982,0.09982,0.0
4,2019-07-13,0.09982,0.1023,0.099,0.09982,402.0
5,2019-07-14,0.099,0.11,0.099,0.10203,352.0
6,2019-07-15,0.1069,0.1069,0.1069,0.1069,0.0
7,2019-07-16,0.1069,0.1069,0.1069,0.1069,0.0
8,2019-07-17,0.1069,0.1069,0.09006,0.1069,623.0
9,2019-07-18,0.08535,0.09006,0.08384,0.08682,10206.100000000002
10,2019-07-19,0.08478,0.08863,0.08478,0.0861,2135.8
11,2019-07-20,0.08971,0.08997,0.08726,0.08971,2531.8
12,2019-07-21,0.08848,0.08971,0.08848,0.08848,2045.4
13,2019-07-22,0.08848,0.08969,0.08848,0.08848,596.3
14,2019-07-23,0.09072,0.09081,0.08969,0.09072,1120.0
15,2019-07-24,0.08391,0.09072,0.08391,0.08391,165.7
16,2019-07-25,0.0849,0.08875,0.0849,0.08834,1251.2
17,2019-07-26,0.0857,0.08762,0.08529,0.08574,263.5
18,2019-07-27,0.0847,0.08988,0.08389,0.08407,3778.1
19,2019-07-28,0.08389,0.08477,0.08389,0.08477,467.8
20,2019-07-29,0.08477,0.08477,0.08273,0.08273,556.3
21,2019-07-30,0.08273,0.08273,0.08273,0.08273,0.0
22,2019-07-31,0.08649,0.09147,0.08273,0.08963,1226.5
23,2019-08-01,0.08649,0.08649,0.08649,0.08649,0.0
24,2019-08-02,0.0823,0.08649,0.0823,0.08317,259.0
25,2019-08-03,0.08385,0.08385,0.0823,0.08385,3737.9
26,2019-08-04,0.07998,0.08385,0.07998,0.08385,679.4
27,2019-08-05,0.07998,0.07998,0.07788,0.07836,1033.0
28,2019-08-06,0.07461,0.07836,0.07461,0.07791,3992.7
29,2019-08-07,0.07207,0.07461,0.07207,0.07207,5696.400000000001
30,2019-08-08,0.0687,0.07375,0.06801,0.07375,4687.5
31,2019-08-09,0.06338,0.07,0.062,0.07,583.7
32,2019-08-10,0.062,0.071,0.06071,0.062,334.2
33,2019-08-11,0.06888,0.07179,0.06859,0.06888,4594.7
34,2019-08-12,0.07179,0.07179,0.07179,0.07179,0.0
35,2019-08-13,0.07179,0.07179,0.07179,0.07179,0.0
36,2019-08-14,0.07179,0.07179,0.06435,0.07179,99.0
37,2019-08-15,0.06435,0.06435,0.06435,0.06435,0.0
38,2019-08-16,0.06435,0.06435,0.06435,0.06435,0.0
39,2019-08-17,0.06694,0.06694,0.06241,0.06694,406.8
40,2019-08-18,0.06694,0.06694,0.06694,0.06694,0.0
41,2019-08-19,0.06694,0.06694,0.0656,0.0656,106.7
42,2019-08-20,0.0656,0.06653,0.0656,0.0656,4401.8
43,2019-08-21,0.06297,0.06653,0.06107,0.06187,9729.5
44,2019-08-22,0.06187,0.06916,0.06187,0.06559,3085.8999999999996
45,2019-08-23,0.06846,0.07314,0.06846,0.07314,7736.6
46,2019-08-24,0.07541,0.07559,0.0717,0.07557,5924.9
47,2019-08-25,0.07444,0.07444,0.06926,0.06934,2636.1
48,2019-08-26,0.06999,0.06999,0.06703,0.06703,1930.6
49,2019-08-27,0.06703,0.07082,0.067,0.06703,1925.9999999999998
50,2019-08-28,0.06929,0.07052,0.05,0.07052,446.4
51,2019-08-29,0.06171,0.06388,0.06075,0.06171,332.1
52,2019-08-30,0.06449,0.06449,0.06171,0.06171,3345.2
53,2019-08-31,0.06449,0.06713,0.06376,0.06713,444.4
54,2019-09-01,0.06713,0.07182,0.06713,0.07182,2161.4
55,2019-09-02,0.08162,0.08162,0.07131,0.07752,12436.8
56,2019-09-03,0.07405,0.08039,0.07405,0.07518,3250.8999999999996
57,2019-09-04,0.085,0.085,0.07518,0.085,3472.7999999999997
58,2019-09-05,0.08866,0.08866,0.085,0.085,2181.4
59,2019-09-06,0.08045,0.08866,0.08022,0.08022,1804.0
60,2019-09-07,0.078,0.0812,0.078,0.0812,1215.8999999999999
61,2019-09-08,0.0812,0.0812,0.0812,0.0812,0.0
62,2019-09-09,0.0812,0.0812,0.07818,0.07818,329.1
63,2019-09-10,0.07801,0.07829,0.07538,0.07538,1404.6
64,2019-09-11,0.07538,0.07538,0.07105,0.07105,90.0
65,2019-09-12,0.07105,0.07105,0.07105,0.07105,0.0
66,2019-09-13,0.07105,0.07105,0.07105,0.07105,0.0
67,2019-09-14,0.07105,0.07105,0.06988,0.07105,1038.3
