,Date,Open,High,Low,Close,Volume
0,2018-07-30 14:00:00,8.99,8.99,8.99,8.99,0.0
1,2018-08-08 04:00:00,8.99,8.99,8.99,8.99,0.0
2,2018-08-10 10:00:00,7.99,7.99,7.99,7.99,0.0
3,2018-09-08 23:00:00,8.06,8.06,8.06,8.06,0.0
4,2018-09-21 01:00:00,7.8,7.8,7.8,7.8,0.0
5,2018-09-26 00:00:00,8.397,9.0,8.397,9.0,30.04
6,2018-10-07 00:00:00,9.199,9.199,9.199,9.199,0.0
7,2018-10-07 14:00:00,9.199,9.199,8.58,8.58,0.93
8,2018-10-10 00:00:00,8.998,8.998,8.998,8.998,0.0
9,2018-10-10 15:00:00,8.998,8.998,8.998,8.998,0.0
10,2018-10-10 17:00:00,8.998,8.998,8.998,8.998,0.0
11,2018-10-23 16:00:00,8.59,8.59,8.59,8.59,0.0
12,2018-10-28 10:00:00,8.3,8.3,8.3,8.3,1.2
13,2018-11-08 01:00:00,8.438,8.438,8.438,8.438,0.0
14,2018-11-13 02:00:00,8.329,8.329,8.329,8.329,0.0
15,2018-11-30 19:00:00,2.8552,2.8826,2.8552,2.8569,1.5
16,2018-12-07 20:00:00,1.6985,1.7274,1.6985,1.7274,37.9
17,2018-12-10 05:00:00,1.94,1.9747,1.94,1.9747,200.0
18,2018-12-12 22:00:00,1.9677,1.9677,1.9527,1.9527,103.0
19,2018-12-16 19:00:00,1.9066,1.95,1.9066,1.95,44.44
20,2018-12-23 19:00:00,2.7627,2.7627,2.7627,2.7627,0.0
21,2019-01-08 21:00:00,2.7361,2.7434,2.7361,2.7434,3.65
22,2019-01-12 06:00:00,2.5,2.73,2.498,2.73,53.28
23,2019-01-28 11:00:00,2.2904,2.2904,2.2775,2.2775,1.0
24,2019-01-30 00:00:00,2.272,2.272,2.26,2.26,0.68
25,2019-02-12 12:00:00,2.7817,2.8,2.7817,2.8,93.91
26,2019-02-13 17:00:00,2.8359,2.8359,2.8359,2.8359,0.0
27,2019-02-27 04:00:00,3.4215,3.4215,3.4215,3.4215,0.0
28,2019-03-02 23:00:00,3.4595,3.4595,3.4595,3.4595,0.0
29,2019-03-19 20:00:00,3.7027,3.7107,3.7013,3.7107,13.5
30,2019-04-03 18:00:00,5.4175,5.489,5.4175,5.489,72.96
31,2019-04-19 23:00:00,5.452,5.452,5.452,5.452,0.0
32,2019-04-25 02:00:00,4.8095,4.8095,4.8095,4.8095,0.0
33,2019-05-13 22:00:00,5.64,5.75,5.5865,5.5865,34.69
34,2019-06-02 20:00:00,7.5004,7.6105,7.5004,7.6105,6.97
35,2019-06-07 22:00:00,6.5875,6.5875,6.5875,6.5875,0.0
36,2019-06-16 17:00:00,7.0206,7.0206,6.9588,6.9588,0.99
37,2019-06-22 02:00:00,7.17,7.3545,7.17,7.3545,35.85
38,2019-07-02 11:00:00,5.8567,5.8567,5.6712,5.8276,5.68
39,2019-07-03 23:00:00,5.97,5.97,5.97,5.97,0.0
40,2019-07-05 00:00:00,5.7,5.7,5.7,5.7,0.0
41,2019-07-15 05:00:00,4.2715,4.2715,4.2715,4.2715,0.0
42,2019-07-29 15:00:00,4.2185,4.2185,4.2185,4.2185,0.0
43,2019-07-29 19:00:00,4.1779,4.1779,4.1779,4.1779,0.0
44,2019-07-30 14:00:00,4.2016,4.2016,4.1857,4.1857,17.1
45,2019-07-31 06:00:00,4.2525,4.2525,4.2525,4.2525,0.0
46,2019-07-31 18:00:00,4.2805,4.29,4.2805,4.29,6.23
47,2019-08-11 15:00:00,4.1601,4.1601,4.1601,4.1601,0.0
48,2019-08-30 23:00:00,3.2107,3.2107,3.2107,3.2107,0.0
49,2019-09-01 10:00:00,3.3284,3.3284,3.3284,3.3284,0.0
50,2019-09-07 08:00:00,3.2567,3.2567,3.2141,3.2141,4.77
51,2019-09-08 01:00:00,3.5597,3.5597,3.5597,3.5597,0.0
52,2019-09-24 18:00:00,3.3327,3.3449,3.21,3.21,34.29
53,2019-09-27 07:00:00,2.7463,2.7463,2.7463,2.7463,0.0
54,2019-10-07 00:00:00,2.903,2.903,2.903,2.903,0.0
55,2019-10-29 07:00:00,3.4005,3.4108,3.396,3.4108,141.0
56,2019-10-29 17:00:00,3.4173,3.4173,3.3441,3.3441,13.09
57,2019-11-09 06:00:00,3.4313,3.4313,3.4313,3.4313,0.0
58,2019-11-13 14:00:00,3.4827,3.4827,3.4598,3.4598,4.35
59,2019-12-03 12:00:00,2.6703,2.6703,2.6703,2.6703,0.0
60,2019-12-03 20:00:00,2.7118,2.7118,2.7118,2.7118,0.0
61,2019-12-04 04:00:00,2.5995,2.5995,2.5995,2.5995,0.0
62,2020-01-08 04:00:00,2.9327,2.9327,2.8969,2.8969,381.36
