,Date,Open,High,Low,Close,Volume
0,2018-08,9.298,9.299,5.4,8.5,292.24
1,2018-09,8.5,19.11,5.6,9.588,724.57
2,2018-10,9.9,9.9,6.35,8.45,428.92
3,2018-11,8.4,8.583,2.7773,2.8552,7094.119999999999
4,2018-12,2.8415,3.0308,1.54,2.5711,39420.74
5,2019-01,2.543,2.9467,2.0,2.3132,22038.180000000004
6,2019-02,2.3002,4.4554,2.2848,3.5127,20548.019999999997
7,2019-03,3.5316,4.3626,3.1584,4.1099,16361.550000000001
8,2019-04,4.205,5.9505,4.1583,4.6895,25881.73
9,2019-05,4.8239,8.5621,4.6594,7.4278,31850.059999999998
10,2019-06,8.2008,8.559,5.7,5.855,40062.99
11,2019-07,5.9101,6.066,3.4328,4.2127,24462.99
12,2019-08,4.3,4.5434,3.09,3.2012,12215.62
13,2019-09,3.3284,4.1817,2.6203,2.7367,27457.62
14,2019-10,3.0292,3.5,2.6,3.23,27539.160000000003
15,2019-11,3.277,3.6657,2.2921,2.7612,18106.78
16,2019-12,2.696,2.85,2.1934,2.6242,10523.300000000001
17,2020-01,2.6295,4.38,2.4503,4.3347,34396.56
18,2020-02,4.109,5.4492,1.8,3.6604,26690.99
19,2020-03,3.5831,4.29,1.5763,2.2138,45009.18
20,2020-04,2.2097,3.103,2.1499,3.0407,63101.44999999999
21,2020-05,2.829,3.0049,2.3,2.7663,55456.8
22,2020-06,2.7145,2.9,2.2531,2.3652,44784.24
23,2020-07,2.3884,3.1349,2.3308,3.1095,53115.73
24,2020-08,3.154,3.919,2.6619,3.3001,113735.48000000003
25,2020-09,3.2139,3.544,2.421,2.5954,42464.159999999996
26,2020-10,2.5426,2.9534,2.4259,2.5337,56659.42999999999
27,2020-11,2.502,3.8536,2.271,3.0979,105646.93349999998
28,2020-12,3.29,3.3359,2.005,2.62,131722.13
29,2021-01,2.6212,3.9139,2.4,2.8802,791531.5
30,2021-02,3.2043,5.5981,2.8746,3.548,1115094.34
31,2021-03,3.6276,4.8581,3.4703,4.3288,624062.34
32,2021-04,4.8163,8.8,4.15,6.1814,753322.65
33,2021-05,6.52,14.8396,3.5818,6.2796,1017724.6599999999
34,2021-06,6.5389,6.735,3.0,4.0268,206611.81
35,2021-07,4.064,4.4001,3.1623,4.0543,229824.36
36,2021-08,4.0875,5.9074,3.8897,5.008,261199.74000000002
37,2021-09,4.991,6.41,3.658,3.884,310014.54
38,2021-10,4.186,5.085,3.896,4.559,208996.52
