,Date,Open,High,Low,Close,Volume
0,2019-07-10 00:00:00,7.8602,7.8602,7.8602,7.8602,0.0
1,2019-07-16 19:00:00,5.353,5.353,5.353,5.353,0.0
2,2019-07-24 21:00:00,5.9496,5.9496,5.9496,5.9496,0.0
3,2019-07-29 05:00:00,5.9981,5.9981,5.9981,5.9981,0.0
4,2019-08-05 14:00:00,6.2814,6.2814,6.2814,6.2814,0.0
5,2019-08-16 10:00:00,5.5,5.5,5.5,5.5,0.0
6,2019-08-26 10:00:00,7.3716,7.3716,7.3069,7.3069,12.0
7,2019-08-26 16:00:00,7.3185,7.3185,7.2584,7.2584,0.57
8,2019-09-25 04:00:00,4.7602,4.7602,4.7602,4.7602,0.0
9,2019-09-28 20:00:00,4.6516,4.6516,4.6516,4.6516,0.0
10,2019-10-04 09:00:00,4.5031,4.5031,4.5031,4.5031,0.0
11,2019-10-09 06:00:00,4.6059,4.6059,4.6059,4.6059,0.0
12,2019-10-10 13:00:00,4.9,4.9,4.8898,4.8898,3.01
13,2019-11-06 04:00:00,5.0081,5.0081,5.0081,5.0081,0.0
14,2019-11-12 10:00:00,4.92,4.92,4.92,4.92,0.0
15,2019-11-20 21:00:00,4.385,4.385,4.385,4.385,0.0
16,2019-11-21 10:00:00,4.3792,4.3792,4.3792,4.3792,0.0
17,2019-11-22 05:00:00,4.1525,4.1525,4.1525,4.1525,0.0
18,2019-11-27 15:00:00,3.7877,3.8616,3.7877,3.8616,2.5
19,2019-11-28 12:00:00,3.981,3.981,3.981,3.981,0.0
20,2019-12-18 16:00:00,3.5887,3.5887,3.5887,3.5887,0.0
21,2019-12-19 02:00:00,3.5887,3.5887,3.5887,3.5887,0.0
22,2019-12-19 07:00:00,3.5887,3.5887,3.5887,3.5887,0.0
23,2019-12-21 06:00:00,4.0374,4.0374,4.0374,4.0374,0.0
24,2019-12-26 12:00:00,3.982,4.0781,3.982,4.0781,7.89
25,2020-01-05 05:00:00,4.85,4.85,4.85,4.85,0.0
26,2020-01-08 11:00:00,4.9286,4.9286,4.9286,4.9286,0.0
27,2020-02-05 06:00:00,11.6471,11.6471,11.5362,11.5362,42.72
28,2020-02-19 19:00:00,9.75,9.75,9.75,9.75,0.0
29,2020-03-08 20:00:00,6.69,6.7075,6.68,6.68,15.86
30,2020-03-13 13:00:00,4.1815,4.9327,4.1815,4.9316,38.83
31,2020-03-21 18:00:00,4.8826,4.9267,4.8826,4.9267,0.59
32,2020-03-29 22:00:00,4.9798,4.9798,4.8914,4.8914,114.45
33,2020-04-15 04:00:00,5.2761,5.2761,5.2761,5.2761,0.0
