,Date,Open,High,Low,Close,Volume
0,2018-07-24 10:00:00,440.01,470.7,440.01,470.7,0.334
1,2018-07-25 19:00:00,470.64,470.64,470.64,470.64,0.091
2,2018-07-28 09:00:00,473.16,473.16,473.16,473.16,0.001
3,2018-08-03 00:00:00,407.61,407.61,407.61,407.61,0.0
4,2018-08-05 16:00:00,408.28,408.28,408.28,408.28,0.0
5,2018-08-10 17:00:00,360.22,360.22,357.13,358.72,2.421
6,2018-08-14 17:00:00,258.89,260.14,258.48,258.52,1.79
7,2018-08-23 01:00:00,275.98,275.98,275.98,275.98,0.1
8,2018-09-02 15:00:00,289.5,299.0,289.5,299.0,1.507
9,2018-09-04 16:00:00,291.0,291.0,288.0,288.0,0.446
10,2018-09-13 05:00:00,189.0,192.0,186.0,188.0,9.807
11,2018-09-16 17:00:00,218.0,218.0,217.0,217.0,2.643
12,2018-10-01 07:00:00,232.35,232.37,230.12,231.44,2.524
13,2018-10-08 14:00:00,229.79,229.79,228.68,229.5,3.703
14,2018-10-27 02:00:00,205.71,205.71,204.68,204.7,1.114
15,2018-11-17 21:00:00,176.0,176.0,176.0,176.0,0.0
16,2018-11-26 09:00:00,115.71,116.68,115.31,115.61,20.645
17,2018-12-28 06:00:00,113.79,113.79,112.59,112.93,7.111
18,2019-01-13 04:00:00,123.73,123.95,122.98,123.81,3.213
19,2019-01-18 04:00:00,121.1,121.1,120.48,120.48,30.491
20,2019-02-05 21:00:00,106.76,107.71,106.76,107.71,0.889
21,2019-02-18 16:00:00,143.9,147.9,142.54,144.55,23.026
22,2019-03-04 13:00:00,124.92,125.0,124.0,124.73,10.041
23,2019-03-07 01:00:00,137.73,137.8,137.42,137.8,17.463
24,2019-03-10 02:00:00,136.83,136.83,136.23,136.23,1.373
25,2019-03-10 23:00:00,135.96,135.96,135.96,135.96,0.0
26,2019-03-11 18:00:00,132.9,133.0,132.6,132.6,8.173
27,2019-03-12 20:00:00,131.99,132.9,131.99,132.9,1.0
28,2019-03-14 03:00:00,132.0,132.34,131.5,132.32,1.632
29,2019-03-16 02:00:00,138.64,139.23,138.64,138.75,5.32
30,2019-04-11 18:00:00,164.99,165.0,164.05,165.0,12.438
31,2019-04-12 12:00:00,164.53,165.67,164.53,164.94,20.818
32,2019-04-21 04:00:00,172.98,172.98,172.1,172.1,9.599
33,2019-05-14 22:00:00,207.5,215.46,207.5,215.46,40.244
34,2019-05-29 23:00:00,270.58,270.58,267.21,267.96,21.211
35,2019-06-30 12:00:00,304.0,307.37,304.0,306.25,11.385
36,2019-08-27 12:00:00,186.47,186.47,185.08,185.12,1.57
37,2019-09-15 14:00:00,188.1,188.1,186.95,186.95,2.575
38,2019-09-18 16:00:00,213.11,213.73,213.11,213.46,18.273
39,2019-09-26 19:00:00,164.4,164.89,163.32,164.89,13.866
40,2019-10-03 15:00:00,171.0,173.0,171.0,172.58,3.684
41,2019-10-08 14:00:00,179.98,179.98,178.66,178.86,35.105
42,2019-10-13 03:00:00,182.25,182.25,181.58,181.75,0.58
