,Date,Open,High,Low,Close,Volume
0,2021-05-05 22:00:00,13.091,13.147,12.801,13.0,153.44
1,2021-05-09 10:00:00,11.597,11.597,11.033,11.1,465.91
2,2021-05-16 02:00:00,9.64,9.64,9.244,9.272,6.69
3,2021-05-16 19:00:00,9.162,9.303,9.105,9.105,735.03
4,2021-05-18 08:00:00,8.445,8.99,8.445,8.503,20.89
5,2021-06-08 04:00:00,4.51,4.8,4.51,4.512,22.43
6,2021-07-11 11:00:00,2.6,2.62,2.6,2.62,10.05
7,2021-07-19 02:00:00,2.302,2.302,2.2,2.2,115.71
8,2021-07-25 00:00:00,2.698,2.85,2.673,2.712,1250.35
9,2021-07-25 13:00:00,2.721,2.778,2.525,2.76,2570.07
10,2021-07-27 23:00:00,2.733,2.733,2.733,2.733,0.0
11,2021-07-28 08:00:00,2.777,2.777,2.777,2.777,0.0
12,2021-07-30 05:00:00,2.86,2.899,2.79,2.889,20.44
13,2021-08-03 20:00:00,2.6,2.6,2.6,2.6,0.0
14,2021-08-27 03:00:00,6.209,6.209,6.001,6.107,208.2
15,2021-09-06 15:00:00,6.518,7.069,6.518,7.0,8688.02
16,2021-09-23 07:00:00,4.969,4.969,4.751,4.85,35.29
17,2021-09-25 02:00:00,4.414,4.414,4.414,4.414,0.0
18,2021-10-07 06:00:00,4.938,5.108,4.938,5.004,345.75
19,2021-10-08 17:00:00,5.249,5.38,5.165,5.193,5334.43
20,2021-10-09 21:00:00,5.2,5.2,5.2,5.2,0.0
21,2021-10-15 07:00:00,4.943,4.954,4.943,4.954,30.97
22,2021-10-28 15:00:00,4.737,4.85,4.737,4.85,185.52
23,2021-11-09 18:00:00,4.54,4.57,4.535,4.57,83.43
24,2021-11-11 23:00:00,4.433,4.615,4.433,4.502,81.87
25,2021-05-03 07:00:00,15.89,16.029,15.875,15.875,234.23
26,2021-05-13 11:00:00,8.955,9.118,8.944,8.955,105.7
27,2021-05-14 06:00:00,10.0,10.0,9.668,9.668,91.65
28,2021-05-31 00:00:00,5.522,5.522,5.522,5.522,0.0
29,2021-06-09 12:00:00,4.77,4.77,4.77,4.77,0.0
30,2021-06-10 12:00:00,4.774,4.9,4.7,4.713,84.28
31,2021-07-06 12:00:00,2.628,2.707,2.628,2.629,5.51
32,2021-07-11 04:00:00,2.575,2.575,2.562,2.562,15.0
33,2021-07-13 02:00:00,2.636,2.68,2.636,2.68,134.01
34,2021-07-21 01:00:00,1.906,1.906,1.82,1.82,1.35
35,2021-07-27 12:00:00,2.754,2.829,2.754,2.829,3.54
36,2021-08-09 05:00:00,4.29,4.4,4.208,4.391,4364.87
37,2021-08-31 19:00:00,6.839,6.867,6.592,6.639,2641.33
38,2021-09-01 03:00:00,6.31,6.428,6.31,6.425,25.86
39,2021-09-02 09:00:00,6.61,6.683,6.51,6.626,1073.29
40,2021-09-04 16:00:00,6.588,6.607,6.588,6.607,45.45
41,2021-09-27 11:00:00,4.6,4.66,4.6,4.66,64.79
42,2021-09-28 05:00:00,4.274,4.336,4.135,4.135,99.17
43,2021-09-29 11:00:00,4.228,4.384,4.228,4.38,15.04
44,2021-09-29 20:00:00,4.233,4.233,4.179,4.179,4.25
45,2021-10-07 11:00:00,5.073,5.169,4.998,5.06,117.75
46,2021-10-14 19:00:00,5.09,5.1,5.031,5.031,57.97
47,2021-05-10 21:00:00,9.306,9.9,9.306,9.7,809.04
48,2021-05-22 11:00:00,5.626,5.649,5.5,5.5,117.01
49,2021-05-28 01:00:00,5.953,6.339,5.757,5.802,283.6
50,2021-06-27 01:00:00,2.704,2.749,2.701,2.744,354.64
51,2021-07-04 23:00:00,2.651,2.651,2.651,2.651,0.0
52,2021-07-11 22:00:00,2.738,2.738,2.738,2.738,0.0
53,2021-07-13 06:00:00,2.669,2.669,2.669,2.669,0.0
54,2021-07-13 11:00:00,2.747,2.747,2.747,2.747,0.0
55,2021-07-14 09:00:00,2.583,2.583,2.549,2.55,166.37
56,2021-07-15 04:00:00,2.594,2.74,2.516,2.518,1214.38
57,2021-07-17 10:00:00,2.25,2.352,2.2,2.225,185.07
58,2021-07-20 08:00:00,1.942,1.956,1.864,1.938,95.64
59,2021-08-05 11:00:00,2.513,2.593,2.513,2.52,24.98
60,2021-08-10 16:00:00,4.027,4.033,3.801,3.904,1340.76
61,2021-08-12 11:00:00,7.266,7.266,7.02,7.04,933.34
62,2021-08-23 16:00:00,7.133,7.134,7.0,7.012,155.19
63,2021-08-30 14:00:00,6.348,6.493,6.277,6.379,1303.06
64,2021-09-02 03:00:00,6.683,6.709,6.559,6.709,93.28
65,2021-09-06 03:00:00,6.641,6.705,6.61,6.613,190.84
66,2021-09-10 19:00:00,5.813,5.815,5.657,5.784,986.41
67,2021-09-14 23:00:00,5.301,5.344,5.301,5.344,2.13
68,2021-09-23 15:00:00,5.195,5.195,4.985,4.985,1.51
69,2021-09-26 21:00:00,4.54,4.54,4.54,4.54,0.0
70,2021-09-29 17:00:00,4.231,4.3,4.231,4.3,2.77
71,2021-10-07 07:00:00,5.004,5.098,5.004,5.097,326.71
72,2021-10-13 13:00:00,4.827,4.84,4.827,4.84,14.27
73,2021-10-18 14:00:00,5.199,5.329,5.199,5.199,544.93
74,2021-11-11 04:00:00,4.202,4.306,4.202,4.306,35.39
