,Date,Open,High,Low,Close,Volume
0,2019-03,0.4148,0.474,0.1634,0.2001,1054162.0
1,2019-04,0.201,0.2445,0.1293,0.1378,438763.0
2,2019-05,0.136,0.3381,0.0963,0.1688,3155730.0
3,2019-06,0.1964,0.2546,0.1434,0.1743,3872098.0
4,2019-07,0.152,0.1636,0.0855,0.0923,2231764.0
5,2019-08,0.0869,0.0908,0.0492,0.0513,1896177.0
6,2019-09,0.0511,0.063,0.032,0.0344,1318703.0
7,2019-10,0.0339,0.0523,0.0339,0.0393,1610940.0
8,2019-11,0.038,0.0628,0.0302,0.0587,1346873.0
9,2019-12,0.055,0.0721,0.0378,0.0397,3083117.0
10,2020-01,0.0382,0.042,0.0357,0.0385,2117134.0
11,2020-02,0.0387,0.056,0.0311,0.0335,1537408.0
12,2020-03,0.0329,0.0395,0.0076,0.0141,12726566.0
13,2020-04,0.0136,0.0222,0.0133,0.0222,32128040.0
14,2020-05,0.021,0.0258,0.016,0.0226,32241343.0
15,2020-06,0.0224,0.033,0.022,0.0271,15569625.0
16,2020-07,0.0275,0.0818,0.0273,0.0755,20154578.0
17,2020-08,0.0762,0.1894,0.068,0.1143,26834487.0
18,2020-09,0.1158,0.118,0.0466,0.0724,7816048.0
19,2020-10,0.0682,0.0709,0.0431,0.0454,9899351.0
20,2020-11,0.0452,0.068,0.0369,0.0513,14889005.125599999
21,2020-12,0.0508,0.0643,0.0442,0.0514,8960070.0
22,2021-01,0.0549,0.1193,0.0505,0.0994,11733632.0
23,2021-02,0.1044,0.3268,0.0956,0.2699,6286057.0
24,2021-03,0.254,0.8764,0.2472,0.7695,3815969.0
25,2021-04,0.7442,0.769,0.333,0.5719,3685557.0
26,2021-05,0.6831,0.6995,0.1719,0.3193,3002782.0
27,2021-06,0.3314,0.4764,0.151,0.2243,1997334.0
28,2021-07,0.2223,0.425,0.1952,0.3724,2841588.0
29,2021-08,0.4133,0.7255,0.3626,0.6559,2062238.0
30,2021-09,0.696,1.1965,0.58,0.7352,2956544.0
31,2021-10,0.7776,0.95,0.6767,0.7825,1594078.0
