,Date,Open,High,Low,Close,Volume
0,2020-11,30.6914,34.6546,27.4468,30.1971,1565.16
1,2020-12,30.2838,32.5215,20.016,21.7904,2719.2200000000003
2,2021-01,23.1778,26.6,20.9227,22.3573,8919.620000000003
3,2021-02,22.2203,52.4889,22.0569,36.2177,11271.690000000004
4,2021-03,37.99,240.0,35.9948,152.6192,37591.44
5,2021-04,217.0,236.8,129.6635,161.93,15347.113000000003
6,2021-05,162.6199,166.5,55.0,70.67,10800.261
7,2021-06,70.18,112.9418,35.0,59.65,9428.622
8,2021-07,57.01,112.9418,40.97,51.33,4943.317
9,2021-08,56.62,82.27,52.3,70.84,7646.008999999999
10,2021-09,77.0,121.021,50.0,59.5,14725.541000000001
11,2021-10,60.52,80.32,53.0,64.15,15123.049
