,Date,Open,High,Low,Close,Volume
0,2021-08-26,24.8,24.8,21.04,21.37,265.15000000000003
1,2021-08-27,21.7,21.82,21.01,21.69,174.73
2,2021-08-28,21.8,22.27,21.22,21.85,248.47
3,2021-08-29,21.99,28.0,21.61,24.79,2537.0899999999997
4,2021-08-30,25.9,28.64,24.89,26.95,1225.52
5,2021-08-31,25.44,27.68,24.37,24.77,1110.24
6,2021-09-01,25.32,25.77,24.56,25.5,104.48999999999998
7,2021-09-02,25.28,25.52,25.05,25.52,44.910000000000004
8,2021-09-03,25.55,25.71,24.71,25.27,177.92
9,2021-09-04,25.64,26.91,25.14,25.53,138.04999999999998
10,2021-09-05,25.52,27.43,25.46,25.52,120.62000000000002
11,2021-09-06,25.43,27.06,25.26,26.31,2035.0499999999997
12,2021-09-07,25.8,26.14,19.99,24.21,866.8200000000002
13,2021-09-08,20.41,22.55,17.0,19.96,413.51
14,2021-09-09,20.21,22.12,20.21,21.59,447.21
15,2021-09-10,21.62,22.03,19.56,20.69,122.00999999999999
16,2021-09-11,20.14,20.59,19.94,20.36,81.80999999999999
17,2021-09-12,20.43,20.9,19.81,20.62,195.25
18,2021-09-13,19.55,20.43,18.92,19.42,321.21999999999997
19,2021-09-14,21.63,25.38,19.72,21.68,2162.2599999999998
20,2021-09-15,21.99,23.04,21.25,22.0,569.99
21,2021-09-16,21.06,22.1,21.06,21.06,234.29999999999998
22,2021-09-17,21.06,21.27,20.55,20.55,200.67999999999998
23,2021-09-18,20.86,21.32,20.53,21.32,149.06
24,2021-09-19,20.91,20.91,19.9,20.5,255.17000000000002
25,2021-09-20,18.87,20.21,17.1,17.52,222.42999999999998
26,2021-09-21,17.0,17.66,15.92,17.29,197.37
27,2021-09-22,17.45,18.44,15.92,17.21,568.0999999999999
28,2021-09-23,17.52,18.43,17.29,18.06,93.06
29,2021-09-24,16.39,18.43,15.68,18.43,75.10999999999999
30,2021-09-25,16.51,17.2,16.47,16.64,64.59
31,2021-09-26,16.66,16.66,15.1,16.01,60.559999999999995
32,2021-09-27,15.52,16.23,15.52,16.07,182.95999999999998
33,2021-09-28,15.74,15.75,14.86,15.52,268.02
34,2021-09-29,15.18,16.03,14.86,15.18,876.02
35,2021-09-30,15.52,15.66,15.03,15.39,260.0
36,2021-10-01,15.66,18.0,15.66,17.22,1295.03
37,2021-10-02,18.94,18.98,18.0,18.76,437.13
38,2021-10-03,18.83,18.83,18.0,18.44,994.4900000000001
39,2021-10-04,20.54,21.71,17.92,18.25,564.6900000000002
40,2021-10-05,19.48,20.7,19.0,19.72,246.27
41,2021-10-06,19.72,20.62,18.44,19.17,422.65000000000003
42,2021-10-07,17.92,19.46,15.0,18.6,1199.7199999999998
43,2021-10-08,18.52,18.82,18.15,18.16,106.69
44,2021-10-09,18.79,19.1,18.01,18.65,167.89999999999998
45,2021-10-10,18.72,19.31,18.3,18.62,78.49
46,2021-10-11,17.5,19.08,17.39,18.12,75.18
47,2021-10-12,17.25,17.5,16.52,17.28,262.75
48,2021-10-13,17.29,17.98,17.25,17.4,204.06000000000003
49,2021-10-14,17.21,18.85,17.21,18.8,280.41999999999996
50,2021-10-15,17.54,18.8,17.09,17.77,281.02000000000004
51,2021-10-16,17.19,17.62,16.34,17.25,667.7099999999999
52,2021-10-17,16.0,16.59,15.25,15.71,2525.5099999999998
53,2021-10-18,15.3,15.85,14.26,14.89,2028.45
54,2021-10-19,14.86,14.86,12.99,13.11,4767.439999999999
55,2021-10-20,12.87,14.13,12.16,12.79,7059.180000000002
56,2021-10-21,14.53,14.99,13.88,14.3,2819.22
57,2021-10-22,13.75,14.35,13.35,13.88,1352.16
58,2021-10-23,13.49,13.65,13.16,13.47,1169.5
59,2021-10-24,12.68,13.63,12.66,13.15,1404.0199999999998
60,2021-10-25,13.41,13.64,13.14,13.41,1023.4200000000001
61,2021-10-26,13.44,13.62,13.19,13.58,1188.73
62,2021-10-27,11.9,13.41,11.8,12.4,2011.78
63,2021-10-28,12.22,13.55,11.73,11.8,1140.8199999999997
64,2021-10-29,12.56,14.1,12.01,13.97,1658.74
65,2021-10-30,13.7,14.95,13.05,14.89,1257.4400000000003
66,2021-10-31,13.77,16.9,13.5,14.0,1510.43
67,2021-11-01,13.82,14.15,13.4,13.82,616.4500000000002
68,2021-11-02,13.87,14.6,13.8,13.81,816.7999999999998
69,2021-11-03,13.67,14.46,13.6,14.0,730.74
70,2021-11-04,13.79,14.07,13.65,13.75,451.65000000000003
71,2021-11-05,14.41,14.45,13.65,14.15,930.7400000000001
72,2021-11-06,13.5,14.0,13.37,13.96,537.7
73,2021-11-07,13.58,13.92,13.58,13.8,418.78
74,2021-11-08,13.97,14.02,13.5,13.67,582.0400000000001
75,2021-11-09,13.75,14.06,13.6,13.6,531.26
76,2021-11-10,13.62,13.87,13.21,13.21,603.92
77,2021-11-11,13.2,13.3,12.68,13.05,284.64
