,Date,Open,High,Low,Close,Volume
0,2020-12-08,0.3742,0.514,0.358,0.4105,266505.02999999997
1,2020-12-09,0.4572,0.4838,0.387,0.406,5703469.239999999
2,2020-12-10,0.435,0.4855,0.3965,0.4225,4358804.149999999
3,2020-12-11,0.4034,0.4209,0.3441,0.3931,61265.61
4,2020-12-12,0.3605,0.393,0.3411,0.393,56448.450000000004
5,2020-12-13,0.3656,0.4268,0.36,0.3603,85226.52
6,2020-12-14,0.393,0.4177,0.357,0.3885,47871.18000000001
7,2020-12-15,0.3679,0.374,0.3416,0.3416,70080.22000000002
8,2020-12-16,0.3739,0.3759,0.3428,0.3739,66396.65000000001
9,2020-12-17,0.3401,0.362,0.3376,0.3475,46552.670000000006
10,2020-12-18,0.3217,0.3399,0.315,0.327,63459.529999999984
11,2020-12-19,0.3201,0.339,0.318,0.32,74989.09
12,2020-12-20,0.32,0.3335,0.313,0.3206,25422.260000000002
13,2020-12-21,0.2912,0.34,0.2857,0.3149,39629.619999999995
14,2020-12-22,0.3373,0.342,0.2901,0.31,16727.430000000004
15,2020-12-23,0.2926,0.3229,0.2637,0.2834,24550.03
16,2020-12-24,0.2766,0.2945,0.2648,0.2944,14019.200000000003
17,2020-12-25,0.2918,0.31,0.2682,0.2969,8173.69
18,2020-12-26,0.2873,0.2873,0.2638,0.2873,3119.999999999999
19,2020-12-27,0.2696,0.2874,0.265,0.2654,2455.29
20,2020-12-28,0.2809,0.3098,0.2719,0.2769,7335.28
21,2020-12-29,0.2737,0.2929,0.2508,0.2744,21088.309999999998
22,2020-12-30,0.2569,0.2715,0.253,0.2637,4654.55
23,2020-12-31,0.259,0.2604,0.2457,0.2604,10835.29
24,2021-01-01,0.2717,0.2789,0.26,0.2681,5499.79
25,2021-01-02,0.278,0.305,0.273,0.2731,11855.459999999997
26,2021-01-03,0.3178,0.322,0.2743,0.3029,16305.94
27,2021-01-04,0.334,0.3575,0.3145,0.3372,20520.730000000003
28,2021-01-05,0.349,0.3573,0.3319,0.349,8713.380000000003
29,2021-01-06,0.3308,0.349,0.3112,0.349,2924.18
30,2021-01-07,0.3299,0.3439,0.3189,0.3299,13425.810000000001
31,2021-01-08,0.325,0.398,0.32,0.3334,40832.200000000004
32,2021-01-09,0.3563,0.375,0.338,0.373,16223.08
33,2021-01-10,0.3776,0.3776,0.34,0.3644,8956.010000000002
34,2021-01-11,0.2926,0.3411,0.29,0.2983,4935.570000000001
35,2021-01-12,0.3207,0.4831,0.2926,0.4236,40444.049999999996
36,2021-01-13,0.4497,0.4865,0.3819,0.4482,37429.61
37,2021-01-14,0.4547,0.4911,0.4452,0.4528,20916.349999999995
38,2021-01-15,0.5,0.53,0.44,0.4988,12683.310000000001
39,2021-01-16,0.5062,0.5192,0.4915,0.5062,8053.72
40,2021-01-17,0.4908,0.5271,0.4893,0.4908,5942.93
41,2021-01-18,0.563,0.6352,0.4999,0.5653,8951.73
42,2021-01-19,0.631,0.66,0.5915,0.5971,14437.23
43,2021-01-20,0.6313,0.673,0.5682,0.5851,3672.59
44,2021-01-21,0.66,0.6894,0.5999,0.6277,2265.66
45,2021-01-22,0.609,0.6711,0.5592,0.6532,6115.33
46,2021-01-23,0.6642,0.6691,0.6407,0.6669,933.1999999999999
47,2021-01-24,0.7138,6.0,0.642,0.6675,62808.85
48,2021-01-25,0.769,0.7968,0.6715,0.6917,23676.75
49,2021-01-26,0.6264,0.6952,0.5914,0.6091,20235.300000000003
50,2021-01-27,0.606,0.6218,0.5425,0.6107,12990.760000000002
51,2021-01-28,0.6276,0.7399,0.5978,0.6885,18480.170000000002
52,2021-01-29,0.6723,0.7,0.6423,0.6655,9849.649999999998
53,2021-01-30,0.6823,0.712,0.6648,0.6938,17531.050000000003
54,2021-01-31,0.6915,0.7379,0.6467,0.6915,10023.889999999998
55,2021-02-01,0.695,0.75,0.6606,0.6949,3210.59
56,2021-02-02,0.7085,0.7456,0.698,0.711,6301.14
57,2021-02-03,0.75,0.75,0.695,0.75,1745.5499999999997
58,2021-02-04,0.715,0.78,0.7,0.7203,6064.829999999997
59,2021-02-05,0.702,0.82,0.702,0.8197,9973.070000000002
60,2021-02-06,0.8369,0.8837,0.777,0.8,9770.789999999999
61,2021-02-07,0.7516,0.8368,0.7384,0.7674,3677.0600000000004
62,2021-02-08,0.7967,0.7969,0.728,0.7609,2189.8799999999997
63,2021-02-09,1.09,2.0,0.7968,1.0984,57965.719999999994
64,2021-02-10,1.0628,1.6699,0.8951,1.0217,62814.579999999994
65,2021-02-11,1.1433,1.145,0.9655,1.1433,20176.56
66,2021-02-12,1.1394,1.1448,1.04,1.1397,8955.97
67,2021-02-13,1.322,1.3799,1.0706,1.0855,21933.87
68,2021-02-14,1.1456,1.3225,1.101,1.1485,10517.710000000001
69,2021-02-15,1.1502,1.2143,1.0081,1.158,6270.98
70,2021-02-16,1.18,2.1,1.12,2.1,121170.56000000001
71,2021-02-17,2.7,8.8,1.704,2.3159,473128.38
72,2021-02-18,3.8889,5.9,3.278,4.8299,204759.49999999997
73,2021-02-19,3.69,4.37,3.45,3.7369,82117.78
74,2021-02-20,3.75,3.97,3.0511,3.75,50767.479999999996
75,2021-02-21,3.5352,4.012,3.2286,3.3401,49621.41
76,2021-02-22,3.8666,3.9733,2.98,3.7,18824.19
77,2021-02-23,2.9151,3.5385,2.22,3.4,16227.58
78,2021-02-24,3.2362,3.357,2.8401,3.2218,19147.53
79,2021-02-25,3.1501,3.2895,2.8535,2.8674,7511.7699999999995
80,2021-02-26,2.7093,3.0,2.59,2.6796,7424.059999999999
81,2021-02-27,2.67,2.966,2.5279,2.78,7304.74
82,2021-02-28,2.5817,2.736,2.4086,2.5544,3800.0199999999995
83,2021-03-01,2.7852,3.2,2.5544,2.7,21092.410000000003
84,2021-03-02,3.0,3.1669,2.65,2.9684,8420.120000000003
85,2021-03-03,2.8752,3.07,2.8,2.9591,6848.5599999999995
86,2021-03-04,2.7835,2.9367,2.5621,2.7024,18803.25
87,2021-03-05,2.5118,2.75,2.3249,2.3982,26661.48
88,2021-03-06,2.4631,2.59,2.3193,2.4074,12709.460000000001
89,2021-03-07,2.2833,2.3472,2.13,2.294,72575.47
90,2021-03-08,2.2996,2.3,2.0772,2.1953,40668.31
91,2021-03-09,2.3206,2.5,2.2193,2.4889,57912.259999999995
92,2021-03-10,2.2973,2.47,2.21,2.4003,49122.920000000006
93,2021-03-11,2.2247,2.2491,2.05,2.1502,63895.51
94,2021-03-12,2.1637,2.2432,1.9863,2.0589,68823.12000000001
95,2021-03-13,2.583,2.9,1.92,2.02,109587.32999999999
96,2021-03-14,2.9953,4.456,2.5925,3.334,237448.45
97,2021-03-15,3.31,3.5262,2.71,2.94,84138.3
98,2021-03-16,2.5503,2.95,2.3,2.4799,66938.03
99,2021-03-17,2.3822,2.6666,2.2841,2.4735,57741.64
100,2021-03-18,2.9561,3.24,2.515,2.952,124183.67999999998
101,2021-03-19,2.8616,3.052,2.8001,2.8915,36431.04
102,2021-03-20,2.9361,3.12,2.7876,2.815,40459.17
103,2021-03-21,2.6907,2.8583,2.5106,2.5777,20496.05
104,2021-03-22,2.6122,2.6585,2.339,2.3888,43979.69
105,2021-03-23,2.344,2.4395,2.2239,2.42,28575.27
106,2021-03-24,2.5354,2.87,2.3005,2.784,58543.47999999999
107,2021-03-25,2.394,2.535,2.16,2.3539,16201.43
108,2021-03-26,2.54,2.8244,2.3,2.7187,31044.880000000005
109,2021-03-27,2.7722,2.85,2.608,2.6821,25578.420000000002
110,2021-03-28,2.95,3.0089,2.8171,2.8914,36026.51
111,2021-03-29,2.9678,3.0788,2.86,2.9699,15849.46
112,2021-03-30,3.1999,3.4402,2.93,3.22,46059.289999999986
113,2021-03-31,2.94,3.3101,2.8071,2.94,25420.06
114,2021-04-01,2.8361,2.973,2.7059,2.9545,47694.31
115,2021-04-02,2.7563,2.8517,2.6253,2.7502,16689.14
116,2021-04-03,2.6899,2.7799,2.4112,2.7385,21471.700000000004
117,2021-04-04,2.5903,2.72,2.4398,2.5025,16692.16
118,2021-04-05,2.81,2.96,2.5008,2.66,46935.51000000001
119,2021-04-06,2.94,3.0666,2.7119,2.7941,30330.879999999997
120,2021-04-07,2.808,3.35,2.6223,2.855,89415.59
121,2021-04-08,3.4133,3.9897,3.0844,3.3836,78971.09
122,2021-04-09,3.25,3.5255,3.2034,3.3037,9676.17
123,2021-04-10,3.3961,3.67,3.2,3.61,11914.130000000001
124,2021-04-11,3.3534,3.5,3.1896,3.2751,6942.83
125,2021-04-12,3.4331,3.6325,3.2983,3.2983,12346.98
126,2021-04-13,3.11,3.4698,3.0,3.4363,10943.41
127,2021-04-14,3.0501,3.2094,2.8758,3.0443,15323.54
128,2021-04-15,2.9653,3.1694,2.93,3.0745,11652.14
129,2021-04-16,2.8827,3.0632,2.7578,2.8937,17731.000000000004
130,2021-04-17,2.9375,3.0334,2.8307,2.9443,7981.239999999999
131,2021-04-18,2.3439,3.0,1.5,2.9345,31135.030000000002
132,2021-04-19,2.3658,2.5999,2.17,2.5196,20951.740000000005
133,2021-04-20,2.2124,2.3015,2.0,2.0281,21567.329999999994
134,2021-04-21,2.2499,2.4811,2.1505,2.2499,9695.560000000003
135,2021-04-22,2.1,2.2808,1.934,2.2017,13134.76
136,2021-04-23,1.7652,1.9758,1.5921,1.6645,16188.119999999999
137,2021-04-24,1.74,2.0,1.6118,1.74,34019.06
138,2021-04-25,1.775,1.8192,1.6,1.6847,23327.789999999997
139,2021-04-26,1.92,2.0571,1.6054,1.9681,34090.95
140,2021-04-27,2.1825,2.2189,1.9833,2.1665,13481.32
141,2021-04-28,2.1825,2.3173,1.86,2.1953,12075.180000000002
142,2021-04-29,2.1237,3.4997,2.05,2.8845,150336.81
