,Date,Open,High,Low,Close,Volume
0,2020-12-30 13:00:00,0.2569,0.2569,0.2569,0.2569,0.0
1,2021-01-01 20:00:00,0.2717,0.273,0.2717,0.273,30.58
2,2021-01-18 04:00:00,0.563,0.6262,0.5593,0.6001,2561.01
3,2021-01-30 18:00:00,0.6823,0.6823,0.6823,0.6823,0.0
4,2021-02-09 17:00:00,1.09,1.1671,1.01,1.0503,5177.63
5,2021-02-21 12:00:00,3.5352,3.5781,3.528,3.57,827.8
6,2021-02-21 23:00:00,3.6746,3.8464,3.6746,3.8464,492.07
7,2021-02-23 15:00:00,2.9151,2.9177,2.7369,2.8277,1494.92
8,2021-02-28 10:00:00,2.5817,2.736,2.5817,2.7,27.89
9,2021-03-21 15:00:00,2.6907,2.7163,2.6478,2.6902,516.66
10,2021-03-23 03:00:00,2.344,2.344,2.3161,2.3377,2657.66
11,2021-04-05 21:00:00,2.81,2.81,2.7633,2.7633,6.8
12,2021-04-08 09:00:00,3.4133,3.4134,3.2281,3.3133,1454.64
13,2021-04-15 07:00:00,2.9653,3.0014,2.93,2.9988,1140.25
14,2021-04-17 11:00:00,2.9375,2.943,2.9116,2.9117,149.15
15,2021-04-29 01:00:00,2.1237,2.1237,2.05,2.1017,300.48
16,2021-05-01 22:00:00,2.6285,2.768,2.6,2.768,955.42
17,2021-05-02 07:00:00,2.6199,2.6334,2.5103,2.5167,640.37
18,2021-05-05 03:00:00,2.65,2.6868,2.649,2.6499,307.83
19,2021-05-15 04:00:00,2.0256,2.0705,2.0256,2.064,69.17
20,2021-05-28 09:00:00,1.1798,1.1798,1.1,1.1,39.11
21,2021-06-04 22:00:00,1.1348,1.1348,1.1348,1.1348,0.0
22,2021-06-05 05:00:00,1.15,1.1566,1.1435,1.1471,1171.07
23,2021-06-10 02:00:00,0.8992,0.8992,0.8947,0.8991,1944.12
24,2021-06-24 08:00:00,0.5378,0.5591,0.5378,0.5591,5.8
25,2021-07-14 22:00:00,0.6929,0.6929,0.6929,0.6929,0.0
26,2021-08-04 20:00:00,0.7553,0.7555,0.7553,0.7555,437.35
27,2021-08-09 02:00:00,0.9409,0.943,0.9115,0.943,1964.11
28,2021-08-21 22:00:00,1.4003,1.4003,1.3996,1.3996,169.28
29,2021-09-26 06:00:00,1.1087,1.1266,1.107,1.107,5478.51
30,2021-10-03 07:00:00,1.239,1.239,1.22,1.2379,275.28
31,2021-10-03 13:00:00,1.2212,1.2212,1.2068,1.2164,3873.8
32,2021-10-11 02:00:00,1.2366,1.2366,1.2366,1.2366,48.37
33,2021-10-13 10:00:00,1.189,1.2173,1.189,1.2,161.6
34,2021-10-25 15:00:00,1.2879,1.2879,1.2641,1.2641,664.77
35,2021-10-28 12:00:00,1.1,1.11,1.1,1.1019,898.66
36,2020-12-12 16:00:00,0.3605,0.3684,0.3605,0.3684,3399.48
37,2021-01-07 11:00:00,0.3299,0.3432,0.3299,0.3346,531.43
38,2021-01-10 05:00:00,0.3776,0.3776,0.3776,0.3776,132.17
