,Date,Open,High,Low,Close,Volume
0,2020-05-07,3.062,3.2,3.025,3.168,45992.56200000001
1,2020-05-08,3.121,3.205,3.094,3.116,763093.6510000002
2,2020-05-09,3.059,3.134,3.0,3.059,657789.864
3,2020-05-10,3.032,3.032,2.687,2.689,4457.787
4,2020-05-11,2.727,2.797,2.611,2.761,1826.0030000000002
5,2020-05-12,2.828,2.837,2.726,2.809,2267.4790000000003
6,2020-05-13,2.825,2.912,2.77,2.902,1112.728
7,2020-05-14,2.944,3.034,2.885,2.944,2080.191
8,2020-05-15,2.883,3.012,2.869,2.869,552.4639999999999
9,2020-05-16,2.896,2.947,2.869,2.933,120.947
10,2020-05-17,2.949,3.035,2.896,3.035,1457.36
11,2020-05-18,3.002,3.056,2.99,3.017,432.774
12,2020-05-19,3.013,3.056,3.002,3.013,936.1569999999999
13,2020-05-20,3.038,3.046,2.954,2.954,221.895
14,2020-05-21,2.904,2.954,2.85,2.953,133.625
15,2020-05-22,2.858,2.889,2.798,2.809,133.634
16,2020-05-23,2.896,2.896,2.847,2.879,276.369
17,2020-05-24,2.866,2.895,2.78,2.86,206.929
18,2020-05-25,2.755,2.794,2.727,2.753,506.791
19,2020-05-26,2.792,2.817,2.792,2.799,1346.7569999999998
20,2020-05-27,2.814,2.854,2.813,2.854,244.00400000000002
21,2020-05-28,2.854,2.95,2.841,2.906,2526.3640000000005
22,2020-05-29,2.934,2.964,2.906,2.964,224.93200000000002
23,2020-05-30,3.01,3.037,2.934,2.934,344.29299999999995
24,2020-05-31,3.029,3.04,2.933,3.04,183.752
25,2020-06-01,3.008,3.15,2.933,2.933,561.5889999999999
26,2020-06-02,3.113,3.15,2.894,2.894,216.098
27,2020-06-03,2.922,2.955,2.894,2.93,59.743
28,2020-06-04,2.985,3.005,2.943,2.984,18.567999999999998
29,2020-06-05,3.024,3.024,2.964,2.994,87.06899999999999
30,2020-06-06,2.959,3.001,2.959,2.959,1125.273
31,2020-06-07,2.887,2.972,2.887,2.972,17.603
32,2020-06-08,2.971,2.981,2.967,2.971,336.98400000000004
33,2020-06-09,2.97,2.986,2.966,2.968,395.305
34,2020-06-10,2.996,2.999,2.986,2.999,15.574000000000002
35,2020-06-11,2.985,2.999,2.802,2.831,4847.817
36,2020-06-12,2.869,2.881,2.825,2.873,39939.848
37,2020-06-13,2.874,2.888,2.849,2.864,113818.082
38,2020-06-14,2.873,2.889,2.828,2.873,99729.65699999999
39,2020-06-15,2.889,3.054,2.788,2.889,70045.369
40,2020-06-16,3.041,3.067,2.979,3.005,108.34100000000001
41,2020-06-17,3.004,3.004,2.951,2.98,1809.215
42,2020-06-18,2.996,3.042,2.996,3.025,112.828
43,2020-06-19,3.013,3.013,2.989,3.013,183.031
44,2020-06-20,2.993,3.013,2.993,2.993,2.171
45,2020-06-21,2.977,2.994,2.971,2.977,177.691
46,2020-06-22,2.995,3.051,2.971,2.994,160.95
47,2020-06-23,3.051,3.051,3.03,3.039,337.61600000000004
48,2020-06-24,3.039,3.068,3.039,3.039,4.295999999999999
49,2020-06-25,2.928,3.039,2.871,2.928,25.328000000000003
50,2020-06-26,2.916,2.958,2.916,2.916,67.409
51,2020-06-27,2.933,2.933,2.91,2.933,9.19
52,2020-06-28,2.847,2.933,2.837,2.847,51.605
53,2020-06-29,2.875,2.875,2.848,2.875,2.26
54,2020-06-30,2.872,2.893,2.872,2.887,77.262
55,2020-07-01,2.925,2.925,2.868,2.868,50.277
56,2020-07-02,2.925,2.926,2.866,2.926,76.045
57,2020-07-03,2.863,2.883,2.863,2.87,40.634
58,2020-07-04,2.857,2.876,2.846,2.859,14.407
59,2020-07-05,2.879,2.879,2.857,2.857,44.727999999999994
60,2020-07-06,2.857,2.943,2.857,2.943,135.09199999999998
61,2020-07-07,2.943,2.985,2.943,2.968,27.394000000000002
62,2020-07-08,3.014,3.079,2.985,3.06,128182.93800000001
63,2020-07-09,3.043,3.072,2.965,3.049,49342.39
64,2020-07-10,2.984,2.996,2.976,2.984,35.527
65,2020-07-11,3.051,3.057,2.984,3.057,50.472
66,2020-07-12,3.117,3.117,3.057,3.057,77.63499999999999
67,2020-07-13,3.076,3.149,3.076,3.149,154.10399999999998
68,2020-07-14,3.144,3.144,3.088,3.089,168.299
69,2020-07-15,3.073,3.1,3.047,3.1,28.573999999999998
70,2020-07-16,3.049,3.049,2.943,2.969,631.951
71,2020-07-17,2.974,2.974,2.934,2.974,107.123
72,2020-07-18,2.93,2.934,2.93,2.934,1.706
73,2020-07-19,2.939,2.942,2.922,2.93,261.203
74,2020-07-20,2.922,2.941,2.907,2.922,56.087
75,2020-07-21,2.968,2.968,2.904,2.968,334.605
76,2020-07-22,2.964,2.971,2.923,2.936,905.5509999999999
77,2020-07-23,2.998,3.023,2.97,2.998,206.424
78,2020-07-24,2.954,3.01,2.954,3.01,24.239
79,2020-07-25,3.012,3.012,2.998,2.998,136.211
80,2020-07-26,3.049,3.103,3.012,3.094,78.876
81,2020-07-27,3.344,3.411,3.094,3.399,1644.658
82,2020-07-28,3.314,3.483,3.314,3.376,620.7130000000001
83,2020-07-29,3.359,3.393,3.312,3.393,150.001
84,2020-07-30,3.297,3.336,3.297,3.336,17.018
85,2020-07-31,3.366,3.405,3.336,3.366,26.319000000000003
86,2020-08-01,3.48,3.48,3.392,3.425,211.923
87,2020-08-02,3.464,3.506,3.298,3.304,881.82
88,2020-08-03,3.376,3.505,3.304,3.376,217.702
89,2020-08-04,3.472,3.598,3.361,3.472,142.821
90,2020-08-05,3.472,3.472,3.472,3.472,0.0
91,2020-08-06,3.56,3.587,3.472,3.584,52.324
92,2020-08-07,3.604,3.613,3.384,3.604,150.42299999999997
93,2020-08-08,3.4,3.487,3.393,3.393,107.084
94,2020-08-09,3.494,3.499,3.435,3.478,124.65100000000001
95,2020-08-10,3.462,3.538,3.435,3.486,573.771
96,2020-08-11,3.476,3.535,3.357,3.381,100.499
97,2020-08-12,3.352,3.389,3.265,3.289,299.08299999999997
98,2020-08-13,3.346,3.432,3.27,3.316,276.15700000000004
99,2020-08-14,3.49,3.547,3.432,3.497,80.352
100,2020-08-15,3.491,3.493,3.456,3.493,77.64599999999999
101,2020-08-16,3.456,3.456,3.36,3.36,222.43700000000004
102,2020-08-17,3.436,3.598,3.419,3.419,337.70199999999994
103,2020-08-18,3.549,3.598,3.502,3.572,114.84
104,2020-08-19,3.502,3.502,3.328,3.351,313.73900000000003
105,2020-08-20,3.403,3.403,3.329,3.403,170.902
106,2020-08-21,3.403,3.403,3.292,3.396,24.446
107,2020-08-22,3.32,3.32,3.276,3.301,42.392
108,2020-08-23,3.266,3.324,3.266,3.266,124.24600000000001
109,2020-08-24,3.324,3.437,3.324,3.428,481.579
110,2020-08-25,3.437,3.46,3.36,3.437,41.662
111,2020-08-26,3.36,3.666,3.36,3.627,909.2290000000002
112,2020-08-27,3.54,3.661,3.54,3.661,324.083
113,2020-08-28,3.615,3.805,3.588,3.723,114.109
114,2020-08-29,3.967,3.982,3.805,3.95,260.349
115,2020-08-30,4.0,4.191,3.982,4.053,245.70899999999997
116,2020-08-31,4.159,4.2,4.141,4.2,147.06900000000002
117,2020-09-01,4.386,4.413,4.2,4.4,397.951
118,2020-09-02,4.136,4.485,4.069,4.414,112.38599999999998
