,Date,Open,High,Low,Close,Volume
0,2020-05,3.062,3.205,2.611,3.04,1488469.312
1,2020-06,3.008,3.15,2.788,2.887,334343.77200000006
2,2020-07,2.925,3.483,2.846,3.366,183631.201
3,2020-08,3.48,4.2,3.265,4.2,7170.749
4,2020-09,4.386,5.907,3.401,3.584,2362.851
5,2020-10,3.612,4.02,3.35,3.728,4199.0740000000005
6,2020-11,3.664,10.0,3.392,4.507,6818.276
7,2020-12,4.64,5.771,4.138,5.733,1488.0970000000002
8,2021-01,5.822,12.763,5.747,11.451,9283.516000000001
9,2021-02,11.47,39.999,11.062,26.068,34583.165
10,2021-03,28.0,45.0,26.154,39.942,5218.443
11,2021-04,40.3,100.0,35.958,53.766,22806.935999999998
12,2021-05,55.126,76.0,23.363,33.38,13608.016
13,2021-06,33.672,37.0,19.0,26.185,9532.879
14,2021-07,27.266,35.459,23.27,34.696,16690.719999999998
15,2021-08,35.999,55.802,34.45,49.31,40553.829999999994
16,2021-09,62.97,85.0,47.1,50.37,65636.258
17,2021-10,51.94,69.5,51.16,59.999,28471.639000000006
