,Date,Open,High,Low,Close,Volume
0,2021-01-01,0.1079,0.1142,0.1052,0.1103,7186.0
1,2021-01-02,0.107,0.1088,0.103,0.1088,6354.0
2,2021-01-03,0.1029,0.1071,0.1004,0.1032,9006.0
3,2021-01-04,0.1016,0.1215,0.0985,0.1016,19229.0
4,2021-01-05,0.1072,0.1102,0.1058,0.1096,12008.0
5,2021-01-06,0.1133,0.1217,0.1096,0.1133,15542.0
6,2021-01-07,0.1348,0.1395,0.1217,0.1217,19071.0
7,2021-01-08,0.1219,0.1347,0.1178,0.1307,8438.0
8,2021-01-09,0.1214,0.1274,0.1214,0.1214,10310.0
9,2021-01-10,0.1333,0.14,0.125,0.1397,1393.0
10,2021-01-11,0.13,0.13,0.1001,0.108,14521.0
11,2021-01-12,0.1109,0.1191,0.1082,0.1082,2339.0
12,2021-01-13,0.1115,0.1188,0.1109,0.1115,1993.0
13,2021-01-14,0.1231,0.1237,0.1164,0.1196,3276.0
14,2021-01-15,0.1195,0.1231,0.1118,0.1158,2444.0
15,2021-01-16,0.1236,0.128,0.1165,0.1236,14875.0
16,2021-01-17,0.1141,0.1293,0.1141,0.1141,3705.0
17,2021-01-18,0.1248,0.1256,0.1207,0.1245,2617.0
18,2021-01-19,0.1256,0.1351,0.1256,0.1256,4029.0
19,2021-01-20,0.122,0.1313,0.122,0.128,3506.0
20,2021-01-21,0.1183,0.1278,0.1136,0.1243,21967.0
21,2021-01-22,0.1127,0.1185,0.104,0.1185,4591.0
22,2021-01-23,0.1166,0.1195,0.1124,0.1195,832.0
23,2021-01-24,0.1198,0.1206,0.1155,0.1198,6308.0
24,2021-01-25,0.121,0.121,0.1176,0.1204,6133.0
25,2021-01-26,0.1155,0.1176,0.1107,0.1176,1686.0
26,2021-01-27,0.1107,0.118,0.1058,0.1107,20211.0
27,2021-01-28,0.1206,0.13,0.1078,0.1172,59146.0
28,2021-01-29,0.1179,0.1218,0.1126,0.1139,31637.0
29,2021-01-30,0.119,0.1251,0.1148,0.1167,50063.0
30,2021-01-31,0.1149,0.1266,0.1137,0.1161,9789.0
31,2021-02-01,0.1157,0.1189,0.113,0.113,24979.0
32,2021-02-02,0.1248,0.13,0.1189,0.1205,19806.0
33,2021-02-03,0.1368,0.1376,0.1256,0.1376,16459.0
34,2021-02-04,0.1357,0.1405,0.13,0.1335,11212.0
35,2021-02-05,0.14,0.15,0.1316,0.1382,13957.0
36,2021-02-06,0.2152,0.255,0.15,0.2152,638122.0
37,2021-02-07,0.1819,0.2049,0.169,0.1809,87373.0
38,2021-02-08,0.1857,0.188,0.174,0.1819,48810.0
39,2021-02-09,0.1803,0.1859,0.1741,0.178,62252.0
40,2021-02-10,0.182,0.1881,0.1711,0.1855,30375.0
41,2021-02-11,0.1864,0.1867,0.1719,0.1824,25903.0
42,2021-02-12,0.1745,0.213,0.1743,0.1909,59988.0
43,2021-02-13,0.2095,0.23,0.174,0.22,32053.0
44,2021-02-14,0.209,0.24,0.1975,0.235,15050.0
45,2021-02-15,0.2013,0.2277,0.1802,0.201,8942.0
46,2021-02-16,0.2934,0.35,0.2014,0.2668,143041.0
47,2021-02-17,0.2423,0.2851,0.22,0.2339,51362.0
48,2021-02-18,0.2587,0.2978,0.251,0.2749,95992.0
49,2021-02-19,0.47,0.575,0.2678,0.4629,499126.0
50,2021-02-20,0.4827,0.5075,0.3818,0.4602,146539.0
51,2021-02-21,0.4261,0.45,0.408,0.4196,46702.0
52,2021-02-22,0.3708,0.4272,0.3,0.3708,40601.0
53,2021-02-23,0.31,0.4104,0.268,0.2794,57965.0
54,2021-02-24,0.327,0.438,0.3054,0.327,123472.0
55,2021-02-25,0.3801,0.4045,0.3525,0.3786,38565.0
56,2021-02-26,0.3512,0.367,0.3234,0.3283,12256.0
57,2021-02-27,0.3565,0.3599,0.3323,0.345,15208.0
58,2021-02-28,0.303,0.3406,0.2915,0.3249,8620.0
59,2021-03-01,0.3445,0.3523,0.32,0.3268,28988.0
60,2021-03-02,0.3396,0.3523,0.32,0.3523,12590.0
61,2021-03-03,0.3589,0.3799,0.332,0.366,21149.0
62,2021-03-04,0.3685,0.382,0.3439,0.3734,29904.0
63,2021-03-05,0.3518,0.419,0.34,0.3462,26958.0
64,2021-03-06,0.4147,0.4291,0.3823,0.395,26600.0
65,2021-03-07,0.4165,0.4233,0.4024,0.4031,17303.0
66,2021-03-08,0.4077,0.4233,0.4002,0.4125,14201.0
67,2021-03-09,0.4162,0.4847,0.4108,0.4597,69256.0
68,2021-03-10,0.4712,0.4967,0.4229,0.4568,48600.0
69,2021-03-11,0.4568,0.4732,0.431,0.4533,37636.0
70,2021-03-12,0.4759,0.4864,0.4423,0.4644,30691.0
71,2021-03-13,0.4701,0.486,0.4487,0.4653,14922.0
72,2021-03-14,0.4662,0.4916,0.4569,0.475,12734.0
73,2021-03-15,0.4383,0.4809,0.4107,0.4383,7663.0
74,2021-03-16,0.4251,0.439,0.3109,0.399,10197.0
75,2021-03-17,0.4022,0.4256,0.392,0.4,15522.0
76,2021-03-18,0.4399,0.4584,0.4222,0.4445,17580.0
77,2021-03-19,0.4525,0.4551,0.41,0.4468,4856.0
78,2021-03-20,0.45,0.5098,0.411,0.4799,18137.0
79,2021-03-21,0.4697,0.4697,0.4199,0.4511,4171.0
80,2021-03-22,0.475,0.5,0.425,0.4357,18067.0
81,2021-03-23,0.4357,0.5,0.4312,0.4704,8302.0
82,2021-03-24,0.4704,0.4949,0.425,0.4485,2335.0
83,2021-03-25,0.4545,0.4597,0.41,0.449,14923.0
84,2021-03-26,0.4597,0.4764,0.4333,0.47,6191.0
85,2021-03-27,0.5128,0.5688,0.4764,0.5175,22919.0
86,2021-03-28,0.5765,0.6754,0.5579,0.5703,77666.0
87,2021-03-29,0.5869,0.6387,0.5637,0.5715,21914.0
88,2021-03-30,0.65,0.673,0.6287,0.6485,20722.0
89,2021-03-31,0.615,0.6451,0.5874,0.6108,9628.0
90,2021-04-01,0.6006,0.6271,0.5854,0.5981,6239.0
91,2021-04-02,0.5972,0.6,0.5797,0.5972,3675.0
92,2021-04-03,0.5972,0.6308,0.5552,0.5836,7217.0
93,2021-04-04,0.6305,0.6312,0.5552,0.5735,5260.0
94,2021-04-05,0.6721,2.99,0.552,0.5782,477983.0
95,2021-04-06,0.5542,0.5694,0.5197,0.5542,396373.0
96,2021-04-07,0.52,0.5383,0.4399,0.4798,94124.0
97,2021-04-08,0.5254,0.5354,0.4759,0.506,77472.0
98,2021-04-09,0.5626,0.5899,0.52,0.5626,144950.0
99,2021-04-10,0.611,0.9,0.57,0.5959,571308.0
100,2021-04-11,0.6036,0.72,0.55,0.583,133836.0
101,2021-04-12,0.5798,0.5939,0.55,0.562,43670.0
102,2021-04-13,0.5695,0.59,0.55,0.5671,58746.0
103,2021-04-14,0.5219,0.5779,0.5219,0.5514,52398.0
104,2021-04-15,0.5828,0.5828,0.5419,0.57,39832.0
105,2021-04-16,0.5333,0.583,0.509,0.53,62163.0
106,2021-04-17,0.54,0.5554,0.525,0.544,61180.0
107,2021-04-18,0.4876,0.5326,0.4292,0.4706,37383.0
108,2021-04-19,0.4779,0.5099,0.4377,0.4487,23097.0
109,2021-04-20,0.4714,0.5089,0.3965,0.429,81864.0
110,2021-04-21,0.4585,0.4726,0.4369,0.4519,15572.0
111,2021-04-22,0.4384,0.4507,0.3791,0.4507,28909.0
112,2021-04-23,0.3105,0.3902,0.2501,0.3414,33500.0
113,2021-04-24,0.353,0.3687,0.3356,0.34,35734.0
114,2021-04-25,0.3428,0.3742,0.3373,0.34,17867.0
115,2021-04-26,0.3911,0.4336,0.3531,0.3979,70009.0
116,2021-04-27,0.4317,0.45,0.4112,0.4389,70628.0
117,2021-04-28,0.4407,0.483,0.4186,0.4373,25295.0
118,2021-04-29,0.4497,0.4511,0.4255,0.4461,17882.0
119,2021-04-30,0.4337,0.46,0.4323,0.4511,23108.0
120,2021-05-01,0.4555,0.4706,0.4471,0.4547,24096.0
121,2021-05-02,0.479,0.495,0.4389,0.4559,43215.0
122,2021-05-03,0.4707,0.5119,0.46,0.4958,32827.0
123,2021-05-04,0.4602,0.4867,0.361,0.4299,29087.0
124,2021-05-05,0.4431,0.4854,0.4403,0.4468,23147.0
125,2021-05-06,0.4727,0.5098,0.4679,0.4807,31382.0
126,2021-05-07,0.4893,0.5445,0.4665,0.4784,28492.0
127,2021-05-08,0.5295,0.5408,0.4969,0.5221,35527.0
128,2021-05-09,0.4899,0.5152,0.467,0.4899,18794.0
129,2021-05-10,0.5,0.506,0.4247,0.4889,11886.0
130,2021-05-11,0.4157,0.48,0.4005,0.4439,27088.0
131,2021-05-12,0.4407,0.4662,0.405,0.4537,10802.0
132,2021-05-13,0.4111,0.4198,0.3681,0.3858,25887.0
133,2021-05-14,0.4226,0.4298,0.4008,0.419,10232.0
134,2021-05-15,0.4223,0.443,0.381,0.3868,12222.0
135,2021-05-16,0.3793,0.4175,0.3611,0.381,12272.0
136,2021-05-17,0.36,0.387,0.3453,0.3613,9701.0
137,2021-05-18,0.3591,0.3748,0.3547,0.3726,6057.0
138,2021-05-19,0.3657,0.3726,0.2573,0.3358,16050.0
139,2021-05-20,0.2875,0.3501,0.2499,0.2964,26836.0
140,2021-05-21,0.3741,0.3895,0.2871,0.3604,44399.0
141,2021-05-22,0.3028,0.3611,0.2988,0.3186,13372.0
142,2021-05-23,0.3166,0.3235,0.2181,0.2616,10463.0
143,2021-05-24,0.2876,0.3038,0.2506,0.2519,13439.0
144,2021-05-25,0.2998,0.305,0.2798,0.2822,6167.0
145,2021-05-26,0.325,0.3323,0.2917,0.3263,4933.0
146,2021-05-27,0.3398,0.3938,0.3224,0.3754,10656.0
147,2021-05-28,0.3416,0.359,0.2385,0.3053,5209.0
148,2021-05-29,0.2985,0.3657,0.277,0.3089,14455.0
149,2021-05-30,0.29,0.3,0.2769,0.2894,2457.0
150,2021-05-31,0.2919,0.311,0.2751,0.2892,2933.0
151,2021-06-01,0.294,0.311,0.2886,0.2971,1591.0
152,2021-06-02,0.305,0.3215,0.2899,0.3214,3912.0
153,2021-06-03,0.3223,0.3359,0.3,0.3223,2973.0
154,2021-06-04,0.3143,0.3359,0.3014,0.3118,6980.0
155,2021-06-05,0.321,0.3251,0.2999,0.3001,9815.0
156,2021-06-06,0.3102,0.32,0.2999,0.3037,814.0
157,2021-06-07,0.321,0.3232,0.2885,0.3232,3291.0
158,2021-06-08,0.2701,0.2931,0.2576,0.2749,2753.0
159,2021-06-09,0.2962,0.325,0.2626,0.2925,13713.0
160,2021-06-10,0.2938,0.3047,0.2836,0.2931,10433.0
161,2021-06-11,0.2894,0.2991,0.275,0.286,3244.0
162,2021-06-12,0.2621,0.286,0.25,0.2582,9973.0
163,2021-06-13,0.2582,0.284,0.2582,0.2582,360.0
164,2021-06-14,0.2752,0.296,0.2752,0.2885,12698.0
165,2021-06-15,0.2933,0.2955,0.2861,0.2861,758.0
166,2021-06-16,0.2874,0.296,0.2796,0.2873,984.0
167,2021-06-17,0.275,0.31,0.2734,0.2891,8464.0
168,2021-06-18,0.2676,0.2764,0.2583,0.2583,4138.0
169,2021-06-19,0.268,0.2684,0.2519,0.2642,13387.0
170,2021-06-20,0.2628,0.2668,0.244,0.2628,1781.0
171,2021-06-21,0.2203,0.2637,0.2001,0.2204,17237.0
172,2021-06-22,0.189,0.2112,0.1672,0.2,337170.0
173,2021-06-23,0.2191,0.2787,0.2033,0.2035,2703.0
174,2021-06-24,0.2286,0.2375,0.2113,0.2375,2521.0
