,Date,Open,High,Low,Close,Volume
0,2020-12-31 11:00:00,0.1099,0.1099,0.1065,0.1065,155.0
1,2021-01-05 13:00:00,0.1072,0.1087,0.1072,0.1087,5652.0
2,2021-01-06 05:00:00,0.1133,0.1133,0.1133,0.1133,0.0
3,2021-01-15 11:00:00,0.1195,0.1195,0.1195,0.1195,0.0
4,2021-01-21 15:00:00,0.1183,0.1183,0.1183,0.1183,0.0
5,2021-02-13 19:00:00,0.2095,0.2095,0.2043,0.2043,125.0
6,2021-02-23 09:00:00,0.31,0.31,0.29,0.295,668.0
7,2021-03-03 13:00:00,0.3589,0.366,0.3589,0.3652,425.0
8,2021-03-05 13:00:00,0.3518,0.3604,0.3518,0.3589,73.0
9,2021-03-23 02:00:00,0.4357,0.4807,0.4357,0.4784,50.0
10,2021-04-13 10:00:00,0.5695,0.5701,0.5543,0.5548,8842.0
11,2021-04-23 14:00:00,0.3105,0.332,0.3105,0.332,357.0
12,2021-05-07 00:00:00,0.4893,0.4893,0.4893,0.4893,0.0
13,2021-05-08 07:00:00,0.5295,0.5386,0.5238,0.528,4037.0
14,2021-05-13 14:00:00,0.4111,0.4111,0.4041,0.4041,955.0
15,2021-05-13 21:00:00,0.3813,0.4022,0.3813,0.4022,9.0
16,2021-05-21 10:00:00,0.3741,0.3825,0.3741,0.3805,14748.0
17,2021-05-26 21:00:00,0.325,0.33,0.325,0.33,33.0
18,2021-06-03 14:00:00,0.3223,0.3243,0.3223,0.3243,83.0
19,2021-06-04 06:00:00,0.3143,0.3143,0.3143,0.3143,81.0
20,2021-06-16 00:00:00,0.2874,0.2874,0.2874,0.2874,0.0
21,2021-06-25 14:00:00,0.227,0.2295,0.227,0.2295,44.0
22,2021-06-27 01:00:00,0.23,0.23,0.2294,0.2294,28.0
23,2021-07-26 08:00:00,0.3248,0.3248,0.3233,0.3233,1705.0
24,2021-07-27 18:00:00,0.34,0.3411,0.34,0.3406,129.0
25,2021-08-01 01:00:00,0.3968,0.3968,0.3968,0.3968,0.0
26,2021-08-27 11:00:00,0.4341,0.4386,0.4341,0.4386,62.0
27,2021-09-05 18:00:00,0.6,0.6109,0.6,0.6108,2285.0
28,2021-09-06 03:00:00,0.6074,0.6098,0.5935,0.609,234.0
29,2021-09-14 22:00:00,0.4997,0.4997,0.4997,0.4997,0.0
30,2021-09-19 20:00:00,0.5,0.5,0.5,0.5,2.0
31,2021-09-23 00:00:00,0.4387,0.48,0.4113,0.415,1363.0
32,2021-10-10 02:00:00,0.4901,0.4901,0.4901,0.4901,0.0
33,2021-10-16 12:00:00,0.456,0.46,0.456,0.46,386.0
34,2021-10-22 13:00:00,0.4345,0.4547,0.4345,0.4547,6.0
35,2021-10-25 01:00:00,0.4334,0.4334,0.4333,0.4333,11.0
36,2021-11-02 04:00:00,0.5249,0.525,0.51,0.525,538.0
37,2021-11-10 14:00:00,0.4561,0.4561,0.4561,0.4561,91.0
38,2021-01-10 08:00:00,0.1333,0.1333,0.1333,0.1333,0.0
39,2021-01-18 17:00:00,0.1248,0.1248,0.1242,0.1248,130.0
40,2021-01-29 01:00:00,0.1179,0.1194,0.1172,0.1194,1051.0
41,2021-01-29 05:00:00,0.1139,0.1151,0.1139,0.1151,981.0
42,2021-02-07 02:00:00,0.1819,0.1841,0.1771,0.181,7806.0
43,2021-02-10 20:00:00,0.182,0.1849,0.182,0.1848,79.0
44,2021-03-25 06:00:00,0.4545,0.4597,0.4545,0.4548,370.0
45,2021-03-28 04:00:00,0.5765,0.5765,0.5612,0.5616,2517.0
46,2021-04-15 23:00:00,0.5828,0.5828,0.582,0.5825,543.0
47,2021-04-27 03:00:00,0.4317,0.4318,0.4235,0.4235,1490.0
48,2021-05-03 21:00:00,0.4707,0.4713,0.4707,0.4713,1624.0
49,2021-05-06 02:00:00,0.4727,0.4865,0.4727,0.477,143.0
50,2021-05-09 13:00:00,0.4899,0.4899,0.4899,0.4899,77.0
51,2021-05-11 04:00:00,0.4157,0.4216,0.4157,0.4199,1307.0
52,2021-05-13 00:00:00,0.4,0.4,0.3681,0.3946,4363.0
