,Date,Open,High,Low,Close,Volume
0,2021-09-07,293.0,316.7,161.0,300.0,40.72800000000001
1,2021-09-08,256.7,300.0,245.8,268.9,18.767999999999994
2,2021-09-09,299.8,301.5,202.2,270.0,21.590999999999998
3,2021-09-10,293.9,294.3,257.3,269.0,17.188
4,2021-09-11,286.3,287.1,230.2,270.0,25.163999999999994
5,2021-09-12,268.4,286.3,250.5,268.4,19.59
6,2021-09-13,265.4,280.8,255.2,265.4,21.261
7,2021-09-14,281.5,281.5,261.7,261.7,7.314
8,2021-09-15,263.2,281.5,262.9,278.8,11.463999999999999
9,2021-09-16,286.8,290.0,264.0,290.0,18.87
10,2021-09-17,286.8,286.8,268.1,272.0,11.756
11,2021-09-18,272.0,284.2,265.5,281.5,9.793999999999999
12,2021-09-19,274.0,280.0,215.6,257.0,12.931
13,2021-09-20,235.2,264.8,228.0,261.7,11.9
14,2021-09-21,211.0,261.7,172.0,245.4,19.271
15,2021-09-22,235.0,253.8,202.3,252.8,13.712
16,2021-09-23,252.8,252.8,229.0,252.4,14.267
17,2021-09-24,249.0,252.0,206.2,235.4,10.540000000000003
18,2021-09-25,244.9,244.9,217.7,243.0,14.423
19,2021-09-26,218.0,246.9,217.7,239.8,18.592999999999996
20,2021-09-27,252.0,253.0,226.0,252.0,4.469
21,2021-09-28,232.3,240.6,232.3,236.9,0.8810000000000002
22,2021-09-29,237.7,237.7,232.3,237.0,0.44299999999999995
23,2021-09-30,240.1,240.1,237.7,239.2,0.345
24,2021-10-01,249.3,260.8,240.1,251.0,3.229
25,2021-10-02,260.8,274.1,260.8,274.1,0.9680000000000001
26,2021-10-03,270.0,275.8,270.0,274.9,2.335
27,2021-10-04,276.0,279.4,271.0,276.0,2.5919999999999996
28,2021-10-05,278.5,278.5,271.0,277.1,2.325
29,2021-10-06,299.3,311.0,278.5,299.3,6.531
30,2021-10-07,293.0,300.0,293.0,293.0,0.471
31,2021-10-08,305.1,305.1,292.3,292.3,0.7340000000000001
32,2021-10-09,305.4,312.9,295.7,305.1,5.359
33,2021-10-10,302.2,306.1,296.7,300.4,0.522
34,2021-10-11,293.8,307.0,293.8,302.2,0.25400000000000006
35,2021-10-12,297.2,304.5,293.3,300.9,0.9660000000000001
36,2021-10-13,298.9,308.0,298.9,298.9,0.025
37,2021-10-14,316.3,325.0,307.2,315.0,1.438
38,2021-10-15,330.0,335.0,322.0,323.3,0.7170000000000001
39,2021-10-16,327.4,333.4,326.8,327.4,0.8140000000000001
40,2021-10-17,330.4,333.4,326.7,333.4,0.187
41,2021-10-18,334.6,334.6,330.0,333.7,1.135
42,2021-10-19,324.7,342.8,324.7,324.7,0.303
43,2021-10-20,339.9,355.7,339.9,355.7,2.3179999999999996
44,2021-10-21,370.7,375.1,353.2,364.3,4.546
45,2021-10-22,369.5,370.0,355.8,369.9,0.183
46,2021-10-23,360.6,367.8,355.0,359.4,0.8220000000000001
47,2021-10-24,365.2,375.0,365.2,365.2,0.079
48,2021-10-25,377.4,412.9,375.0,393.1,4.135999999999999
49,2021-10-26,393.1,410.5,393.1,395.8,0.649
50,2021-10-27,406.5,422.4,404.7,410.5,4.148
51,2021-10-28,400.0,445.0,387.5,400.0,1.075
52,2021-10-29,431.5,453.3,390.3,449.0,3.521
53,2021-10-30,462.6,468.3,442.1,451.5,3.602
54,2021-10-31,400.0,470.4,387.5,466.0,2.713
55,2021-11-01,463.4,470.5,443.8,470.5,0.44
56,2021-11-02,476.1,480.0,456.8,471.5,0.3540000000000001
57,2021-11-03,480.0,490.6,474.5,484.9,1.639
58,2021-11-04,494.1,494.1,479.7,484.9,1.3190000000000002
59,2021-11-05,494.9,494.9,487.4,487.4,0.7530000000000001
60,2021-11-06,483.0,489.2,483.0,485.4,0.328
61,2021-11-07,483.0,1000.0,401.3,505.5,76.952
62,2021-11-08,521.0,699.0,425.0,532.0,104.10899999999998
63,2021-11-09,525.0,550.0,425.5,503.3,37.623000000000005
64,2021-11-10,488.8,514.7,477.7,490.6,5.6370000000000005
65,2021-11-11,474.7,490.6,425.0,490.5,9.02
