,Date,Open,High,Low,Close,Volume
0,2021-03-24,1.5563,1.5947,1.3263,1.5,53490.49999999999
1,2021-03-25,1.3208,1.4187,1.3097,1.3795,21764.899999999998
2,2021-03-26,1.4334,1.5626,1.35,1.497,14160.700000000003
3,2021-03-27,1.5502,1.58,1.4668,1.5778,14826.8
4,2021-03-28,1.6882,1.8164,1.4669,1.5204,58526.3
5,2021-03-29,1.7855,1.8659,1.6919,1.752,56429.4
6,2021-03-30,1.8525,1.887,1.7282,1.7597,100934.20000000001
7,2021-03-31,1.7,1.7961,1.6291,1.7637,67827.7
8,2021-04-01,1.7611,1.8498,1.69,1.7817,45164.6
9,2021-04-02,1.9321,1.9531,1.7302,1.779,41745.29999999999
10,2021-04-03,1.9286,1.982,1.68,1.8424,34106.9
11,2021-04-04,1.7364,1.7714,1.6768,1.7318,32200.600000000002
12,2021-04-05,1.83,1.8437,1.68,1.78,35670.200000000004
13,2021-04-06,1.9,1.9,1.74,1.775,24307.2
14,2021-04-07,1.6572,1.8499,1.5248,1.8392,17825.500000000004
15,2021-04-08,1.72,1.764,1.6542,1.7444,14858.599999999999
16,2021-04-09,1.7829,1.8113,1.709,1.7829,9605.300000000001
17,2021-04-10,1.7352,1.9123,1.7162,1.7667,27952.4
18,2021-04-11,1.9,1.9,1.802,1.8598,15679.199999999997
19,2021-04-12,1.9235,2.15,1.8882,1.94,75490.4
20,2021-04-13,2.045,2.0791,1.9,1.9712,20152.0
21,2021-04-14,1.9181,2.11,1.8506,2.0486,31851.100000000006
22,2021-04-15,2.0324,2.1809,1.9685,2.1244,31350.6
23,2021-04-16,2.0264,2.1608,1.879,2.024,31837.999999999996
24,2021-04-17,1.95,2.1355,1.9383,2.0545,20422.100000000002
25,2021-04-18,1.84,2.0,1.48,1.89,39439.899999999994
26,2021-04-19,1.6469,1.9276,1.5394,1.6438,52674.200000000004
27,2021-04-20,1.5662,1.7299,1.4199,1.5465,16093.799999999997
28,2021-04-21,1.5448,1.6667,1.5,1.5501,15758.8
29,2021-04-22,1.5493,1.6123,1.42,1.5182,14812.0
30,2021-04-23,1.2065,1.441,1.1352,1.3408,13724.600000000002
31,2021-04-24,1.3096,1.3891,1.2591,1.3524,13101.5
32,2021-04-25,1.3138,1.4,1.1868,1.2643,4845.1
33,2021-04-26,1.49,1.4968,1.2409,1.4403,11075.6
34,2021-04-27,1.4695,1.5751,1.41,1.55,9817.300000000001
35,2021-04-28,1.4863,1.6325,1.4499,1.528,8203.6
36,2021-04-29,1.4802,1.5701,1.444,1.4802,19071.0
37,2021-04-30,1.5496,1.5998,1.4773,1.5747,28130.3
38,2021-05-01,1.6784,1.7343,1.5404,1.5837,36142.50000000001
39,2021-05-02,1.6224,1.6773,1.5404,1.637,15760.2
40,2021-05-03,1.6288,1.6798,1.5778,1.6284,20645.2
41,2021-05-04,1.5217,1.647,1.45,1.4955,14986.099999999999
42,2021-05-05,1.533,1.5899,1.4576,1.53,8447.6
43,2021-05-06,1.5204,1.7,1.51,1.5931,29432.3
44,2021-05-07,1.6997,1.72,1.5281,1.6471,42112.200000000004
45,2021-05-08,1.6407,1.6999,1.5621,1.6049,51347.1
46,2021-05-09,1.5337,1.66,1.49,1.5998,26572.000000000004
47,2021-05-10,1.4673,1.599,1.2799,1.46,34621.5
48,2021-05-11,1.4,1.579,1.3319,1.3377,26034.200000000004
49,2021-05-12,1.4489,1.5456,1.3097,1.4207,35179.09999999999
50,2021-05-13,1.2546,1.4395,1.15,1.3634,29436.1
51,2021-05-14,1.346,1.3972,1.2911,1.3266,13994.9
52,2021-05-15,1.4258,1.517,1.3105,1.417,30150.8
53,2021-05-16,1.2301,1.4212,1.2301,1.3723,40787.4
54,2021-05-17,1.2111,1.3034,1.1709,1.2333,18060.7
55,2021-05-18,1.2587,1.2656,1.18,1.19,17305.7
56,2021-05-19,0.81,1.2474,0.123,1.07,18045.6
57,2021-05-20,0.9114,1.07,0.7306,0.7376,16044.3
58,2021-05-21,0.7522,0.9383,0.75,0.8744,15451.900000000001
59,2021-05-22,0.8251,0.8657,0.7628,0.78,10105.9
60,2021-05-23,0.565,0.796,0.5007,0.54,17343.300000000003
61,2021-05-24,0.8087,0.85,0.6318,0.76,34137.00000000001
62,2021-05-25,0.7952,0.8528,0.7261,0.831,24751.000000000004
63,2021-05-26,0.852,0.881,0.7877,0.836,14284.699999999999
64,2021-05-27,0.8175,0.8454,0.759,0.8069,38682.9
65,2021-05-28,0.7,0.8,0.6272,0.7829,13597.4
66,2021-05-29,0.6907,0.6918,0.6,0.6658,13583.100000000002
67,2021-05-30,0.6674,0.7993,0.598,0.7029,12084.6
68,2021-05-31,0.7903,0.8529,0.6927,0.7146,61062.9
69,2021-06-01,0.8041,0.8299,0.7501,0.792,11716.799999999997
70,2021-06-02,0.7649,0.8127,0.7454,0.7853,12232.3
71,2021-06-03,0.9192,0.9632,0.752,0.9128,35718.700000000004
72,2021-06-04,0.7975,0.9632,0.76,0.802,15749.299999999996
73,2021-06-05,0.7523,0.8415,0.7329,0.7679,12372.5
74,2021-06-06,0.77,0.8201,0.7456,0.78,5890.4
75,2021-06-07,0.8041,0.8373,0.7,0.7942,18961.899999999998
76,2021-06-08,0.6848,0.7121,0.6479,0.6744,12538.400000000001
77,2021-06-09,0.7145,0.75,0.6602,0.716,5791.5
78,2021-06-10,0.7015,0.7116,0.6525,0.6924,11475.6
79,2021-06-11,0.6481,0.6788,0.6085,0.6431,8932.1
80,2021-06-12,0.6098,0.6153,0.5685,0.609,6417.8
81,2021-06-13,0.609,0.685,0.5833,0.6216,7957.599999999999
82,2021-06-14,0.6907,0.721,0.6653,0.6787,25980.600000000002
83,2021-06-15,0.72,0.76,0.6772,0.732,20926.000000000004
84,2021-06-16,0.718,0.783,0.675,0.6939,20640.100000000002
85,2021-06-17,0.717,0.7226,0.6607,0.7034,9608.899999999996
86,2021-06-18,0.6043,0.6824,0.5912,0.674,14547.699999999999
87,2021-06-19,0.6115,0.6277,0.595,0.5957,13715.4
88,2021-06-20,0.574,0.6447,0.5683,0.61,23439.2
89,2021-06-21,0.5589,0.6447,0.512,0.5579,37490.4
90,2021-06-22,0.4924,0.5997,0.429,0.4924,87584.40000000002
91,2021-06-23,0.5716,0.6025,0.5301,0.5625,32518.600000000002
92,2021-06-24,0.6206,0.6399,0.5676,0.5983,6453.4
93,2021-06-25,0.58,0.6397,0.5332,0.5497,39026.3
94,2021-06-26,0.51,0.5497,0.51,0.51,4265.4
95,2021-06-27,0.5262,0.55,0.52,0.5437,2587.5
96,2021-06-28,0.57,0.5843,0.5435,0.5756,4696.8
97,2021-06-29,0.5848,0.6234,0.5704,0.5864,7250.2
98,2021-06-30,0.5486,0.5886,0.5484,0.5784,11129.199999999999
99,2021-07-01,0.5353,0.5856,0.527,0.5353,6532.000000000002
100,2021-07-02,0.5327,0.59,0.5209,0.5461,12360.1
101,2021-07-03,0.6089,0.6854,0.59,0.6201,70952.7
102,2021-07-04,0.7235,0.7588,0.6445,0.671,34914.90000000001
103,2021-07-05,0.71,0.847,0.6949,0.752,45444.60000000001
104,2021-07-06,0.7644,0.7659,0.7047,0.7135,32071.899999999998
105,2021-07-07,0.735,0.7599,0.688,0.6985,69768.19999999998
106,2021-07-08,0.6967,0.71,0.636,0.6463,12780.6
107,2021-07-09,0.6506,0.71,0.6289,0.6824,13796.4
108,2021-07-10,0.6749,0.7142,0.6551,0.6823,22585.7
109,2021-07-11,0.7262,0.7465,0.66,0.732,17748.7
110,2021-07-12,0.6642,0.7403,0.6642,0.6943,10027.400000000001
111,2021-07-13,0.6431,0.6819,0.6347,0.6431,11785.699999999999
112,2021-07-14,0.6441,0.6478,0.5955,0.6469,7270.1
113,2021-07-15,0.6051,0.6432,0.5944,0.6134,7413.0999999999985
114,2021-07-16,0.6001,0.616,0.5777,0.616,4532.6
115,2021-07-17,0.5639,0.578,0.56,0.5645,3040.5000000000005
116,2021-07-18,0.56,0.5848,0.5503,0.5767,14671.300000000001
117,2021-07-19,0.5406,0.5542,0.5082,0.5082,19056.0
118,2021-07-20,0.4963,0.576,0.4767,0.483,16943.799999999996
119,2021-07-21,0.5185,0.5753,0.479,0.5185,31571.399999999998
120,2021-07-22,0.555,0.573,0.53,0.5729,20016.6
121,2021-07-23,0.5606,0.5719,0.5184,0.5719,11375.699999999999
122,2021-07-24,0.5476,0.592,0.5434,0.5472,33811.2
123,2021-07-25,0.5376,0.557,0.5264,0.5459,47505.9
124,2021-07-26,0.608,0.6142,0.5315,0.5851,66110.5
125,2021-07-27,0.5453,0.5925,0.5248,0.5327,47504.7
126,2021-07-28,0.5588,0.5804,0.55,0.5587,18366.0
127,2021-07-29,0.5974,0.63,0.553,0.5899,83837.20000000001
128,2021-07-30,0.593,0.5987,0.555,0.5879,37398.9
129,2021-07-31,0.6129,0.6366,0.5893,0.6129,55796.7
130,2021-08-01,0.69,0.725,0.6234,0.66,78010.09999999999
131,2021-08-02,0.6475,0.69,0.634,0.6535,25979.9
132,2021-08-03,0.6821,0.7083,0.6397,0.6506,18345.499999999996
133,2021-08-04,0.65,0.6895,0.6264,0.6654,20582.6
134,2021-08-05,0.6926,0.717,0.6441,0.684,46730.2
135,2021-08-06,0.717,0.7205,0.6727,0.6802,30537.700000000008
136,2021-08-07,0.718,0.758,0.6912,0.73,24577.1
137,2021-08-08,0.7226,0.7303,0.65,0.7128,46396.7
138,2021-08-09,0.6627,0.7509,0.6479,0.7132,60110.69999999999
139,2021-08-10,0.75,0.7696,0.6987,0.73,105602.09999999999
140,2021-08-11,0.7627,0.89,0.7437,0.826,89893.1
141,2021-08-12,0.826,0.88,0.7247,0.8104,45011.899999999994
142,2021-08-13,0.9299,0.95,0.811,0.9299,31638.5
143,2021-08-14,0.927,0.9504,0.861,0.9049,60799.100000000006
144,2021-08-15,0.8728,0.9176,0.8436,0.9176,22758.100000000002
145,2021-08-16,0.9174,0.9324,0.8331,0.9116,26625.300000000003
146,2021-08-17,0.9504,1.02,0.8293,0.8539,67513.3
147,2021-08-18,0.8429,0.94,0.8198,0.8856,54587.1
148,2021-08-19,0.9062,0.9742,0.8338,0.8765,39127.99999999999
149,2021-08-20,1.0617,1.0935,0.9575,1.0117,78091.7
150,2021-08-21,1.02,1.053,0.9905,1.0062,51580.6
151,2021-08-22,0.9896,1.073,0.96,1.0157,24730.999999999996
152,2021-08-23,1.0198,1.08,1.004,1.0238,65301.60000000001
153,2021-08-24,0.952,1.034,0.891,0.937,65167.4
154,2021-08-25,0.9536,0.9801,0.8886,0.9553,32559.600000000002
155,2021-08-26,0.92,0.97,0.84,0.8894,62490.80000000002
156,2021-08-27,0.9302,0.9368,0.8487,0.8877,18166.699999999997
157,2021-08-28,0.9,0.9469,0.9,0.9122,27379.100000000006
158,2021-08-29,0.9087,0.9329,0.87,0.9061,29435.199999999993
159,2021-08-30,0.8931,0.9281,0.85,0.8876,19327.0
160,2021-08-31,0.8848,0.91,0.8484,0.8758,53011.1
161,2021-09-01,0.8512,0.9217,0.83,0.916,28041.0
162,2021-09-02,0.9283,0.9473,0.8971,0.9146,33237.6
163,2021-09-03,0.9176,0.9342,0.8841,0.9273,30437.600000000002
164,2021-09-04,0.9197,0.9786,0.9036,0.9477,44998.39999999999
165,2021-09-05,1.0101,1.0378,0.9385,0.99,66357.7
166,2021-09-06,1.0323,1.08,0.937,1.0096,92271.79999999999
167,2021-09-07,1.0437,1.081,0.79,0.9433,90484.60000000002
168,2021-09-08,0.82,0.8631,0.744,0.8313,44180.9
169,2021-09-09,0.9135,0.9238,0.7967,0.87,67269.9
170,2021-09-10,0.8415,0.92,0.7858,0.809,35800.700000000004
171,2021-09-11,0.8464,0.9132,0.805,0.86,30201.600000000002
172,2021-09-12,0.8915,0.932,0.8333,0.8759,60699.100000000006
173,2021-09-13,0.8693,0.9499,0.8088,0.8928,19398.499999999993
174,2021-09-14,0.855,0.8854,0.8322,0.8487,26826.100000000006
175,2021-09-15,0.893,0.9158,0.839,0.8559,35441.100000000006
176,2021-09-16,0.8942,0.93,0.8455,0.899,49191.299999999996
177,2021-09-17,0.8222,0.8859,0.8086,0.8298,21578.2
178,2021-09-18,0.8402,0.8487,0.8103,0.828,19681.9
179,2021-09-19,0.8197,0.8378,0.8034,0.8219,37258.4
180,2021-09-20,0.7742,0.8384,0.6633,0.755,36541.4
181,2021-09-21,0.7252,0.753,0.65,0.66,31787.700000000004
182,2021-09-22,0.7188,0.7402,0.6506,0.72,28850.399999999998
183,2021-09-23,0.717,0.746,0.7125,0.7404,22156.899999999998
184,2021-09-24,0.7107,0.8,0.65,0.6664,32509.100000000006
185,2021-09-25,0.6596,0.7,0.6596,0.6777,30393.7
186,2021-09-26,0.7299,0.7299,0.6255,0.667,18898.8
187,2021-09-27,0.6739,0.7211,0.6635,0.6907,44210.0
188,2021-09-28,0.6404,0.6751,0.6267,0.6441,38901.700000000004
189,2021-09-29,0.6616,0.6696,0.6231,0.6278,12640.500000000002
190,2021-09-30,0.6278,0.6596,0.6278,0.6403,10949.3
191,2021-10-01,0.7094,0.7245,0.6441,0.7064,44496.899999999994
192,2021-10-02,0.7237,0.7598,0.696,0.75,35184.8
193,2021-10-03,0.7416,0.7591,0.7155,0.73,27028.500000000004
194,2021-10-04,0.7176,0.7376,0.6996,0.73,17738.999999999996
195,2021-10-05,0.7391,0.79,0.7116,0.7192,24443.5
196,2021-10-06,0.7393,0.7799,0.687,0.7165,25147.000000000004
197,2021-10-07,0.7348,0.74,0.7037,0.727,32111.700000000004
198,2021-10-08,0.7185,0.7346,0.7084,0.7129,9610.1
199,2021-10-09,0.7119,0.7459,0.7084,0.7163,5828.1
200,2021-10-10,0.7233,0.7459,0.69,0.7182,21643.1
201,2021-10-11,0.713,0.7147,0.67,0.672,18242.600000000002
202,2021-10-12,0.6654,0.685,0.65,0.6756,9743.8
203,2021-10-13,0.7024,0.7253,0.665,0.6997,29175.8
204,2021-10-14,0.712,0.7432,0.7009,0.7151,22995.999999999996
205,2021-10-15,0.78,0.83,0.698,0.755,51079.600000000006
206,2021-10-16,0.8066,0.8869,0.77,0.8008,112914.50000000001
207,2021-10-17,0.7898,0.8306,0.7596,0.8159,12446.399999999998
208,2021-10-18,0.78,0.8,0.7499,0.7674,19598.100000000002
209,2021-10-19,0.7751,0.7809,0.7587,0.7693,12307.1
210,2021-10-20,0.8025,0.88,0.7808,0.857,35747.399999999994
211,2021-10-21,0.8712,0.9559,0.8256,0.8696,51208.299999999996
212,2021-10-22,0.8896,0.9911,0.8784,0.9378,136847.10000000003
213,2021-10-23,0.88,0.9137,0.8732,0.9032,16759.600000000002
214,2021-10-24,0.9,0.96,0.8772,0.94,40680.1
215,2021-10-25,1.033,1.0698,0.9105,1.0036,120657.4
216,2021-10-26,1.0707,1.195,1.0129,1.0817,90274.90000000001
217,2021-10-27,0.9998,1.15,0.935,1.0964,73131.6
218,2021-10-28,0.95,1.029,0.9123,0.95,31486.999999999996
219,2021-10-29,0.9834,1.0239,0.9331,0.9998,19690.0
220,2021-10-30,0.9124,1.024,0.91,0.988,41194.0
221,2021-10-31,0.9353,1.09,0.88,0.9202,61334.700000000004
222,2021-11-01,1.02,1.05,0.94,0.9886,34670.899999999994
223,2021-11-02,1.0154,1.026,0.98,1.0,30845.3
224,2021-11-03,0.9557,1.0155,0.9401,0.992,29679.400000000005
225,2021-11-04,1.0066,1.07,0.9712,1.0445,109186.90000000001
226,2021-11-05,1.0364,1.1642,1.0225,1.0369,107084.6
227,2021-11-06,1.0638,1.0791,1.0,1.0319,40606.0
228,2021-11-07,1.0727,1.15,1.0,1.0,29772.2
229,2021-11-08,1.1,1.1554,1.05,1.1197,41357.2
230,2021-11-09,1.236,1.3253,1.0665,1.2616,94316.8
231,2021-11-10,1.173,1.27,1.1597,1.2101,48667.8
232,2021-11-11,1.0954,1.224,1.01,1.0984,53055.80000000001
